الاسم العربي:,الاسم الانجليزي:,الجنسية:,العنوان:,الموقع الالكتروني:,اسم المدير:,تلفون المدير:,اسم ممثل الشركة:,تلفون ممثل الشركة:,البريد الالكتروني الرسمي:,الحالة:
دويشات للتعدين المحدودة,Duweishat Mining Co.ltd,سودانية,الخرطوم- جنوب أوزون – غرب أرميكس مباشرة,-,محمد الطيب المهدي,249912330236,عبد الرحمن الدرديري,249912131165,Duweishat@goldenarrowsudan.com,منتجة
دلقو للتعدين المحدودة,Delgo mining Co. Ltd.,تركية,الخرطوم – المجاهدين – الحي الراقي - جنوب صالة القيروان عقار رقم 279,www.delgomining.com,سعيد شاهان,(00)905373043914,حسن عبد الجابر,249912373543,Sait.shan@delgomining.com,منتجة
مانوب للتعدين المحدودة,MANUB FOR MINING CO. LTD,مغربية,الخرطوم - المنشية ,managemgroup.com,كريم هواري فلاحي,113260545,محمد قنديل,249912314785,g.mohamed@managemgroup.com,منتجة
أمدرمان للتعدين المحدودة,UMDURMAN Mining  Co. Ltd,سودانية,الخرطوم بحري – شمبات مربع 22,www.ridagroup.com,محمد عمر عبد السلام,249912307523,محمد الوسيلة,249913252727,mohamed.hassan@ridagroup.com,منتجة
حجاجية لتعدين الذهب المحدودة,HAGAGIA GOLD MINING COMPANY. LTD,سودانية,الخرطوم - المنشية ,,عثمان حامد عمر,123110053,عهود  عوض,249123017724,hagagiagoldmining21@gmail.com,منتجة
بان سودان ريسورسز للتعدين المحدودة,Pan Sudan Resources Mining Company Limited,سودانية,عطبرة - الموردة -جنوب مسجد الميناء البري,psrmining.com,الطالب علي عبد القادر,912508383,علي البدري,249912379085,BDE.manager@psrmining.com,منتجة
شركة صحاري البركة للتعدين المحدودة,Sahara Albaraka For Production And Mining Co.  Ltd,سودانية,الخرطوم بحري - كافوري مربع 9 قرب صيدلية كافوري,,ايمن الأمين حسن الأمين,249917055292,-,-,albarakamining@gmail.com,منتجة
أرياب للتعدين المحدودة,ARIAB MINING COMPANY,سودانية,الخرطوم – شارع البلدية جنوب المحكمة الدستورية,www.ariabmining.com,نصر الدين الحسين,912393491,عبد المنعم بلال, +249 9 12317046,moniem.bilal@ariabmining.com,منتجة
اليانس للتعدين المحدودة,Alliance for mining Co.Ltd,روسية,الخرطوم – قاردن سيتي مربع 107,www.alliance-kuch.com,ليدجي باسنغوف ,249992242078,محمد أونور,249912188350,alliance@alliance-kuch.com,منتجة
النواتي للذهب والنحاس المحدودة,ALNAWATE FOR GOLD AND COPPER CO.LTD,سودانية,الخرطوم – المنشية – جنوب السفارة الصينية,,تاي الله بله,249912373232,-,-,alnawate.mining@gmail.com,منتجة
أورشاب لتعدين الذهب المحدودة,Orshab Gold Mining Co.ltd,أردنية,الخرطوم بحري – المغتربين – مربع 4 – شارع الإنقاذ جنوب مدارس اسمارت,,رمزي سلامة,249912319442,سالي عبد الله,915062883,Sally.abdullah@orshab.com,منتجة
فاروس لتعدين الذهب المحدودة,PHARAOHS GOLD MINING CO.LTD,سودانية,الخرطوم بحري – حي الميرغنية – شارع السيد علي الميرغني,,معتصم حاج التوم,123093093,محمد خالد,912324007,Mohamed.khalid92@yahoo.com,متعثرة
حسين مضوي بركة وأولاده,HUSSEIN M. BARAKA &SONS Co.Ltd,سودانية,بورتسودان - السوق الكبير -عمارة باشنين - جوار مصنع الثغر لتحلية المياة,,محمد حسين مضوي,912303461,عادل عثمان,249123030005,hmbgold@hmbaraka.net,منتجة
دي ام للتعدين المحدودة,DM MININGCO.LTD,أرمينية,الخرطوم – العمارات شارع 7 – مبنى رقم 32,www.desert-minerals.com, RAFIK ISAHAKYAN,34744003700,محمد رياض,900913531,gm@desert-minerals.com,منتجة
أوهاف للتعدين المحدودة,Ohaf for Mining Co.Ltd,سودانية,الخرطوم – العمارات – تقاطع شارع 33 مع محمد نجيب,,حمد جمعة محمد,912305130,محمد عثمان,249120036215,ohafmining@gmail.com,مقبلة
هواكان حمادي ريسورس,TIANJIN HUAKAN COMPANY LIMITED ,صينية,الخرطوم- شارع الستين -جنوب طرمبة بشائر,,وانق,912331592,عبير,126124338,huakanhamadi2024@gmail.com,متعثرة
راندكو للتعدين المحدودة,RANDCO MINING CO.LTD,سودانية,الخرطوم - شارع الغابة قرب صك العملة,,سليمان عبد المجيد,912300986,سامي عبد المجيد,912320838,samiasm4@gmail.com,مقبلة
مياس ساند المعدنية,Meyas Sand Minerals Co.Ltd,أستراليه,الخرطوم - عمارة بنك أبوظبي الإسلامي - نفق عفراء,perseusmining.com,محمد عبد الحفيظ,913151224,مجدي عبد القادر,901231367,magdi.abdelgadir@perseusmining.com,مقبلة
بيرث لإنتاج المعادن المحدودة,PERTH METAL PRODUCTION CO.LTD,سودانية,الخرطوم - إمتداد الدرجة الثالثة - شرق محطة 7 - جوار كلية النهضة,,هجو أحمد محمد أحمد,910007750,,,,متعثرة
قولدين بيرد للتعدين المحدودة,GOLDEN BIRD MINING CO.LTD,سودانية,الخرطوم بحري - كافوري مربع 11 - شارع الشفا مبني رقم 31/7,,أيمن الامين حسن الامين,249917055292,سامي قريب الله,915908755,goldenbirdg24@gmail.com,مقبلة
إرم ذات للذهب المحدودة,ERM ZAT FOR GOLD,سودانية,بورتسودان - حي الاغاريق - برج شيكان الطابق الرابع شقة رقم 2,,عثمان محمد محمود,990150063,0,0,Omahmoud2@yahoo.com,مقبلة
أدرمو للتعدين المحدودة,ADIRMO MINING COMPANY,سودانية,بورتسودان - حي المطار مربع 3,,محمد صلاح كمبال,912150695,نزار عبد الرحمن,129013030,nazarabdo500@gmail.com,مقبلة
البدري للتعدين القابضة المحدودة,ALBADRI MINING HOLDING,سودانية,عطبرة - حي المطار مربع 4- جنوب غرب إستوب بركة,,محمد البدري,912308420,خالد علي,917737171,Mohamed@albadripower.com,مقبلة
