الاسم العربي:,الاسم الانجليزي:,الجنسية:,العنوان:,الموقع الالكتروني:,اسم المدير:,تلفون المدير:,اسم ممثل الشركة:,تلفون ممثل الشركة:,البريد الالكتروني الرسمي:,الحالة:
ALALMASS FOR MINERALLZATION,ALALMASS FOR MINERALLZATION,شركة سودانية, الخرطوم-المنشية- شارع الاديب الطيب صالح – جوار برج ام تي ان  ,dr.abdalsalam@yahoo.com,عبدالسلام طالب ,0123612645/0123612645,عبدالسلام طالب,0123612645/0123612645,dr.abdalsalam@yahoo.com,بحث 
Sudasam Mining for copper and Lead CO.Ltd,Sudasam Mining for copper and Lead CO.Ltd,شركة سودانية, الخرطوم - أركويت – شارع البلابل- مربع 56- مبني 153,elsallawi@sudasam.com,عبدالرحمن السلاوي,912301957,محمد عبدالرحمن السلاوي,912301957,elsallawi@sudasam.com,بحث 
ولاية القضارف,ولاية القضارف,شركة سودانية, القضارف - وزارة التخطيط العمراني - شارع الوزارات ,urbangadarf@hotmail.com,امانة حكومة ولاية القضارف,154883802,امانة حكومة ولاية القضارف,154883802,urbangadarf@hotmail.com,بحث 
ALNHDA MINING CO.LTD,ALNHDA MINING CO.LTD,شركة سودانية,الخرطوم -  الفرودس جنوب- جوار مسجد جمعية قطر الخيرية - منزل رقم 694,profyounis@hotmail.com,هجو احمد محمد,91230069,هجو احمد محمد,60990291089,profyounis@hotmail.com,مقبلة
السودانية الأسترالية للتجارة والإستثمار المحدودة (SATICO),السودانية الأسترالية للتجارة والإستثمار المحدودة (SATICO),شركة سودانية, كافوري مربع 11 –جوار نادي وزارة الخارجية- مبنى رقم 78 ,watersatico@yahoo.com,منصور عثمان محمد,912348541,ابو الحسن محمد,911223161,watersatico@yahoo.com,بحث 
حكومة ولاية كسلا,حكومة ولاية كسلا,شركة سودانية, الخرطوم- السوق العربي - عمارة الفكي عوض الله - الطابق الثالث (مكتب متابعة ولاية كسلا),amer_oh2000@yahoo.com,امانة حكومة ولاية كسلا,128611030,امانة حكومة ولاية كسلا,128611030,amer_oh2000@yahoo.com,بحث 
KAMBAL INTERNATIONAL CO.,KAMBAL INTERNATIONAL CO.,شركة سودانية,الخرطوم – شارع علي عبد اللطيف-برج الفيحاء -بناية رقم 10- شقة رقم 8,kico2005@maktoob.com,محمد صلاح كمبال,183779337,نزار جيولوجي,183779337,kico2005@maktoob.com,مقبلة
MALDEIF MINING CO.LTD,MALDEIF MINING CO.LTD,شركة سودانية, بحري شمبات - مربع 22 منزل 44 - الطابق الرابع ,maldeifmining@gmail.com,عبدالحفيظ مالك عبدالرؤوف,9121956656,معتصم الحاج التوم,915334713,maldeifmining@gmail.com,منتجة
أعمال التعدين المتقدمة المحدودة (أوهاف للتعدين المحدودة إسم الانتاج),أعمال التعدين المتقدمة المحدودة (أوهاف للتعدين المحدودة إسم الانتاج),شركة سودانية,الخرطوم- شمال غرب كبري المك نمر- جوار حلويات الشامية- الطابق الثاني- شقة رقم 3,admico2@hotmail.com,انور مختار,123320076,محمد عثمان,908416109,admico2@hotmail.com,منتجة
السودانية للتقانة  (SMT),السودانية للتقانة  (SMT),شركة سودانية,الخرطوم بحري كافوري ,WWW.SMTMINING.COM,جعفر عبدالرحمن احمد,123320076,عبدالمنعم محمد بابكر,908416109,WWW.SMTMINING.COM,متقدمة
QMSD MINING CO.LTD,QMSD MINING CO.LTD,شركة قطرية,الخرطوم - شارع عبيد ختم –شمال سكر كنانة – غرب السفارة الأدرنية سابقاً,malshahwani@qatarmining.com,حمد راشد العذبه,97455872255,علي أوكير,911296629,malshahwani@qatarmining.com,مقبلة
لازوتين للتعدين المحدودة,لازوتين للتعدين المحدودة,شركة سودانية,الخرطوم – ابراج النصر مبنى رقم A31- الطابق السادس- شقة 601  ,welltecraco@yahoo.com,سعد الطيب احمد,912151998,مجاهد بلال طه,123013870,welltecraco@yahoo.com,منتجة
Millennium Mining Co.Ltd,Millennium Mining Co.Ltd,شركة سودانية, الخرطوم – حي الصفا – ش عبيد ختم – مربع 1- جنوب طلمبة النحلة مبنى رقم 440 -الطابق (الأرضي + الأول),millenniumsudan@yahoo.com,ابراهيم علي احمد,183269704,ابراهيم علي احمد,1830282700,millenniumsudan@yahoo.com,مقبلة
EL Rand for Advance Business Company.Ltd,EL Rand for Advance Business Company.Ltd,شركة سودانية,الخرطوم – المنطقة الصناعية -تقاطع شارع الغابة مع  شارع الخور,alrand@as-sd.com,عبدالمجيد سليمان,912141645,سامي عبدالمجيد سليمان,912300749,alrand@as-sd.com,منتجة
ZAT EL EMAT Industry CO.LTD,ZAT EL EMAT Industry CO.LTD,شركة سودانية,الخرطوم  شارع  الاسبتالية  - غرب كلية الصيدلة - جوار المستوصف التركي,zatalemed@hotmail.com,عماد سليمان محمد علي,912356562,عثمان محمد محمود علي,912359486,zatalemed@hotmail.com,مقبلة
