الاسم العربي:,الاسم الانجليزي:,الجنسية:,الولاية,المحلية,العنوان:,الموقع الالكتروني:,اسم المدير:,تلفون المدير:,اسم ممثل الشركة:,تلفون ممثل الشركة:,البريد الالكتروني الرسمي:,الحالة:
رضا للهندسة والإنشاءات المحدودة ,Reda for Engineering and Construction Ltd.,سودانية,نهرالنيل,بربر,الخرطوم - بحري - كافوري - مربع 6,,ثاقب طارق,(+249)-912306334,ثاقب طارق,(+249)-912306334,info@ridagroup.com,منتجة
ساندستون للتنمية والاستثمار المحدودة,Sandstone for Development and Investment Ltd.,سودانية,نهرالنيل,بربر,الخرطوم - شارع الجهورية - شمال برج البركة  (بورتسودان - المنطقة الصناعية - شرق نادي الثغر),,ابوبكر عثمان كمبال,(+249)-912344019,رباب محمد فرح,(+249)-912673481,sand_stone@outlook.com,متوقفة
المسار العالمية للخدمات والتعدين المحدودة,Al Masar for Services & Mining Ltd,سودانية,نهرالنيل,بربر,الخرطوم - بحري - المنطقة الصناعية  - غرب الصفوة للسيارات ,,حسن عبد القادر,(+249)-912476164,عبد الماجد ادريس,(+249)-912126409,,متوقفة
لاندمارك للأنشطة المتعددة,Landmark for Multi-Activity Ltd,سودانية,نهرالنيل,بربر,الخرطوم - قاردن ستي - عقار 123,,طارق حاج حمد,(+249)-912367004,طارق حاج حمد,(+249)-912367004,dooosa2022@yahoo.com,متوقفة
بي إن للتعدين المحدودة,BN for Mining Ltd,سودانية,نهرالنيل,بربر,الخرطوم - بحري -كافوري - مربع 7- جوار المدرسة التركية,,طارق حمد الشنابي,(+249)-912476164,طارق حمد الشنابي,(+249)-912476164,,متوقفة
صحاري للتعدين المحدودة,Sahara for Mining Ltd,سودانية,نهرالنيل,بربر,الخرطوم بحري - كافوري - مربع 11 - شارع الشفاء - مبني رقم 7/31 (عطبرة - حي الدرجة - شرق المقابر),,ايمن الامين,(+249)-917055292,عماد حسن شراط,(+249)-912808555,sahara.minco@gmail.com,منتجة
الحامدين للتعدين,Al Hamdeen for Mining,سودانية,نهرالنيل,الدامر,الخرطوم بحري ,,محمد عبد الله عمر,(+249)-912304488,معز محمد علي,(+249)-912988822,alhamdeenmining@gmail.com,منتجة
موناس للتعدين المحدودة,Monas for Mining Ltd,سودانية,نهرالنيل,بربر,الخرطوم بحري -المغتربين -  شارع الزعيم الازهري -منزل رقم 108 (عطبرة شارع المطار- البسملة للآليات),,الوسيلة الرشيد,(+249)-912393222,حسين محمد بشر,(+249)-123093222,monassmining@gmail.com,منتجة
الشاطئ للتعدين المحدودة,Al Shatti for Mining Limited,سودانية,نهرالنيل,بربر,الخرطوم - بحري - شارع كسلا - جوار شركة بنترا (عطبرة حي المطار),,وائل احمد محمد,(+249)-91239253,الضو صديق الضو,(+249)-912689099,,منتجة
الصولج للتعدين المحدودة,AlSolg for Mining Ltd,سودانية,نهرالنيل,بربر,الخرطوم - أركويت  - المعمورة شرق تقاطع جوبا مع تقاطع عبيد ختم - مربع 63,,رحمة الله عبد الدائم,(+249)-912493090,فيصل محمد عبد الله,,alsolang.mining.co.@gmail.com,متوقفة
نجير للتنمية المحدودة,Nageer for Development Limited,سودانية,نهرالنيل,بربر,المعمور مربع 85 عقار رقم 171,,عبد المجيد طلسم,(+249)-912334423,امير بلة محمد,(+249)-912626278,am_talsam@yahoo.com,منتجة
المبرأة للتعدين والاستثمار المحدودة,Al Mabraa for Mining & Investment Ltd,سودانية,نهرالنيل,بربر,اركويت مربع 67 - مبني رقم 51,,رضا محمد علي,(+249)-12309118,اشرف مبارك ,(+249)-912222155,aldooa.org@hotmail.com,متوقفة
إس إم إية اقرو انفستمنت المحدودة,SMA Agro Investment Ltd,سودانية,نهرالنيل,بربر,الخرطوم بحري مربع 16 - جنوب سوبر ماركت الإحسان ,,علاء الدين صلاح الدين,(+249)-912332244,عمار عثمان علي صالح,(+249)-117479593,info@sma-agro.com,متوقفة
إكسير للتعدين ,Elixir for mining,سودانية,نهرالنيل,ابوحمد,الخرطوم بحري - شارع الإنقاذ - شارع كسلا,,احمد عبد السلام عثمان,(+249)-912391149,احمد عبد السلام عثمان,(+249)-912391149,exseersudan@gmail.com,منتجة
جن موشي خواتو للأعمال المتقدمة المحدودة,Gen Moshi Khwato for Advanced Business Ltd.,سودانية,نهرالنيل,ابوحمد,الخرطوم بحري – الأملاك - مربع (1/2/3) غرب - مبنى رقم (102) - مكتب رقم (2) ,,الرشيد,(+249)-912243330,الضو صديق الضو,(+249)-912689099,info@jinshuitu.com,متوقفة
الجكوب للتعدين ,Jakob for Mining ,سودانية,نهرالنيل,ابوحمد,الخرطوم بحري - الميرغنية - مربع (1) - منزل رقم (26),,خليفة علي محمد,(+249)-912303621,خالد حاج احمد,(+249)-912380643,eljakobmining@gmail.com,منتجة
أم عوادة لخدمات الذهب التقليدي,Um Awada for Traditional Gold Service,سودانية,نهرالنيل,ابوحمد,الخرطوم - مجمع النصر السكني (D30) - شقة رقم (1),,ميرغني محمد الخليفة,(+249)-912306809,احمد السنوسي محمد,(+249)-111689333,moslihsanosi@gmail.com,متوقفة
ذكرى لمخلفات التعدين التقليدي,Zikra for Artisanal Mining Tailings,سودانية,نهرالنيل,ابوحمد,الخرطوم بحري – شارع الانقاذ مبني رقم (6) مربع (3),,عبد الله عثمان عدلان,(+249)-123004427,خالد عثمان عبد الله,(+249)-912990117,Gasimfactory@gmail.com,منتجة
مزن للتعدين المحدودة,Muzn for Mining Ltd,سودانية,نهرالنيل,ابوحمد,الخرطوم - الجريف غرب مبني 23 منزل رقم 404 (بورتسودان),,احمد يوسف احمد,(+249)-912307997,حمزة صلاح الدين,(+249)-128066683,info@exicogroup.com,منتجة
القويسي للتعدين,Al-Qwesi for Mining,سودانية,نهرالنيل,ابوحمد,الخرطوم بحري - كافوري مربع (9) - شرق مجمع النور عقار رقم 981 (محلية ابوحمد),www.akadabi.com,الطيب محمد العكدابي,(+249)-912303621,سيف الدين عبد الحليم,(+249)-912905620,elgewisifactory@gmail.com,منتجة
تاناش لمعالجة مخلفات التعدين,Tanash for Mining Waste Treatment,سودانية,نهرالنيل,ابوحمد,الخرطوم بحري - كافوري ,,طارق سعيد,(+249)-912325833,عمر حافظ,(+249)-912368841,,متوقفة
سودا قولد للتعدين,Soda Gold for Mining Ltd,سودانية,نهرالنيل,ابوحمد,الخرطوم – المنشية مربع (25) (ابوحمد),,سمير احمد عبد الهادي,(+249)-123980534,سمير احمد عبد الهادي,(+249)-123980534,www.sudagold@gmai.com,منتجة
نوش للتعدين,Nosh for Mining Ltd,سودانية,نهرالنيل,ابوحمد,الخرطوم - الطائف - تقاطع شارع السلام مع شارع عبد الله الطيب (الدامر - حي الثورة - الفريق الجديد),,وليد بشير عمر,(+249)-123111178,السماني بانقا الشيخ,(+249)-912338491,nooshmin25@gmail.com,منتجة
أعمال سآوى لمعالجة مخلفات التعدين التقليدي,Sawi for the Treatment of Artisanal Mining Tailings,سودانية,نهرالنيل,ابوحمد,أبراج المعادن,,قاسم حماد,(+249)-912322099,0,,,متوقفة
ابورقية للتمنية المحدودة (ابوحمد), Abourekia for Development Ltd (Abu Hamad),سودانية,نهرالنيل,ابوحمد,الخرطوم بحري - حي الميرغنية - مربع (1) - عقار رقم (35),,محمد المصطفى خالد عثمان,(+249)-912324007,علاء الدين محمد الحسن,(+249)-123657696,,متوقفة
سودامين المحدودة,Sudamin Ltd,سودانية,نهرالنيل,ابوحمد,الخرطوم – المنشية ,,سليمان احمد حامد,(+249)-123108687,0,,sudamin.company.ltd@gmail.com,متوقفة
نامية للتعدين المحدودة,Namia for Mining Ltd,سودانية,نهرالنيل,ابوحمد,الخرطوم بحري - كافوري - مربع (5) - (ابوحمد - الجمارك),,حافظ محمد زين,(+249)-912317353,توفيق محمد زين,(+249)-912334558,namia@gmail.com,منتجة
فضل المولى عرديب للتجارة و الاستثمار المحدودة,Fadl Al Mawla Ardeep for Trade & Investment Ltd,سودانية,نهرالنيل,ابوحمد,منطقة الخرطوم (2) - شمال غرب مقابر فاروق (بورتسودان - اربعات - موقع شركة اعناب),,محمد ابراهيم عثمان,(+249)-918220601,الصادق علي محمد,(+249)-967911043,backry@hotmail.com,منتجة
كريبر للحلول المتكاملة المحدودة,Kreber Integrated Solutions Ltd,سودانية,نهرالنيل,ابوحمد,الخرطوم بحري - حلة حمد - جوار فندق قصر الصداقة - مربع (5) عقار رقم 62 الطابق الثالث,www.creeper.com.sd,الفاتح الطيب الشيخ,(+249)-912344120,الدرديري حسن,(+249)-912327392,Creepermining.mss@gmail.com,منتجة
يونميكس للانشطة المتعددة,Unmix for Multi-Activity Ltd,سودانية,نهرالنيل,ابوحمد,أركويت مربع (5) عقار رقم 449 الطابق الاول,www.Deepertrading.com,عمرو علي المادح,(+249)-912351478,خالد يوسف موسى,(+249)-914625500,amro.elmadeh@deepertrading.com,منتجة
اتوبان للانشطة المتعددة المحدودة,Atopan for Multi-Activity Ltd,سودانية,نهرالنيل,ابوحمد,الخرطوم - اركويت - مربع 65 - عمارة عثمان الهادي - الطابق الثاني شقة رقم (3),,رمضان حامد محمد,(+249)-912155632,مآب منصور,(+249)-120006581,autobahn6622@gmail.com,تحت التأسيس
حجاجية لتعدين الذهب المحدودة,Hajaya for Gold Mining Ltd,سودانية,نهرالنيل,بربر,الخرطوم - المعمورة - برج الساعة,,عثمان حامد عمر,(+249)-912311053,محمد دفع الله الأمين,(+249)-912106435,hagagiagoldmining@gmail.com,مقبلة
وادي العشار للتعدين المحدودة,Wadi Al Ashar for Mining Ltd,سودانية,نهرالنيل,بربر,الخرطوم - الطائف - مربع 23 - فيلا رقم 29,,عمار عثمان الخضر,(+249)-912175914,محمد عثمان خلف الله,(+249)-912175914,wadeyelosharmining@outlook.com,تحت التأسيس
