الاسم العربي:,الاسم الانجليزي:,الجنسية:,العنوان:,الموقع الالكتروني:,اسم المدير:,تلفون المدير:,اسم ممثل الشركة:,تلفون ممثل الشركة:,البريد الالكتروني الرسمي:,الحالة:
رضا للهندسة والإنشاءات المحدودة (الكرو),Reda for Engineering and Construction Ltd.,سودانى,الخرطوم - بحري - كافوري - مربع 6,,ثاقب طارق,(+249)-912306334,الوسيلة,(+249)-913252727,info@ridagroup.com,ملغية
الكامل للتعدين (ام سرح),Alkamil for Mining,سودانى,0,,0,0,0,0,0,ملغية
حسين مضوى لمعالجة مخلفات الجيرة,Hussein Mudawi for Mining Waste Treatment,سودانى,الخرطوم - العمارات شارع 15  - جوارة عمارة التنمية الصناعية,,عبد الله بركة,(+249)-911888880,عادل عثمان,(+249)-123030005,sandraminig@gmail.com,ملغية
المسبار لخدمات البترول المحدودة, Almesbar for Petroleum Services Limited,سودانى,0,,عبد المجيد طلسم,(+249)-912334423,0,0,0,ملغية
ميروقولد للتعدين,Mirogold for Mining,سودانى,الخرطوم - أركويت  - المعمورة شرق تقاطع جوبا مع تقاطع عبيد ختم - مربع 63,,ميخائيل ,0,رياض الفاتح,(+249)-116588433,0,ملغية
الجنيد للانشطة المتعددة المحدودة (المثلث),Al Junaid Multiple Activities Limited,سودانى,0,,0,0,0,0,0,ملغية
الإعتماد للصناعات الحديدية المحدودة - (سيسا),Al Etemad for Steel Industries Limited - (Sessa),سودانى,دنقلا- المجلس التشريعي   -   الخرطوم - بري - قشارع المعرض - أبراج الأمراء ,,خالد الدقير,0,عباس الدقير,(+249)-912115266,لا يوجد,ملغية
الجبالي للحلول المتكاملة المحدودة,Al-jabali Integrated Solution Ltd,سودانى,0,,0,0,0,0,0,تحت التأسيس
تقسيط للتعدين,Taqsit for Mining,سودانى,0,,0,0,0,0,0,تحت التأسيس
سعود البرير للتعدين المحدودة,Saud Al Breer for Mining Ltd,سودانى,الخرطوم - برج البركة - الطابق الثاني - شقة رقم 505,,مهند سعود مامؤن محمد,(+249)-912319989,خضر عمر الخضر,(+249)-912404332,saudgroup@yahoo.com,تحت التأسيس
الصحاري القابضة للتجارة و التعدين و الخدمات العامة المحدودة,,سودانى,,,,,,,,تحت التأسيس
شركة التواصل للتجارة والاستثمار المحدودة,,سودانى,,,,,,,,ملغية
شركة أكاكوس ,,سودانى,,,,,,,,ملغية
أعمال المجموعة الدولية للتعدين (تلكوك),,سودانى,,,,,,,,ملغية
تقسيط للتعدين,,سودانى,,,,,,,,تحت التأسيس
النعيم للتعدين,,سودانى,,,,,,,,غير امنة
فاين قولد التجارية المحدودة,,سودانى,,,,,,,,غير امنة
أعمال الحاج محمد أحمد للتعدين,,سودانى,,,,,,,,غير امنة
أعمال علي فضل السيد للتعدين,,سودانى,,,,,,,,غير امنة
شركة احيمر للتعدين المحدودة,,سودانى,,,,,,,,غير امنة
إسكاي موتور للتجارة و الإستثمار المحدودة,,سودانى,,,,,,,,غير امنة
شركة ليجند تورنادو للحلول المتكاملىة,,سودانى,,,,,,,,غير امنة
أعمال نوش للتعدين (غرب كردفان),,سودانى,,,,,,,,غير امنة
الإعتماد للصناعات الحديدية المحدودة (أبو جبيهة),,سودانى,,,,,,,,غير امنة
التواصل للتجارة والإستثمار المحدودة             ,,سودانى,,,,,,,,غير امنة
السنط لتعدين المحدودة,,سودانى,,,,,,,,غير امنة
الجنيد للأنشطة المتعددة المحدودة (ج كردفان),,سودانى,,,,,,,,غير امنة
شركة ابرسى الهندسية,,سودانى,,,,,,,,غير امنة
شركة كير للمحاجر والتعدين المحدودة,,سودانى,,,,,,,,غير امنة
شركة التواصل للتجارة والاستثمار المحدودة,,سودانى,,,,,,,,غير امنة
شركة دوانا,,سودانى,,,,,,,,غير امنة
اعمال المجموعة الدولية (التضامن),,سودانى,,,,,,,,غير امنة
اتلانتا للتعدين,,سودانى,,,,,,,,غير امنة
شركة كونكورب بتروليم المحدودة,,سودانى,,,,,,,,غير امنة
شركة أعمال ديدان للتعدين,,سودانى,,,,,,,,غير امنة
شركة لحا للتعدين,,سودانى,,,,,,,,غير امنة
شركة ميروقولد,,سودانى,,,,,,,,غير امنة
ابوسرة للانشاءاءت المحدودة,,سودانى,,,,,,,,تحت التأسيس
