الاسم العربي:,الاسم باللغة الانجليزية,الجنسية:,العنوان:,الموقع الالكتروني:,اسم المدير:,تلفون المدير:,اسم ممثل الشركة:,تلفون ممثل الشركة:,البريد الالكتروني الرسمي:,الحالة:,,
 ليقند للتعدين,Leqand Mining,سودانية,,,,,,,,متوقفة,كروم,
 هزيم للتعدين ,HAZEEM FOR MINING,سودانية,الخرطوم الطائف,,محمد عطا,(12) 215-0154,حسام الدين,912360536,moh_atta@hotmail.com,منتجة,ذهب,
ابا المصطفى الكيمائية,"Aba Al , Mustafa Chemical",سودانية,,,,,,,,منتجة,جبص,
ابراهيم ابوحسنين وشركائه,Ibrahim Abu Hassanein and his partners ,سودانية,,,,,,,,منتجة,كروم,
ابو حنفي العالمية للتعدين,Abu Hanafi International Mining,سودانية,,,,,,,,منتجة,ملح,
ابوسنينة للتعدين,ABOSININA FOR MININIG,سودانية,,,,,,,,مقبلة,ذهب,
اعمال الابنوس للتعدين,ABANOUS WORKES FOR MINING,سودانية,,,,,,,,مقبلة,ذهب,
اعمال التعدين المتقدمة المحدودة(كروم),Advanced Mining Works Ltd. (Chrome),سودانية,,,,,,,,منتجة,كروم,
اعمال بابكر عباس للتعدين,BABEKER ABAS FOR MINING,سودانية,,,,,,,,منتجة,ذهب,
اعمال باعشر للتعدين,BAASHER MINING ENTERPRISE,سودانية,بورتسودان - عمارة باعشر,,محمد عبدالهادي باعشر,(91) 653-6353,محمد عبدالهادي باعشر,(91) 653-6353,mbaasher@hotmail.com,مقبلة,ملح+حديد,
اعمال باكتوتة للتعدين,Baktota mining,سودانية,الخرطوم- الجريف ق- ش. القذافي-,,رحمة الله بابكلر عطا المنان الحاج,0912200496 - 0016337325,محمد عوض ابراهيم,0123932867 - 09122232867,Baktotaminig47@gmail.com,منتجة,ذهب,
اعمال حصون الدرة للتعدين,HUSON ALDORA FOR MINING,سودانية,,,,,,,,متوقفة,ذهب,
اعمال رمال للتعدين,RIMAL FOR MINING,سودانية,,,,,,,,مقبلة,ذهب,
اعمال مصطفى عوض,Mustafa Awad's works,سودانية,,,,,,,,ملغية,كروم,
الارا للتعدين,ALARA FOR MINING,سودانية,,,,,,,,متوقفة,كاولين,
الاشقر للتعدين,Al Ashqar For Mining,سودانية,,,,,,,,متوقفة,كروم,
البرق الساطع التجارية المحدودة,ALBARIG ALSATTY FOR TREDMENT LTD,سودانية,,,,,,,,منتجة,منجنيز,
التعاضد للتعدين ,Al-Taadod mininig,سودانية,بورتسودان-عمارة بنك فيصل- ط 3,,السر محمد احمد,(91) 230-7506,محمد السر محمد ,(91) 230-1300,altaadodmining@gmail.com,مقبلة,ذهب,
التكامل للاسمنت,ALTKAMOL FOR CEMENT,سودانية مصرية,خرطوم شرق,www.altakmolcement.com,احمد حسين محمد ضرار,912155744,الشريف عمر محمد,187009700,eomer@asecement.com,منتجة,رخام,
التين للتعدين,Teen Mining,سودانية,,,,,,,,ملغية,كروم,
السجن - بورسودان,Prison - Port Sudan,سودانية,,,,,,,,منتجة,ملح,
السجن - سواكن,Prison - Suakin,سودانية,,,,,,,,متوقفة,ملح,
السكب,alsakb,سودانية,,,,,,,,ملغية,كروم,
السودان لتنمية المعادن(الشهيد),Sudan Mineral Development (Al-Shaheed),سودانية,,,,,,,,منتجة,ملح,
الشيخ مصطفى الشيخ,Sheikh Mustafa Alsheikh,سودانية,,,,,,,,منتجة,جبص,
الصندوق القومى للمعاشات (التكامل),National Pension Fund (Integration),سودانية,,,,,,,,منتجة,رخام,
الضيغم العالمية للتجارة والخدمات,ALDIGAM INTERNATINL FOR TREDING SERVICES,سودانية,,,,,,,,متوقفة,نحاس,
العطايا القارية للتنمية المحدودة,ALATAYA FOR MININIG, سودانية ارمنية,,,,,عماد,912305653,,متوقفة,ذهب,
الكيش للتعدين,ALKEESH FOR MININIG,سودانية,,,,,,,,متوقفة,ذهب,
المرسال للتعدين,A, MURSAL FOR MINING,سودانية,,,,,,,,متوقفة,ذهب
المستدامة ,Sustainable,سودانية,,,,,,,,منتجة,كروم,
النابتة الهندسية  ,ALNABITA ,سودانية,,,,,,,,متوقفة,كوارتز,
النجدين اوفر سيز المحدودة,"Najdeen Overseas, Ltd.",سودانية,,,,,,,,متوقفة,كوارتز,
النجم للتعدين,ALNAGIM FOR MININIG,سودانية,,,,,,,,مقبلة,ذهب,
النواتي العالمية,ALNWATY ,سودانية صينية,,,,,,,,متوقفة,حديد,
الهيئة العامة للابحاث الجيولوجية,GRAS ,سودانية,,,,,,,,متوقفة,حديد,
اليرموك للخدمات الصناعية المحدودة                      ,AL YARMOOK FOR INDUSTERIAL SERVICESE LTD,سودانية,,,,,,,,متوقفة,منجنيز,
ام بي ار العالمية المحدودة,MBR Global Ltd,سودانية,,,,,,,,متوقفة,كوارتز,
ام بي ار العالمية المحدودة,MBR INTERNATIONAL LTD,سودانية,,,,,,,,متوقفة,كايانايت,
امنين للاستيراد والتصدير ,Amneen For Import & Export,سودانية,,,,,,,,ملغية,,
إيتسكا للتعدين المحدودة,Itska Mining Ltd,سودانية,,,,,,,,منتجة,,
أبا المصطفي للاسمنت,Aba Al Mustafa Cement,سودانية,,,,,,,,منتجة,,
أبوريشيرش للتعدين,ABU RESHARISH FOR MINING,سودانية,,,,,,,,منتجة,,
أبوسنينة للتعدين,Abu Sneineh Mining,سودانية,,,,,,,,مقبلة,,
أتش تى ايه,HTA FOR MININIG,سودانية,,,,,,,,متوقفة,,
أحمد الطيب ,Ahmed Altayeb,سودانية,,,,,,,,منتجة,,
أدلهف للتعدين,ADLHAF FOR MININIG,سودانية,,,,,,,,متوقفة,,
أسمنت عطبرة المحدودة,atbara for cemente,سودانية,الخرطوم بحري المنطقة الصناعية,,احسان عبد الجبار مهدي ,9125311113,اسماعيل حسن,111946632,atcem-sd@gmail.com,منتجة,,
أعمال التعدين المتقدمة (تطوير مواد البناء) ,Advanced mining works (building materials development),سودانية,,,,,,,,متوقفة,,
أعمال صلاح عبدالله للتعدين(تلك),SALAH ABDALLA FOR MINING,سودانية,,,,,,,,مقبلة,,
بدوى عبد الله محمد,Badawi Abdullah Mohammed,سودانية,,,,,,,,منتجة,,
بعتر زقو للتعدين,BATER ZAGGO FOR MINING,سودانية,,,,,,,,متوقفة,,
تسكين للإستثمار المحدودة,Taskeen Investment Ltd,سودانية,,,,,,,,ملغية,,
تكروف,TAKROUF FOR MININIG,سودانية,,,,,,,,مقبلة,,
تم شم للتعدين,INTERNATIONAL ,سودانية,,,,,محمد سيد,912200557,,متوقفة,,
توكيلات باعبود التجاريه ,Baabood commercial agencies,سودانية,,,,,,,,منتجة,,
حباب للإستثمار والتطوير العقاري,Habab Investment & Real Estate Development,سودانية,,,,,,,,منتهية,,
حجازي للانشطة المتعددة,HIGAZZY MULTY ACTIVITES,سودانية,,,,,,,,متوقفة,,
خالد شيخ ادريس,Khalid Sheikh Idris,سودانية,,,,,,,,منتجة,,
د.محمد ادم عثمان,Khalid Sheikh Idris,سودانية,,,,,,,,متوقفة,,
دانفوديو,Danfodio,سودانية,,,,,,,,ملغية,,
ريفر نايل للمشاريع,RIVER NILE FOR MINING,سودانية,,,,,,,,مقبلة,,
سبوع للتعدين,SEPO FOR MINING,سودانية,,,,,خالد زياده,912900061,,متوقفة,,
سراميك راس الخيمة,R.A.K CERAMICS,سودانية,,,,,,,,متوقفة,,
سقوم للجبص المحدودة,"Saqoom Gypsum Co., Ltd.",سودانية,,,,,,,,ملغية,,
سوداقو للهندسة المحدودة,"Sudago Engineering Co., Ltd.",سودانية,,,,,,,,منتجة,,
سوهانيت,SOHANIET MINING CO.LTD,سودانية,الخرطوم - الشاطئ,,يوسف فاروق احمد محمد,(91) 241-4656,ميساء مصطفى,(91) 896-3234,info@sohaneit.com,مقبلة,,
شتلة تكنولوجي ,Shetla Technology,سودانية,,,,,,,,متوقفة,,
شركة اس إي اس للتعدين والاستشارات الجيولوجية,SES FOR MINING & GEOLOGICAL CONSULTING,سودانية,,,,,,,,متوقفة,,
شركة الامن الغذائي المحدودة,Seedlings Technology,سودانية,,,,,,,,منتجة,,
شركة الجسر الذهبى للتعدين,Golden Bridge Mining Company,سودانية,,,,,,,,منتجة,,
شركة الربيلي للتعدين المحدودة,Al-Rubaili Mining Company Ltd.,سودانية,,,,,,,,منتجة,,
شركة السلام لإنتاج الأسمنت المحدودة,asslam ,سودانية  سعودية,الخرطوم برج التضامن,,بشير ابوالحسن,123307060,,,,متوقفة,,
شركة الشمال لانتاج الاسمنت,Elshemal cement,سودانية,الخرطوم الطائف,,احمد حسين ابوجرار,912504509,هيثم,123593500,alshemal.cemet1@massgroupholding.com,منتجة,,
شركة املاح البحر الاحمر,Red Sea Salts Company,سودانية,,,,,,,,منتجة,,
شركة أسمنت النيل ربك,Nile Cement Company (Rabak),سودانية,,,,,,,,متوقفة,,
شركة أسمنت بربر,Berber cement ,شراكة سودانية اجنبية,الخرطوم الرياض,,,,,,bercemcosite.bcc@berbercement.sd,منتجة,,
شركة بتلكو للتعدين,BETELCO FOR MININIG,سودانية,,,,,عماد,912305653,,متوقفة,,
شركة حصى للانشاءات والتعدين(كروم),Gravel Construction & Mining Company (Chrome),سودانية,,,,,,,,متوقفة,,
شركة رانيا للأنشطة المتعددة المحدودة,RANIYA MULTY ACTIVITYES LTD,سودانية,,,يعقوب سلطان,911223590,,,,منتجة,,
شركة سيدون للتعدين,SEEDON FOR MINING,سودانية,,,,,,,,مقبلة,,
شركة كيان للتلك المحدودة,KYAN FOR TALC LTD,سودانية,,,,,,,,متوقفة,,
شركة كيل للتعدين,KIL FOR MINING,سودانية,,,,,,,,متوقفة,,
شركة مانى للاعمالة المتقدمة,Mani Advanced Business Company,سودانية,,,,,,,,متوقفة,,
شركة مسارات  للتعدين المحدودة,Masarat Mining Company Ltd.,سودانية,,,,,,,,متوقفة,,
شركة ناريوا للتعدين والاستثمار المحدودة,NARYWA FOR MINING & INVESTMENT LTD,سودانية,,,,,,,,مقبلة,,
شركة نما للانشطة ,Nama Activities Company,سودانية,,,,,,,,متوقفة,,
شركة هاى تك للتعدين,HI TIC FOR MINING,سودانية,,,,,,,,متوقفة,,
شفاعة للتعدين,Shafaa for Mining,سودانية,,,,,,,,متوقفة,,
صادق العالمية,Sadiq International,سودانية,,,,,,,,متوقفة,,
صلاح أحمد سعيد,Salah Ahmed Saeed,سودانية,,,,,,,,متوقفة,,
صلاح عبدالله جاد الله ,Salah Abdullah Jadallah,سودانية,,,,,,,,متوقفة,,
صلاح مياس للتعدين,SALAH MYAS FOR MINING,سودانية,,,,,,,,ملغية,,
عبد الله محى الدين للانشطه المتعدده,Abdullah Mohiuddin for various activities,سودانية,,,,,,,,متوقفة,,
عبدالرحمن عوض عبد الرحمن,Abdul Rahman Awad Abdul Rahman,سودانية,,,,,,,,منتجة,,
على عيسى موسى,Ali Issa Musa,سودانية,,,,,,,,متوقفة,,
على وجه محمد,Ali Wageh Mohmed,سودانية,,,,,,,,متوقفة,,
عماد الدين محمد ,Emad Aldin Muhammad,سودانية,,,,,,,,منتجة,,
فيصل عبدالكريم ,Faisal Abdul karim,سودانية,,,,,,,,منتجة,,
قوانغ من انترناسيونال,GOANG MIN INTERNATIONAL,صينية,,,,,,,,متوفقة,,
قولدن ايدياز للتعدين,GOLDEN IDEASE FOR MINING,سودانية سعودية,,,,,,,,مقبلة,,
كاشمتوت للتجارة والاستثمار المحدودة,Kashmtot Trading & Investment Ltd.,سودانية,,,,,,,,متوقفة,,
كامل عبدالرحمن احمد,Kamel Abdulrahman Ahmed,سودانية,,,,,,,,متوقفة,,
كي أي إم للحلول المتكاملة المحدودة,KIM Integrated Solutions Ltd.,سودانية,,,,,,,,متوقفة,,
كيو للتنمية المحدودة,"Q Development Co., Ltd.",سودانية,,,,,,,,منتجة,,
لمار ,GIMAR  ,سودانية,,,,,,,,متوقفة,,
مارين سولت المحدودة ,Marin Salt Ltd,سودانية,,,,,,,,منتجة,,
مجدى عبد الله صالح,Magdy Abdullah Saleh,سودانية,,,,,,,,منتجة,,
محجر محمد النجومي,"Mohammed Al , Nujumi Quarry",سودانية,,,,,,,,منتجة,,
محمد ادم عثمان,Muhammad Adam Usman,سودانية,,,,,,,,متوقفة,,
محمد صالح عبدالرحمن,Mohammed Saleh Abdulrahman,سودانية,,,,,,,,منتجة,,
مزن للتعدين,Muzn Mining,سودانية,,,,,,,,ملغية,,
مصنع التنعيم لكربونات الكالسيوم والجبص,Taneem plant for calcium carbonate and gypsum,سودانية,,,,,,,,متوقفة,,
مصنع عطبرة للكيمياويات,Atbara Chemical Factory,سودانية,,,,,,,,متوقفة,,
مطاحن الادريسي ,Idrissi Mills,سودانية,,,,,,,,منتجة,,
مكي الجزولي عبدالله,Makki Aljazouli Abdullah,سودانية,,,,,,,,منتجة,,
ملاحة احمد عثمان ,Mullahat  Ahmad Usman,سودانية,,,,,,,,منتجة,,
ملاحة اسامة حاج شرفى ,Mullahat Osama Haj Sharafi,سودانية,,,,,,,,منتجة,,
ملاحة البركة ,Mullahat AlBARAKA,سودانية,,,,,,,,منتجة,,
ملاحة دامات   ,Mullahat Damat,سودانية,,,,,,,,منتجة,,
