الاسم العربي:,الاسم الانجليزي:,الجنسية:,العنوان:,الموقع الالكتروني:,اسم المدير:,تلفون المدير:,اسم ممثل الشركة:,تلفون ممثل الشركة:,البريد الالكتروني الرسمي:,الحالة:,,,
شركة زهرة الشريق المحدودة,Zahrat Al-Shariq Company Limited,سودانية,0,0,0,0,0,0,0,ملغية,,,
شركة اولاد امين النصري للتعدين,Amin Al-Nasry Sons Mining Company,سودانية,0,0,0,0,0,0,0,ملغية,,,ملغية
معادن الوادي,Wadi Minerals,سودانية,0,0,0,0,0,0,0,ملغية,,,
شركة بحرى للسراميك والادوات الصحية,Bahri Ceramics and Sanitary Ware Company,سودانية,0,0,0,0,0,0,0,ملغية,,,
شركة معاوية البرير للكيماويات,Muawia Al-Barir Chemicals Company,سودانية,0,0,0,0,0,0,0,ملغية,,,
بي تي اكس ,BTX,سودانية,0,0,0,0,0,0,0,ملغية,,,
شركة فارق للإستثمار المحدودة,Farq Investment Company Limited,سودانية,0,0,0,0,0,0,0,ملغية,,,
شركة أومستو للإستثمار المحدودة ,Omsto Investment Company Limited,سودانية,0,0,0,0,0,0,0,ملغية,,,
شركة الشكاة للتعدين والخدمات المحدودة,Al-Shakah Mining and Services Company Limited,سودانية,0,0,0,0,0,0,0,ملغية,,,
ملاحة هوشيرى (خضر حسن كمبال,Hosheri Navigation (Khader Hassan Kambal,سودانية,0,0,0,0,0,0,0,ملغية,,,
أحمد الطيب (صلاح عباس علي),Ahmed Al-Tayeb (Salah Abbas Ali),سودانية,0,0,0,0,0,0,0,ملغية,,,
عبدالرحمن عوض عبد الرحمن,Abdulrahman Awad Abdulrahman,سودانية,0,0,0,0,0,0,0,ملغية,,,
مياس الهندسية,Mayas Engineering,سودانية,0,0,0,0,0,0,0,ملغية,,,
مصطفى حسن مختار,Mustafa Hassan Mukhtar,سودانية,0,0,0,0,0,0,0,ملغية,,,
أمين مصطفى محمد,Amin Mustafa Mohamed,سودانية,0,0,0,0,0,0,0,ملغية,,,
وائل اسماعيل الامين,Wael Ismail Al-Amin,سودانية,0,0,0,0,0,0,0,ملغية,,,
سوداماب للتعدين                ,Sudamap Mining,سودانية,0,0,0,0,0,0,0,ملغية,,,
شركة فو للتعدين,Fo Mining Company,صينية,0,0,0,0,0,0,0,ملغية,,,
امين الفاضل عوض,Amin Al-Fadil Awad,سودانية,0,0,0,0,0,0,0,ملغية,,,
سيسامور للتعدين,Sisamur Mining,سودانية,0,0,0,0,0,0,0,ملغية,,,
اعمال قبوب,Qubb Works,سودانية,0,0,0,0,0,0,0,ملغية,,,
ديالا (الحلاق),Diala (Al-Hallaq),سورية,0,0,0,0,0,0,0,ملغية,,,
سريال للتجارة والتوكيلات,Serial for Trade and Agencies,سودانية,0,0,0,0,0,0,0,ملغية,,,
اسكاى وى لتصنيع الجبص والازبلاج,Skyway for Gypsum and Tile Manufacturing,سودانية,0,0,0,0,0,0,0,ملغية,,,
فوماهونق للتعدين والاستثمار ,Fomahong for Mining and Investment,صينية,0,0,0,0,0,0,0,ملغية,,,
سيسامور للتعدين المحدوده,Sisamur Mining Limited,سودانية,0,0,0,0,0,0,0,ملغية,,,
ترنديل العالمية المحدودة,Trendel International Limited,سودانية,0,0,0,0,0,0,0,ملغية,,,
البتراء للكهرباء والمقاولات,Petra for Electricity and Contracting,سورية,0,0,0,0,0,0,0,ملغية,,,
ارض الكروم للمعادن,Ard Al-Krom for Minerals,سودانية,0,0,0,0,0,0,0,ملغية,,,
اولماج للتجارة والاستثمار,Olmaj  For Trade and Investment,سودانية,0,0,0,0,0,0,0,ملغية,,,
الاقصر للتعدين,Luxor Mining,سودانية,0,0,0,0,0,0,0,ملغية,,,
الثرى للتعدين,Al-Thara Mining,سودانية,0,0,0,0,0,0,0,ملغية,,,
نصر الدين الشيخ مصطفى الامين واولاده,Nasr El-Din Sheikh Mustafa El-Amin and Sons,سودانية,0,0,0,0,0,0,0,ملغية,,,
كهرمان للانشطة المتعددة والاستثمار المحدودة,Kahraman for Multi-Activities and Investment Limited,سودانية,0,0,0,0,0,0,0,ملغية,,,
المختار للتعدين    ,Al-Mukhtar Mining,سودانية,0,0,0,0,0,0,0,ملغية,,,
الجسر الذهبى,Al-Jisr Al-Dhahabi,صينية,0,0,0,0,0,0,0,ملغية,,,
بايتكس,Bitex,سودانية,0,0,0,0,0,0,0,ملغية,,,
شركة انستروكيم للصناعة والتعدين المحدودة,Instrochem for Industry and Mining Limited,سودانية,0,0,0,0,0,0,0,ملغية,سودانية مصرية,,
شركة معاوية البرير للكيماويات,Moawia Al-Barir Chemicals Company,سودانية,0,0,0,0,0,0,0,ملغية,,,
عمرو محمد صيام,Amr Mohamed Siam,سودانية,0,0,0,0,0,0,0,ملغية,,,
ملاحة هوشيرى (خضر حسن كمبال,Hoshiri Navigation (Khidr Hassan Kambal,غير معروف,0,0,0,0,0,0,0,ملغية,,,
شركة الامن الغذائي المحدودة,Food Security Company Ltd.,غير معروف,0,0,0,0,0,0,0,ملغية,,,
مياس الهندسية,Mayas Engineering,غير معروف,0,0,0,0,0,0,0,ملغية,,,
أمين مصطفى محمد,Amin Mustafa Muhammad,غير معروف,0,0,0,0,0,0,0,ملغية,,,
وائل اسماعيل الامين,"Wael Ismail Al , Amin",غير معروف,0,0,0,0,0,0,0,ملغية,,,
سوداماب للتعدين                ,Sudamab Mining                ,غير معروف,0,0,0,0,0,0,0,ملغية,,,
شركة فو للتعدين,Fu Mining Company,غير معروف,0,0,0,0,0,0,0,ملغية,,,
شركة حصى للانشاءات والتعدين      ,Hassa Construction & Mining Company      ,غير معروف,0,0,0,0,0,0,0,ملغية,,,
امين الفاضل عوض,"Amin al, Fadil Awad",غير معروف,0,0,0,0,0,0,0,ملغية,,,
سيسامور للتعدين,Sesamour Mining,غير معروف,0,0,0,0,0,0,0,ملغية,,,
اعمال قبوب,Algaboob works ,غير معروف,0,0,0,0,0,0,0,ملغية,,,
ديالا (الحلاق),Diala (barber) ,غير معروف,0,0,0,0,0,0,0,ملغية,,,
دانفوديو,Danfodio,غير معروف,0,0,0,0,0,0,0,ملغية,,,
سريال للتجارة والتوكيلات,Serial Trading & Agencies,غير معروف,0,0,0,0,0,0,0,ملغية,,,
اسكاى وى لتصنيع الجبص والازبلاج,Sky Way For Gypsum & Lavage Manufacturing ,غير معروف,0,0,0,0,0,0,0,ملغية,,,
فوماهونق للتعدين والاستثمار ,Fumahong Mining & Investment ,غير معروف,0,0,0,0,0,0,0,ملغية,,,
سيسامور للتعدين المحدوده,"Sesamur Mining Co., Ltd.",غير معروف,0,0,0,0,0,0,0,ملغية,,,
مزن للتعدين,Muzn Mining,غير معروف,0,0,0,0,0,0,0,ملغية,,,
ترنديل العالمية المحدودة,Trenddale Global Ltd,غير معروف,0,0,0,0,0,0,0,ملغية,,,
البتراء للكهرباء والمقاولات,Petra Electricity & Contracting,غير معروف,0,0,0,0,0,0,0,ملغية,,,
