CODE,الشـــــــــــــــــــركة,الايميل,
412,ALALMASS FOR MINERALLZATION,dr.abdalsalam@yahoo.com,1
413,Sudasam Mining for copper and Lead CO.Ltd,elsallawi@sudasam.com,
414,ولاية القضارف,urbangadarf@hotmail.com,
415,ALNHDA MINING CO.LTD,profyounis@hotmail.com,
416,السودانية الأسترالية للتجارة والإستثمار المحدودة (SATICO),watersatico@yahoo.com,
417,حكومة ولاية كسلا,amer_oh2000@yahoo.com,
418,KAMBAL INTERNATIONAL CO.,nazarabdo500@gmail.com,1
419,MALDEIF MINING CO.LTD,MALDEIFINOFMINING@Gmail.com,1
420,أعمال التعدين المتقدمة المحدودة (أوهاف للتعدين المحدودة إسم الانتاج),admico2@hotmail.com,1
421,السودانية للتقانة  (SMT),admico2@hotmail.com,1
422,QMSD MINING CO.LTD,halathbah@qatarmining.com,1
423,لازوتين للتعدين المحدودة,geonatural_sd@yahoo.com,1
424,Millennium Mining Co.Ltd,millenniummining@gmail.com,1
425,EL Rand for Advance Business Company.Ltd,alrandb16@gmail.com,1
426,ZAT EL EMAT Industry CO.LTD,hrmza2019@outlook.com,1
427,ولاية البحر الأحمر (الرضا للتعدين),alreadamining1982@gmai.com,1
428,ايربوس للهندسة والتجارة المحدودة,nibrastranss@gmail.com,
429,كهرمان للأنشطة المتعددة و الإستثمار المحدودة,delmon@hotmail.com,
430,ASPIRE NATURAL RESOURCES CO.LTD,asr@asrconglomerate.com,1
431,مياس ساند المعدنية المحدودة,en.geologist@gmail.com,1
432,KUSH FOR EXPLORATION & PRODUCTION CO.LTD,samir.zhetpisov@alliance-kush.com,1
433,HUSSIEN MADAWI BARAKA & SONS COMPANY LIMITED,info@hmbaraka.com,1
434,بيوضة الكبرى للإستثمار  والتنمية,bayuda.26b@outlook.com,1
435,SOFT JATHASU FOR INVESTMENT CO.LTD,Softjathasugeneraltrading@gmail.com,1
436,MANAHOLDING CO.LTD,limw@norinmining.com,1
437,حكومة ولاية نهر النيل و  أركيديا للموارد الأفريقية المحدودة,Emadzey@icloud.com,1
438,نجيم قولد للتعدين المحدودة,limw@ norinmining.com,1
439,FINE GOLD TRADING COMPANY LIMITED,finegoldmining.com,
440,بركان للصناعات المعدنية المحدودة,Mo.sallawi@gmail.com,1
441,ولاية شمال كردفان,sudan.gov.sd,
442,جهينة للتجارة والاستثمار المحدودة,ifo@guhaina-miningcom,1
443,DONGALA-ARGEEN HIGH WAY FOR INVESTMENT COMPANY LIMITED,dongolaargeenh@hotmail.com,1
444,الهاجري للأعمال المتقدمة المحدودة,alhajry@mining.com,
445,الولاية الشمالية,it@alshamaliastate.org.sd,
446,مشروع جبل عامر(الجنيد للأنشطة المتعددة سابقاً),smrc,
447,نبتة للجيولوجيا و التعدين المحدودة,ragab.elbanna@ascom.com,
448,آيات لخدمات حقول البترول المحدودة,Web site: eyatoil.com,
449,عبد الوهاب السيسي للتعدين المحدودة,dr.alsisi@hotmail.com,
450,الحضارات القديمة للاستثمار المحدودة,ancientcivilil@mining.com,
451,T.W.N.   للتعدين المحدودة,abdosaudi@yahoo.com,
452,سر الختم أحمد طه و أولاده العالمية للإستثمار,Info.satsmining@gmail.com,1
453,ولاية الجزيرة,sudan.gov.sd,
454,ولاية الخرطوم,sudan.gov.sd,
455,ولاية النيل الأزرق,sudan.gov.sd,
456,ولاية غرب دارفور,sudan.gov.sd,
457,ولاية جنوب دارفور,sudan.gov.sd,
458,OAM   للتعدين المحدودة,vishnuoswal@gmail.com,
459,بي بي هيدروليك المحدودة (بي بي للتعدين),bb.hydraulic2012 @gmail.com,
460,ولاية غرب كردفان,sudan.gov.sd,
461,ولاية غرب كردفان,sudan.gov.sd,
462,QMSD MINING CO.LTD,halathbah@qatarmining.com,1
463,ولاية النيل الأزرق,sudan.gov.sd,
464,النحلة للبترول المحدودة,info@beegroub.net,
465,المتحدة للتعدين المحدودة (يو إم سي),Awdkabal@gmail.com,1
466,ولاية البحر الاحمر,motabaa2020@yahoo.com,
467,لازوتين للتعدين,geonatural_sd@yahoo.com,1
468,البجراوية للتعدين,albagrawiya@Yahoo .ca,
469,ديزل للتعدين,diesel@minig.com,
470,ولاية جنوب كردفان,omersidAhmed72@gmail.com,1
471,نيلان العالمية المحدودة,Neilaninter@gmail.com,
472,مناجم العالمية للتعدين المحدودة(مانوب),G.mohamed@managemgroup.com,1
473,الارض العالمية للحلول المتكاملة  المحدودة,alard60@gmail.com,
474,النواتي للتعدين (النواتي لتعدين الذهب والنحاس),alnawati@hotmail .com,
475,مهوقني للاستثمار المحدودة,mahogany@goldenarrowsudan.com,1
476,BRINSLEY ENTERPRISES LTD,Sally.abdullah@orshab.com,1
477,OKO MINING INVESTMENTS CO.LTD,Ahmed.faisal@dlalgroup.com,1
