id,الشركة,رقم الاتفاقية/العقد:,تاريخ التوقيع:,تاريخ البداية,تاريخ النهاية,الولاية:,المحلية:,المنطقة:,رقم المربع:,المعدن:,المساحة الحالية بالكيلوميتر:,ممثل الحكومة:,الزكاة:,الاجار السنوي:,حالة الاتفاقية/العقد:,أجل السريان,المساحة الأولية بالكيلوميتر:
412,ALALMASS FOR MINERALLZATION,J12,2011-10-03,2011-10-03,2025-05-01,القضارف,البطانة,,J12,ذهب,227.2,6000,2.5,2272,سارية,2025-05-01,453.2
413,Sudasam Mining for copper and Lead CO.Ltd,GS13,2013-09-26,2013-09-26,2025-04-15,القضارف,قلع النحل,,GS13,ذهب +نحاس,350.6,6000,2.5,3506,مجمدة ,2025-04-15,705
414,ولاية القضارف,B11,2014-10-31,2014-10-31,2015-09-29,القضارف,القضارف,,B11,ذهب,460.1,6000,2.5,4601,غير سارية,2015-09-29,460.1
415,ALNHDA MINING CO.LTD,GS12,2014-03-26,2014-03-26,2022-08-29,القضارف,قلع النحل,,GS12,ذهب,61.2,6000,2.5,612,غير سارية,2022-08-29,822
416,السودانية الأسترالية للتجارة والإستثمار المحدودة (SATICO),H12,2011-09-15,2011-09-15,2024-04-14,القضارف,البطانة,,H12,ذهب,114.4,6000,2.5,1144,غير سارية,2024-04-14,480
417,حكومة ولاية كسلا,KS5,2014-02-13,2014-02-13,2015-02-12,كسلا,تلكوك,,KS5,ذهب,4034,6000,2.5,40340,غير سارية,2015-02-12,4034
418,KAMBAL INTERNATIONAL CO.,78,2011-10-27,2011-10-27,2022-01-05,كسلا,تلكوك,,78,ذهب,9.7,6000,2.5,97,غير سارية,2022-01-05,2448
419,MALDEIF MINING CO.LTD,5A,2011-08-02,2011-08-02,2023-12-25,البحر الأحمر,جبيت,,5A,ذهب,958,6000,2.5,9580,غير سارية,2023-12-25,5083
420,أعمال التعدين المتقدمة المحدودة (أوهاف للتعدين المحدودة إسم الانتاج),3A,2012-10-01,2012-10-01,2024-01-05,البحر الأحمر,جبيت,,3-A,ذهب,101.4,6000,2.5,1014,غير سارية,2024-01-05,3050
421,السودانية للتقانة  (SMT),7B,2012-12-13,2012-12-13,2020-12-14,البحر الأحمر,جبيت,,7B,ذهب +حديد,403.4,6000,2.5,4034,غير سارية,2020-12-14,3240
422,QMSD MINING CO.LTD,62,2013-04-12,2013-04-12,2025-04-10,البحر الأحمر,جبيت,,62,ذهب,4380,6000,2.5,43800,سارية,2025-04-10,4380
423,لازوتين للتعدين المحدودة,7A-1,2014-03-24,2014-03-24,2020-11-24,البحر الأحمر,جبيت,,7A-1,ذهب,413,6000,2.5,4130,غير سارية,2020-11-24,1517
