الشركة,id,رقم الاتفاقية/العقد:,تاريخ التوقيع:,تاريح البداية:,تاريخ النهايةا العقد:,الولاية:,المحلية:,المنطقة:,رقم المربع:,المعدن:,المساحة بالكيلوميتر:,الاحتياطي بالطن:,ممثل الحكومة:,نسبة الممثل (%):,نسبة الشركة (%):,العوائد الجليلة:,الزكاة:,الاجار السنوي:,حالة الاتفاقية/العقد:,ملف الاتفاقية/العقد:,,,,,
دويشات للتعدين المحدودة,41,2013/15-27,2013-02-08,2013-02-08,2043-02-08,الشمالية,وادي حلفا,دويشات,A1,ذهب,34,3.09,0,25,75,7,2.5,10000,سارية,,,,,,
دلقو للتعدين المحدودة,42,(2012)/1-11,2012-01-21,2012-01-21,2042-01-21,الشمالية,دلقو,أبوصارا,17,ذهب,22,6.9,0,18,82,7,2.5,10000,سارية,,,,,,ممثل الحكومة:
مانوب للتعدين المحدودة,33,(2013)/38-106,2013-01-15,2013-01-15,2043-01-15,نهر النيل,أبوحمد,قبقبة,15,ذهب,142,58,0,22,78,7,1.82,10000,سارية,,,,,,شركة سودامين المحدودة
أمدرمان للتعدين المحدودة,44,2012/31,2024-01-09,2024-01-09,2034-01-09,نهر النيل,بربر,العبيدية,23,ذهب,2.36024,4.3,0,18,82,7,2.5,20000,سارية,,,,,,وزارة المالية والإقتصاد الوطني
حجاجية لتعدين الذهب المحدودة,45,2013/32,2013-05-21,2013-05-21,2043-05-21,نهر النيل,بربر,بيوضة,21,ذهب,4,2.6,0,30,70,7,2.5,10000,سارية,,,,,,شركة سودامين المحدودة
أرياب للتعدين المحدودة,48,1997/1,2004-03-16,2004-03-16,2025-03-16,البحر الأحمر,القنب والأوليب,أرياب,"11,18",ذهب,32,0,0,100,0,7,2.5,10000,سارية,,,,,,شركة سودامين المحدودة
اليانس للتعدين المحدودة,34,2015/14,2015-05-12,2015-05-12,2035-05-12,البحر الأحمر,هيا,وادي العشار,30,ذهب,23.72,2.218,0,25,75,7,1.82,10000,سارية,,,,,,وزارة المالية والإقتصاد الوطني
النواتي لتعدين الذهب والنحاس المحدودة,50,2013/2,2012-11-11,2012-11-11,2042-11-11,البحر الأحمر,جبيت المعادن,هويت,16,ذهب,12,6.8,0,20,80,7,2.5,10000,سارية,,,,,,وزارة المالية والإقتصاد الوطني
أورشاب لتعدين الذهب المحدودة,51,2013/35,2013-01-15,2013-01-15,2043-01-15,البحر الأحمر,جبيت المعادن,أورشاب,5,ذهب,4.3,12.67,0,27,73,7,1.23,10000,سارية,,,,,,شركة سودامين المحدودة
فاروس لتعدين الذهب المحدودة,52,2016/1,2016-02-18,2016-02-18,2026-02-18,البحر الأحمر,جبيت المعادن,نورايا,5A,ذهب,2.1,3.064,0,25,75,7,2.5,10000,سارية,,,,,,شركة سودامين المحدودة
بان سودان ريسورسز للتعدين المحدودة,46,2024/4,2022-03-12,2022-03-12,,نهر النيل,الدامر,جنوب شرق شراريت,RNS11,ذهب,1.9,0,0,30,70,7,2.5,20000,سارية,,,,,,وزارة المالية والإقتصاد الوطني
دي ام للتعدين المحدودة,54,2021/1,2021-06-17,2021-06-17,2041-06-17,البحر الأحمر,هيا,الزهتيب,RS-64D,ذهب,1.9,0,0,30,70,7,0.75,10000,سارية,,,,,,الشركة السودانية للموارد المعدنية المحدودة
أوهاف للتعدين المحدودة,55,2020/6,2020-12-01,2020-12-01,2041-12-01,البحر الأحمر,جبيت المعادن,جبيت المعادن,3A,ذهب,4,0,0,30,70,7,2.5,10000,سارية,,,,,,وزارة المعادن
هواكان حمادي ريسورس,56,2007/5,2007-05-03,2007-05-03,2028-05-03,نهر النيل,أبوحمد,أم سرح,20,ذهب,14,13.8,0,30,70,7,2.5,10000,سارية,,,,,,وزارة المعادن
راندكو للتعدين المحدودة,57,Id/57,2022-02-01,2022-02-01,2022-02-01,البحر الأحمر,جبيت المعادن,هويت,16B,ذهب,4,0,0,30,70,7,2.5,10000,سارية,,,,,,الشركة السودانية للموارد المعدنية المحدودة
مياس ساند المعدنية,58,Id/58,2021-10-01,2021-10-01,2051-10-01,نهر النيل,أبوحمد,قلعة الصفر,14,ذهب,38,87.9,0,20,80,7,2.5,10000,سارية,,,,,,وزارة المالية + الهيئة العامة للأبحاث الجيلوجية
بيرث لإنتاج المعادن المحدودة,59,2022/30,2022-10-05,2022-10-05,2043-10-05,القضارف,قلع النحل,قلع النحل,GS12,ذهب,3,0,0,30,70,7,2.5,20000,سارية,,,,,,وزارة المعادن
شركة صحاري البركة للتعدين المحدودة,47,(2012)/12-19,2012-02-08,2012-02-08,2033-02-08,نهر النيل,بربر,أبوحراز,25,ذهب,8,0,0,21.5,78.5,7,2.5,0,تنازلات عن الرخص,,,,,,وزارة المعادن
حسين مضوي بركه,53,Id/53,,,,نهر النيل,أبوحمد,الحوش,32,ذهب,,0,0,0,0,7,2.5,0,سارية,,,,,,وزارة المعادن (الطاقة والتعدين حينها)
أدرمو للتعدين المحدودة,62,2023/1,2023-03-14,2023-03-14,2043-03-14,البحر الأحمر,جبيت المعادن,همسانة,5B ,ذهب,2,0,0,25,75,7,2.5,20000,سارية,,,,,,شركة سودامين المحدودة
إرم ذات للذهب المحدودة,61,2023/3,2023-12-02,2023-12-02,2043-12-02,البحر الأحمر,جبيت المعادن,هويت,16A,ذهب,1,0,0,,,7,2.5,20000,سارية,,,,,,0
قولدين بيرد للتعدين المحدودة,60,2024/2,2024-04-30,2024-04-30,2044-04-30,البحر الأحمر,هيا,وادي العشار,A30,ذهب,1.99,0,0,30,70,7,2.5,20000,سارية,,,,,,وزارة المعادن
البدري للتعدين القابضة المحدودة,63,2023/2,2023-03-14,2023-03-14,2043-03-14,نهر النيل,الدامر,شرق شراريت,30R,ذهب,1,0,0,,,7,2.5,20000,سارية,,,,,,الهيئة العامة للابحاث الجيولوجية
