id,created_at,created_by,updated_at,updated_by,الشركة,رقم الاتفاقية/العقد:,تاريخ التوقيع:,تاريح البداية:,تاريخ النهايةا العقد:,الولاية:,المحلية:,المنطقة:,رقم المربع:,المعدن:,المساحة بالكيلوميتر:,الاحتياطي بالطن:,ممثل الحكومة:,نسبة الممثل (%):,نسبة الشركة (%):,نصيب الدولة:,ارباح الاعمال,المسئولية المجتمعية,الزكاة:,رسوم العقد,حالة الاتفاقية/العقد:,ملف الاتفاقية/العقد:
,,,,,ساندستون للتنمية والاستثمار المحدودة,237,2024-03-03,2024-03-03,2025-03-02,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,20,0,0,0,0,ساري,
,,,,,نجير للتنمية المحدودة,246,2022-03-15,2023-07-30,2024-07-29,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,20,0,0,0,0,غير ساري,
,,,,,أم عوادة لخدمات الذهب التقليدي,252,2022-04-20,2022-04-20,2023-04-19,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,20,0,0,0,0,غير ساري,
,,,,,كريبر للحلول المتكاملة المحدودة,264,2024-03-27,2024-03-27,2025-03-26,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,20,0,0,0,0,ساري,
,,,,,الهصور للتعدين - (كدرمة),291,2023-11-12,2023-11-12,2024-11-11,الشمالية,دلقو,كدرمة,0,ذهب,0,0,0,0,0,20,0,0,0,0,ساري,
,,,,,الهصور للتعدين - (الخناق),294,2021-12-09,2021-12-09,2022-12-08,الشمالية,وادي حلفا,الخناق,0,ذهب,0,0,0,0,0,20,0,0,0,0,غير ساري,
,,,,,الأنفال للتعدين,297,2020-02-11,2020-02-11,2023-02-10,الشمالية,وادي حلفا,الخناق,0,ذهب,0,0,0,0,0,20,0,0,0,0,غير ساري,
,,,,,مدن الذهب السبع للتعدين,299,2022-03-15,2023-07-31,2024-07-30,الشمالية,وادي حلفا,حلفا,0,ذهب,0,0,0,0,0,20,0,0,0,0,غير ساري,
,,,,,جمعية نور الهدى التجارية المتعددة الاغراض,303,2024-03-27,2024-03-27,2025-03-26,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,20,0,0,0,0,ساري,
,,,,,أعمال ود الخير للتعدين,304,2023-11-01,2023-11-08,2024-11-07,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,20,0,0,0,0,ساري,
,,,,,سبدو للأنشطة المتعددة,305,2023-07-30,2023-07-30,2024-07-29,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,20,0,0,0,0,غير ساري,
,,,,,عادل ميرغني الرفاعي,309,2024-03-03,2024-03-03,2025-03-02,الشمالية,دلقو,شدة,0,ذهب,0,0,0,0,0,20,0,0,0,0,ساري,
,,,,,وي لينك للانشطة المتعددة (معالجة جيرة),310,2024-06-03,2024-06-03,2025-06-02,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,20,0,0,0,0,ساري,
,,,,,اعمال المجموعة الدولية للتعدين,343,8/3/2023,8/3/2023,7/3/2024,البحر الاحمر,جبيت,نورايا,0,ذهب,0,0,0,0,0,20,0,0,0,0,غير ساري,
,,,,,شركة السندي,335,30/7/2023,30/7/2023,29/7/2024,البحر الاحمر,هيا,هيا,0,ذهب,0,0,0,0,0,20,0,0,0,0,غير ساري,
,,,,,شكير للتعدين,350,2020-09-04,2020-09-04,2021-09-03,البحر الاحمر,هيا,وادى العشار,0,ذهب,0,0,0,0,0,20,0,0,0,0,غير ساري,
,,,,,شركة النجم الساطع للتعدين المحدودة,354,21/2/2024,21/2/2024,21/2/2025,البحر الاحمر,هيا,وادى العشار,0,ذهب,0,0,0,0,0,20,0,0,0,0,ساري,
,,,,,مامور كومرا للانشطة المتعددة,358,28/7/2024,28/7/2024,27/7/2025,القضارف,قلع النحل,سالمين,0,ذهب,0,0,0,0,0,20,0,0,0,0,ساري,
,,,,,الجنيد للأنشطة المتعددة (سنقو),405,28/6/2022,28/6/2022,27/6/2023,جنوب كردفان,الردوم,الردوم,0,ذهب,0,0,0,0,0,20,0,0,0,0,غير ساري,
