id,الشركة,رقم الاتفاقية/العقد:,تاريخ التوقيع:,تاريح البداية:,تاريخ النهايةا العقد:,الولاية:,المحلية:,المنطقة:,رقم المربع:,المعدن:,المساحة بالكيلوميتر:,الاحتياطي بالطن:,ممثل الحكومة:,نسبة الممثل (%):,نسبة الشركة (%):,العوائد الجليلة:,ارباح الاعمال,المسئولية المجتمعية,الزكاة:,رسوم العقد,حالة الاتفاقية/العقد:,ملف الاتفاقية/العقد:
572,رضا للهندسة والإنشاءات المحدودة (الكرو),0,2019-07-30,2017-07-31,2019-07-30,نهر النيل,ابوحمد,الكرو,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
573,الكامل للتعدين (ام سرح),0,2019-05-17,2017-05-18,2019-05-17,نهر النيل,ابوحمد,ام سرح,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
574,حسين مضوى لمعالجة مخلفات الجيرة,0,2022-06-10,2021-07-10,2022-06-10,نهر النيل,ابوحمد,نمرة (6),0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
575,المسبار لخدمات البترول المحدودة,0,2019-10-15,2018-10-16,2019-10-15,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
576,ميروقولد للتعدين,0,2020-12-03,2018-12-04,2020-12-03,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
577,الجنيد للانشطة المتعددة المحدودة (المثلث),0,2019-07-09,2017-07-10,2019-07-09,الشمالية,وادي حلفا,المثلث,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
578,الإعتماد للصناعات الحديدية المحدودة - (سيسا),0,2019-08-05,2017-08-06,2019-08-05,الشمالية,دلقو,شدة,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
579,الجبالي للحلول المتكاملة المحدودة,0,2024-08-04,2024-08-04,2027-08-03,الشمالية,البرقيق,البرقيق,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
580,تقسيط للتعدين,0,2024-08-22,2024-08-22,2027-08-21,الشمالية,دنقلا,القعب,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
581,سعود البرير للتعدين المحدودة,0,2021-11-14,2024-11-14,2027-11-13,البحر الاحمر,القنب والاوليب,اربعات,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
582,الصحاري القابضة للتجارة و التعدين و الخدمات العامة المحدودة,0,2021-09-24,2024-09-24,2027-09-24,البحر الاحمر,جبيت,نورايا,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
583,شركة التواصل للتجارة والاستثمار المحدودة,0,2018-01-02,2018-01-02,2021-01-02,البحر الاحمر,القنب والاوليب,اربعات,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
584,شركة أكاكوس ,0,2018-01-02,2018-01-02,2020-01-02,البحر الاحمر,القنب والاوليب,اربعات,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
585,أعمال المجموعة الدولية للتعدين (تلكوك),0,اكتوبر/2017,2020-10-06,2022-10-05,كسلا,تلكوك,تلكوك,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
586,الراتق للتعدين,0,2024-04-02,2024-04-02,2027-04-01,النيل الازرق,ود الماحى,بلقوه,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,سارية,
587,النعيم للتعدين,0,يوليو/2014,2020-01-02,2023-01-01,شمال كردفان,سودرى,سودرى,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
588,فاين قولد التجارية المحدودة,0,ديسمبر/2014,2020-01-10,2023-01-09,شمال كردفان,سودرى,سودرى,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
589,أعمال الحاج محمد أحمد للتعدين,0,سبتمبر/2014,2020-01-31,2023-01-30,شمال كردفان,سودرى,سودرى,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
590,أعمال علي فضل السيد للتعدين,0,اكتوبر/2014,2017-03-30,2019-03-29,شمال كردفان,جبرة الشيخ,جبرة الشيخ,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
591,شركة احيمر للتعدين المحدودة,0,2022-11-03,2022-11-03,2025-11-02,شمال كردفان,جبرة الشيخ,جبرة الشيخ,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,سارية,
592,إسكاي موتور للتجارة و الإستثمار المحدودة,0,2021-10-06,2021-10-06,2024-10-05,غرب كردفان,النهود,النهود,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
593,شركة ليجند تورنادو للحلول المتكاملىة,0,2021-05-04,2021-05-04,2024-05-03,غرب كردفان,السنط,السنط,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
594,أعمال نوش للتعدين (غرب كردفان),0,2014-01-09,2018-01-12,2020-01-11,غرب كردفان,النهود,النهود,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
595,الإعتماد للصناعات الحديدية المحدودة (أبو جبيهة),0,2019-09-05,2019-09-05,2022-09-04,جنوب كردفان,ابوجبيهة,ابوجبيهة,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
596,التواصل للتجارة والإستثمار المحدودة             ,0,اغسطس/2014,2022-08-20,2024-08-19,جنوب كردفان,كادقلي,كادقلى,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
597,السنط لتعدين المحدودة,0,اكتوبر/2014,2018-01-11,2020-01-10,جنوب كردفان,تلودى,تلودى,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
598,الجنيد للأنشطة المتعددة المحدودة (ج كردفان),0,يوليو/2017,2017-07-10,2019-07-09,جنوب كردفان,الليرى,الليرى,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
