id,رمز نوع الرخصة
1086,2
1438,2
1041,2
1219,3
1298,2
1220,3
1087,2
1221,2
1436,2
1435,2
1434,2
1394,2
1088,2
1437,2
1089,2
1230,3
1225,2
1222,2
1223,2
1224,2
1090,2
1091,2
973,3
1226,3
1227,3
1228,3
1229,3
1427,3
1428,3
1234,3
1420,3
1235,3
1236,3
1237,2
1238,3
1239,3
1240,3
1241,3
1242,3
1243,3
1244,3
1245,3
1247,3
1246,3
1249,3
1362,2
1251,3
1250,3
1253,3
1254,3
1255,2
1402,3
1409,3
1456,2
1256,3
1257,3
1258,3
1410,3
1217,3
1061,2
1140,2
1141,2
1062,2
1064,2
1063,2
1142,2
1143,3
1065,2
1218,2
1066,2
1056,2
1487,2
1067,3
1068,3
1468,2
1470,2
1475,2
1474,2
1469,2
1472,2
1473,2
1471,2
1069,3
968,3
1070,2
1480,2
1144,3
1376,2
1377,2
1378,2
1381,2
1379,2
1380,2
1382,2
1383,2
1071,2
1073,2
1072,2
1145,3
967,3
1231,3
969,2
1147,2
1146,2
1439,2
994,2
1232,3
995,2
1423,2
1422,2
1233,2
1150,2
1151,2
1463,2
1154,2
1153,2
1152,2
1155,3
1156,3
1157,3
1032,3
1159,3
1160,3
1416,3
1417,3
1158,2
970,2
1489,2
1486,3
1485,2
971,2
972,3
1412,3
1162,2
1161,3
1168,2
1490,2
1169,3
1170,3
1171,3
1172,3
1173,3
1174,3
1175,3
1033,3
1149,2
1148,2
1424,2
1176,3
1403,3
1177,3
1178,3
1179,3
1034,2
1370,2
1180,3
1035,2
1074,2
1075,2
1181,3
1183,3
1076,2
1079,2
1077,2
1078,2
1081,2
1371,2
1083,2
1084,2
1082,2
1080,2
1166,3
1407,3
1164,3
1165,3
1167,3
1408,3
1163,3
1184,2
1185,2
1186,3
1187,3
1188,3
1189,3
1190,2
1193,3
1192,3
1191,3
1194,3
1397,3
1195,3
1085,2
1196,2
1497,2
1197,2
996,2
1198,3
1199,3
1200,3
1201,2
1202,3
997,2
998,2
1203,3
999,2
1204,2
1205,3
1206,3
1207,2
1036,3
1208,2
1210,2
1209,2
1418,3
1404,3
1425,2
1213,2
1211,2
1212,2
1214,2
1215,2
1461,2
1488,2
1216,3
1260,3
1259,3
1092,2
1093,2
1094,2
1504,2
1095,2
1261,2
1401,3
1448,2
1484,2
1262,3
1096,2
1263,2
1042,3
1043,3
1264,3
1398,3
1419,3
1309,2
1310,2
1265,3
1374,2
1266,3
1375,2
1044,2
1267,3
1270,2
1272,2
1271,2
1269,2
1273,3
1465,2
1464,2
1045,3
1274,3
1046,2
1275,3
1276,3
1415,3
1277,3
1278,3
1280,2
1285,2
1284,2
1286,2
1281,2
1282,2
1283,2
1287,2
1288,2
1289,3
1466,2
1467,2
1047,2
1290,3
1291,3
1292,3
974,3
975,2
1458,2
976,2
1462,2
1481,2
1482,2
1483,2
1293,3
1294,3
1295,3
1296,2
1098,2
1097,2
992,2
1385,2
989,2
990,2
991,2
993,2
1116,2
1117,2
1389,2
1120,2
1121,2
1119,2
1118,2
1395,2
1396,2
1123,2
1124,2
1122,2
1450,2
1297,3
1299,3
1300,3
1301,2
1099,2
1000,2
1499,2
1503,2
1500,2
1501,2
1502,2
1302,2
1303,3
1001,2
1103,2
1111,2
1106,2
1104,2
1102,2
1101,2
1107,2
1108,2
1109,2
1110,2
1100,2
1105,2
1451,2
981,2
1113,2
1182,3
980,2
1112,2
1115,2
1114,2
1505,2
1442,2
1304,2
1444,2
1002,2
1003,2
1004,2
1005,2
1049,3
1050,3
1305,3
1048,3
1441,2
1306,3
1307,3
1506,3
1308,2
1449,2
1460,2
1459,2
1311,3
1030,2
1511,2
1510,2
1312,3
1334,2
1007,2
1006,2
1313,3
1011,2
1008,2
1009,2
1010,2
1445,2
1447,2
1440,2
978,3
1314,2
1316,2
1315,2
1015,2
1017,2
1051,3
1012,2
1018,2
1013,2
1014,2
1016,2
1019,2
1125,2
1317,2
1414,3
1413,3
1318,3
1319,3
1320,3
1022,2
1020,2
1024,2
1021,2
1023,2
1321,3
1322,3
1126,2
1323,2
1324,2
1325,2
1127,2
1128,2
1129,2
1479,2
1130,2
1330,3
1329,3
1326,2
1327,3
1328,3
1332,2
1331,3
1052,3
1421,3
1026,2
1025,2
1131,2
1496,2
1027,2
1028,2
1426,3
1029,2
1333,2
977,3
1139,2
1053,3
1054,2
1386,2
1335,2
1055,2
1336,3
1340,2
1337,2
1341,2
1338,2
1339,2
1342,2
1387,3
1455,2
1132,2
1343,2
1384,2
1344,2
1345,3
1443,2
1346,3
1133,2
1347,2
1388,3
1348,2
1134,2
1135,2
1452,2
1136,2
1349,3
1350,3
1351,3
1352,2
1353,3
1454,2
1354,3
1355,2
1356,3
1357,3
1358,3
1492,2
1495,2
1493,2
1494,2
1491,2
1137,2
1058,3
1057,3
1138,2
1059,2
1372,2
1373,2
1359,3
1519,2
1520,2
979,3
1360,3
1361,3
1248,3
1031,2
1364,2
1363,2
1457,2
1365,3
1366,3
1060,3
1367,3
1411,3
1368,3
1369,3
1405,3
