ID,الاسم,Sector ID,POINT_X,POINT_Y
2,الخرطوم,,32.81047,15.862423
8,جنوب كردفان,,30.816839,11.283507
9,شمال دارفور,,25.562213,16.214041
10,البحر الأحمر,,35.702382,19.838439
12,شمال كردفان,,29.753896,14.873123
13,النيل الأزرق,,34.125788,11.286195
14,الجزيرة,,33.352198,14.610436
15,غرب دارفور,,22.633058,13.527072
16,جنوب دارفور,,24.463548,10.970585
17,غرب كردفان,,28.407945,11.79001
18,البحر الأحمر - نهر النيل,,33.46821,18.35061
21,النيل الابيض,,32.346318,13.439716
22,وسط دارفور,,23.350082,12.317681
23,سنار,,34.046323,12.912855
4,الشمالية,1,29.342849,19.573775
1,نهر النيل,1,33.46821,18.35061
6,كسلا,2,35.759255,15.969912
7,النيل الازرق,2,34.125788,11.286195
11,القضارف,2,35.215363,14.164163
