رقم الإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز,,
KS/23/203,شركة المنجز للإستيراد والتصدير,23/11/2023,8318.5,كسلا,5,,
KS/23/204,شركة مأمور كومرا للأنشطة المتعددة,27/11/2023,24118.9,كسلا,10,,
KS/23/205,أعمال علي محمد إبراهيم التجارية,29/11/2023,3706.5,كسلا,8,,
KS/23/206,شركة المنجز للإستيراد والتصدير,29/11/2023,23511,كسلا,5,,
KS/23/51,علي عبد الله الخليفة علي التجارية,03/12/2023,11556,كسلا,40,,
KS/23/52,المنجز للإستيراد والتصدير,03/12/2023,9126.2,كسلا,5,,
KS/23/53,شركة علقم للأنشطة المتعددة,04/12/2023,33542,كسلا,9,,
KS/23/54,أعمال علي محمد إبراهيم,04/12/2023,5411.4,كسلا,8,,
KS/23/55,شركة مأمور كومرا للأنشطة المتعددة,05/12/2023,12066.1,كسلا,10,,
KS/23/56,أعمال علي محمد إبراهيم,06/12/2023,8635,كسلا,8,,
KS/23/01,شركة علقم للأنشطة المتعددة,06/12/2023,49910.7,كسلا,9,,
KS/23/02,شركة علقم للأنشطة المتعددة,08/12/2023,37284.8,كسلا,9,,
KS/23/03,أعمال علي محمد إبراهيم,10/12/2023,4614.7,كسلا,8,,
KS/23/04,أعمال جسر الخليج للإستيراد والتصدير,12/12/2023,15469.8,كسلا,3,,
KS/23/05,شركة علقم للأنشطة المتعددة,16/12/2023,76769.06,كسلا,9,,
KS/23/06,شركة علقم للأنشطة المتعددة,20/12/2023,53268.07,كسلا,9,,
KS/23/07,شركة أبونواف للإستيراد والتصدير,21/12/2023,19882,كسلا,2,,
KS/01,شركة أولاد محي الدين,17/01/2024,51921.1,كسلا,1,,
KS/02,شركة أولاد محي الدين,25/01/2024,71479.1,كسلا,1,,
KS/03,شركة أي كوم التجارية,29/01/2024,32764.7,كسلا,7,,
KS/05,شركة أي كوم التجارية,01/02/2024,34321.2,كسلا,7,,
KS/06,شركة سوميت لتطوير الأعمال المحدودة ,01/02/2024,24192,كسلا,19,,
KS/07,شركة أكون لايد للأنشطة المتعددة ,01/02/2024,24496.4,كسلا,12,,
KS/08,الشركة الفيصلية المحدودة ,04/02/2024,11924,كسلا,6,,
KS/10,شركة علقم للأنشطة المتعددة ,04/02/2024,17766.5,كسلا,9,,
KS/12,الشركة الفيصلية المحدودة,07/02/2024,9012,كسلا,6,,
KS/13,أعمال علي محمد إبراهيم,08/02/2024,5393,كسلا,8,,
KS/14,الشركة الفيصلية المحدودة,11/02/2024,8526,كسلا,6,,
KS/15,شركة أولاد محي الدين,12/02/2024,48253.6,كسلا,1,,
KS/16,أعمال علي محمد إبراهيم,15/02/2024,12393.9,كسلا,8,,
KS/17,شركة أي كوم للإستيراد والتصدير,18/02/2024,9602,كسلا,7,,
KS/18,شركة المنجز للإستيراد والتصدير,18/02/2024,27655.5,كسلا,5,,
KS/19,شركة أواب للمجوهرات/ التاج جبارة الفكي,18/02/2024,3068,كسلا,20,,
KS/20,أعمال علي محمد إبراهيم,18/02/2024,9871.4,كسلا,8,,
KS/21,أعمال أي كوم التجارية,20/02/2024,82905.9,كسلا,7,,
KS/22,أعمال علي محمد إبراهيم,20/02/2024,19529.9,كسلا,8,,
KS/22,شركة أولاد محي الدين للأنشطة المتعددة,21/02/2024,33765.8,كسلا,1,,
KS/25,أعمال أي كوم التجارية,25/02/2024,72363.9,كسلا,7,,
KS/27,أعمال علي محمد إبراهيم,25/02/2024,27984.9,كسلا,8,,
KS/29,شركة أكون لايد للأنشطة المتعددة,27/02/2024,14002.1,كسلا,12,,
KS/30,الشركة الفيصلية المحدودة,28/02/2024,16329,كسلا,6,,
KS/31,أعمال علي محمد إبراهيم,28/02/2024,10372,كسلا,8,,
KS/32,الشركة الفيصلية المحدودة,03/03/2024,6550.6,كسلا,6,,
KS/33,أعمال جسر الخليج,03/03/2024,34582.5,كسلا,3,,
KS/34,أعمال جسر الخليج,03/03/2024,14695.5,كسلا,3,,
KS/35,الشركة الفيصلية المحدودة,03/03/2024,4493.5,كسلا,6,,
KS/36,أعمال علي محمد إبراهيم,03/03/2024,18287.6,كسلا,8,,
KS/37,شركة مأموركومرا للأنشطة المتعددة,03/03/2024,39713.9,كسلا,10,,
KS/38,شركة دان للأعمال المتقدمة,05/03/2024,12432.4,كسلا,21,,
KS/39,شركة أكون لايد للأنشطة المتعددة,06/03/2024,50478.5,كسلا,12,,
KS/40,شركة المجتبي للأنشطة المتعددة,06/03/2024,8732.2,كسلا,18,,
KS/42,أعمال علي  محمد إبراهيم,10/03/2024,11355,كسلا,8,,
KS/43,أعمال جلجال للتعدين,10/03/2024,9742.8,كسلا,22,,
KS/44,أعمال علي  محمد إبراهيم,11/03/2024,6241.7,كسلا,8,,
KS/45,شركة مأمور كومرا للأنشطة المتعددة,17/3/2024,21223.1,كسلا,10,,
KS/46,شركة دان للأعمال المتقدمة المحدودة ,25/3/2024,13422.5,كسلا,21,,
KS/47,شركة دان للأعمال المتقدمة المحدودة,31/3/2024,11898,كسلا,21,,
KS/48,الشركة الفيصلية المحدودة,02/04/2024,10665.1,كسلا,6,,
KS/49,أعمال علي محمد إبراهيم,05/04/2024,7728.6,كسلا,8,,
KS/50,الشركة الفيصلية المحدودة,15/04/2024,6760.8,كسلا,6,,
KS/51,شركة مأمور كومرا للأنشطة المتعددة,21/04/2024,52517.7,كسلا,10,,
KS/52,الشركة الفيصلية المحدودة,23/04/2024,10978.9,كسلا,6,,
KS/53,أعمال الرميزان للإستيراد والتصدير,25/04/2024,7790.9,كسلا,17,,
KS/54,شركة مأمور كومرا للأنشطة المتعددة,28/04/2024,37056.6,كسلا,10,,
KS/55,القصر فون للإستيراد والتصدير,02/05/2024,6758.3,كسلا,23,,
KS/56,شركة علقم للأنشطة المتعددة,05/05/2024,14342.1,كسلا,9,,
KS/57,شركة علقم للأنشطة المتعددة,07/05/2024,49306.6,كسلا,9,,
KS/58,أعمال علي محمد إبراهيم,07/05/2024,4013.7,كسلا,8,,
KS/59,أعمال عبد الوهاب عباس يوسف,09/05/2024,3009.4,كسلا,30,,
KS/60,شركة مأمور كومرا للأنشطة المتعددة,09/05/2024,42506.6,كسلا,10,,
KS/61,شركة مأمور كومرا للأنشطة المتعددة,19/05/2024,48771.6,كسلا,10,,
KS/62,الشركة الفيصلية المحدودة,16/05/2024,1888.1,كسلا,6,,
KS/62,شركة أكون لايد للأنشطة المتعددة,21/05/2024,21353.6,كسلا,12,,
KS/63,الشركة الفيصلية المحدودة,21/05/2024,5237.8,كسلا,6,,
KS/64,الشركة الفيصلية المحدودة,22/05/2024,18259.1,كسلا,6,,
KS/65,شركة أكون لايد للأنشطة المتعددة,22/05/2024,25377.7,كسلا,12,,
KS/66,أعمال علي محمد إبراهيم,22/05/2024,10035.2,كسلا,8,,
KS/67,أعمال تالين للإستيراد والتصدير,22/05/2024,4456.5,كسلا,26,,
KS/68,أعمال تالين للإستيراد والتصدير,23/05/2024,10133,كسلا,26,,
KS/69,المنجز للإستيراد والتصدير,26/05/2024,13892.6,كسلا,5,,
KS/70,الشركة الفيصلية المحدودة,27/05/2024,6506.2,كسلا,6,,
KS/71,أعمال تالين للإستيراد والتصدير,27/05/2024,10322.5,كسلا,26,,
KS/72,شركة جلجال للحلول المتكاملة المحدودة,27/05/2024,27379,كسلا,22,,
KS/73,الشركة الفيصلية المحدودة,28/05/2024,8502.2,كسلا,6,,
KS/74,المنجز للإستيراد والتصدير,29/05/2024,11917.9,كسلا,5,,
KS/75,شركة مأمور كومرا للأنشطة المتعددة,30/05/2024,22248.5,كسلا,10,,
KS/76,المنجز للإستيراد والتصدير,02/06/2024,16709.8,كسلا,5,,
KS/77,شركة الرميزان للإستيراد والتصدير,02/06/2024,12728.3,كسلا,17,,
KS/78,شركة جلجال للحلول المتكاملة,02/06/2024,30520.6,كسلا,22,,
KS/79,الشركة الفيصلية المحدودة,06/06/2024,19585.1,كسلا,6,,
KS/80,أعمال علي محمد إبراهيم التجارية,06/06/2024,9228,كسلا,8,,
KS/81,شركة جلجال للحلول المتكاملة المحدودة,06/06/2024,50675.2,كسلا,22,,
KS/82,شركة المنجز لللإستيراد والتصدير,07/06/2024,10982.3,كسلا,5,,
KS/83,أعمال بانوراما للإستيراد والتصدير,08/06/2024,60831,كسلا,24,,
KS/84,أعمال تالين قولد للإستيراد والتصدير,10/06/2024,12747.4,كسلا,26,,
KS/85,الشركة الفيصلية المحدودة,10/06/2024,1167.3,كسلا,6,,
KS/86,شركة سلاروس لتجارة المجوهرات,10/06/2024,33000,كسلا,31,,
KS/87,أعمال علي محمد إبراهيم التجارية,10/06/2024,5078.4,كسلا,8,,
KS/88,شركة أكون لايد للأنشطة المتعددة,11/06/2024,9256.1,كسلا,12,,
KS/89,شركة المنجز للإستيراد والتصدير,11/06/2024,11822.3,كسلا,5,,
KS/90,شركة مأمور كومرا للأنشطة المتعددة,11/06/2024,19558.6,كسلا,10,,
KS/91,أعمال بنوراما للإستيراد والتصدير,23/06/2024,66776.6,كسلا,24,,
KS/92,شركة جلجال للحلول المتكاملة,23/06/2024,33115.8,كسلا,22,,
KS/93,الشركة الفيصلية المحدودة,24/06/2024,15231.5,كسلا,6,,
KS/94,أعمال بانوراما للإستيراد والتصدير,26/06/2024,51004.2,كسلا,24,,
