رقمالإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز
RN/01,شركة مأموركومرا للانشطة المتعددة,11/11/2023,14965.4,نهر النيل,10
RN/02,أعمال علي محمد إبراهيم التجارية,13/11/2023,22660.4,نهر النيل,8
RN/03,شركة أولاد محي الدين,14/11/2023,13589.2,نهر النيل,1
RN/04,شركة المنجز للإستيراد والتصدير,25/11/2023,10287.2,نهر النيل,5
RN/05,شركة مأموركومراللأنشطة المتعددة,27/11/2023,20080.9,نهر النيل,10
RN/06,شركة المنجز للإستيراد والتصدير,27/11/2023,11542.3,نهر النيل,5
RN/07,شركة أي كوم التجارية,28/11/2023,12647.9,نهر النيل,7
RN/08,شركة المنجز للإستيراد والتصدير,29/11/2023,20433.8,نهر النيل,5
RN/09,شركة المنجز للإستيراد والتصدير,28/11/2023,7636.4,نهر النيل,5
RN/10,شركة المنجز للإستيراد والتصدير,30/11/2023,29613.2,نهر النيل,5
RN/11,أعمال جسر الخليج للإستيراد والتصدير,03/12/2023,23294.3,نهر النيل,3
RN/12,شركة مأمور كومرا,03/12/2023,18537.6,نهر النيل,10
RN/13,شركة علقم للأنشطة المتعددة المحدودة,03/12/2023,21655.7,نهر النيل,9
RN/16,أعمال جسر الخليج للإستيراد والتصدير,03/12/2023,15710.1,نهر النيل,3
RN/18,أعمال علي محمد إبراهيم,04/12/2023,15647.1,نهر النيل,8
RN/19,شركة أولاد محي الدين,04/12/2023,25293,نهر النيل,1
RN/20,شركة اواب للامجوهرات / التاج جباره الفكى,04/12/2023,10107.9,نهر النيل,20
RN/21,شركة المنجز للإستيراد والتصدير,05/12/2023,30126,نهر النيل,5
RN/22,شركة الياسمين للإستثمار,07/12/2023,11259.9,نهر النيل,42
RN/23,أعمال علي محمد إبراهيم,07/12/2023,9641.8,نهر النيل,8
RN/24,شركة أبونواف للإستيراد,07/12/2023,11209.7,نهر النيل,2
RN/25,شركة الياسمين للإستثمار,09/12/2023,3912.6,نهر النيل,42
RN/26,شركة أبونواف للإستيراد والتصدير,10/12/2023,7130.8,نهر النيل,2
RN/27,شركة علقم للأنشطة المتعددة,10/12/2023,31289.7,نهر النيل,9
RN/28,أعمال جسر الخليج للإستيراد والتصدير,12/12/2023,46405.9,نهر النيل,3
RN/29,أعمال علي محمد إبراهيم,11/12/2023,5655.4,نهر النيل,8
RN/30,شركة أولاد محي الدين,11/12/2023,24224.7,نهر النيل,1
RN/31,شركة أولاد محي الدين,12/12/2023,1906,نهر النيل,1
RN/32,شركة علقم للأنشطة المتعددة,12/12/2023,16667.9,نهر النيل,9
RN/33,شركة أبونواف للإستيراد والتصدير,16/12/2023,47037.07,نهر النيل,2
RN/34,شركة أكون لايت للانشطة المتعددة,16/12/2023,20694.06,نهر النيل,12
RN/35,شركة علقم للأنشطة المتعددة,18/12/2023,27717.04,نهر النيل,9
RN/36,أعمال علي محمد إبراهيم,18/12/2023,13410.03,نهر النيل,8
RN/37,شركة النيل المشرق,18/12/2023,16895.08,نهر النيل,13
RN/38,شركة أبونواف للإستيراد والتصدير,18/12/2023,7493,نهر النيل,2
RN/39,شركة أبونواف للإستيراد والتصدير,19/12/2023,27289.04,نهر النيل,2
RN/40,شركة علقم للأنشطة المتعددة,20/12/2023,47237.03,نهر النيل,9
RN/41,شركة علقم للأنشطة المتعددة,20/12/2023,21056.07,نهر النيل,9
RN/42,شركة أبونواف للإستيراد والتصدير,23/12/2023,11449.2,نهر النيل,2
RN/43,شركة أولاد محي الدين,24/12/2023,41471.9,نهر النيل,1
RN/44,شركة أبونواف للإستيراد والتصدير,26/12/2023,12046,نهر النيل,2
RN/45,أعمال علي محمد إبراهيم,28/12/2023,15894,نهر النيل,8
RN/46,شركة النيل المشرق,28/12/2023,27883.6,نهر النيل,13
RN/48,شركة أولاد محي الدين,07/01/2024,35516.7,نهر النيل,1
RN/49,شركة أولاد محي الدين,15/01/2024,42778.9,نهر النيل,1
RN/50,شركة أبونواف للإستيراد والتصدير,15/01/2024,31940.1,نهر النيل,2
RN/51,شركة أولاد محي الدين,15/01/2024,20152.5,نهر النيل,1
RN/52,شركة أبونواف للإستيراد والتصدير,16/01/2024,27555.9,نهر النيل,2
RN/53,شركة أبونواف للإستيراد والتصدير,17/01/2024,23870,نهر النيل,2
RN/54,شركة أولاد محي الدين,21/01/2024,48309.3,نهر النيل,1
RN/55,شركة أولاد محي الدين,21/01/2024,17917.2,نهر النيل,1
RN/56,أعمال جسر الخليج للإستيراد والتصدير,24/01/2024,14526.2,نهر النيل,3
RN/58,العبار للتنمية المحدودة,28/01/2024,53099,نهر النيل,4
RN/59,شركة أبونواف للإستيراد والتصدير,28/01/2024,20555,نهر النيل,2
RN/60,شركة المنجز للإستيراد والتصدير,29/01/2024,34068.8,نهر النيل,5
RN/61,شركة الفيصلية المحدودة,29/01/2024,41045.7,نهر النيل,6
RN/62,شركة أي كوم التجارية,30/01/2024,50853.3,نهر النيل,7
RN/63,شركة المنجز للإستيراد والتصدير,30/01/2024,43477.6,نهر النيل,5
RN/64,شركة أولاد محي الدين,31/01/2024,63583.8,نهر النيل,1
RN/65,شركة أي كوم التجارية,31/01/2024,50124.4,نهر النيل,7
RN/66,أعمال علي محمد إبراهيم,31/01/2024,26589.8,نهر النيل,8
RN/67,شركة المنجز للإستيراد والتصدير,31/01/2024,25286.3,نهر النيل,5
RN/68,شركة العبار للتنمية المحدودة,01/02/2024,55622.4,نهر النيل,4
RN/69,شركة المنجز للاستيراد والتصدير,03/02/2024,29773.6,نهر النيل,5
RN/70,شركة الفيصلية المحدودة,04/02/2024,88404.8,نهر النيل,6
RN/71,شركة علقم للأنشطة المتعددة,05/02/2024,8058.1,نهر النيل,9
RN/72,شركة العبار للتنمية المحدودة,06/02/2024,55437.1,نهر النيل,4
RN/73,شركة أي كوم للإستيراد والتصدير,07/02/2024,51007.2,نهر النيل,7
RN/74,شركة أي كوم للإستيراد  والتصدير,07/02/2024,51525.7,نهر النيل,7
RN/75,شركة المنجز للإستيراد والتصدير,08/02/2024,30982.6,نهر النيل,5
RN/76,شركة أبونواف للإستيراد والتصدير,13/02/2024,13812.1,نهر النيل,2
RN/77,شركة العبار للتنمية المحدودة,14/02/2024,21997.5,نهر النيل,4
RN/78,أعمال علي محمد إبراهيم,15/02/2024,9210,نهر النيل,8
RN/79,أعمال  جسر الخليج,17/02/2024,37443.2,نهر النيل,3
RN/80,أعمال أي كوم التجارية,17/02/2024,70124.4,نهر النيل,7
RN/81,أعمال أي كوم التجارية,17/02/2024,114501.6,نهر النيل,7
RN/82,شركة المنجز للإستيراد والتصدير,17/02/2024,46568.4,نهر النيل,5
RN/83,شركة العبار للتنمية المحدودة,17/02/2024,43898.1,نهر النيل,4
RN/84,شركة العبار للتنمية المحدودة,19/02/2024,13163.2,نهر النيل,4
RN/85,شركة العبار للتمية المحدودة,19/02/2024,18012.9,نهر النيل,4
RN/86,شركة أي كوم للتجارة,19/02/2024,116885.2,نهر النيل,7
RN/87,شركة العبار للتنمية المحدودة,20/02/2024,35411.3,نهر النيل,4
RN/88,شركة العبار للتنمية المحدودة,20/02/2024,24052.2,نهر النيل,4
RN/89,شركة أولاد محي الدين,20/02/2024,86216,نهر النيل,1
RN/90,شركة المنجز للإستيراد والتصدير,20/02/2024,51713.8,نهر النيل,5
RN/91,أعمال علي محمد إبراهيم,20/02/2024,5235.6,نهر النيل,8
RN/92,أعمال أي كوم التجارية,21/02/2024,33670.2,نهر النيل,7
RN/93,أعمال أي كوم التجارية,21/02/2024,24300.6,نهر النيل,7
RN/94,شركة العبار للتنمية المحدودة,22/02/2024,33163.4,نهر النيل,4
RN/95,أعمال علي محمد إبراهيم,22/02/2024,18526.2,نهر النيل,8
RN/96,شركة المنجز للإستيراد والتصدير,22/02/2024,68932.9,نهر النيل,5
RN/97,أعمال أي كوم التجارية,22/02/2024,67417.2,نهر النيل,7
RN/98,شركة مأمور كومرا,22/02/2024,34348.4,نهر النيل,10
RN/99,شركة المنجز للإستيراد والتصدير,25/02/2024,35471.2,نهر النيل,5
RN/100,أعمال علي محمد إبراهيم,25/02/2024,21955.6,نهر النيل,8
RN/101,شركة العبار للتنمية المحدودة,25/02/2024,45748.1,نهر النيل,4
RN/102,أعمال شاركلز التجارية,25/02/2024,24667.1,نهر النيل,11
RN/103,شركة أي كوم المحدودة,25/02/2024,118191.3,نهر النيل,7
RN/104,شركة المنجز للإستيراد والتصدير,27/02/2024,30221.1,نهر النيل,5
RN/105,شركة المنجز للإستيراد والتصدير,27/02/2024,40966,نهر النيل,5
RN/106,أعمال جسر الخليج للإستيراد والتصدير,27/02/2024,38418.6,نهر النيل,3
RN/107,شركة أكون لايت للأنشطة المتعددة,27/02/2024,38759.6,نهر النيل,12
RN/108,أعمال أي كوم التجارية,27/02/2024,56319.9,نهر النيل,7
RN/109,شركة أولاد محي الدين,27/02/2024,29964.2,نهر النيل,1
RN/110,أعمال أي كوم التجارية,27/02/2024,19380.6,نهر النيل,7
RN/111,شركة علقم للأنشطة المتعددة,27/02/2024,45945.8,نهر النيل,9
RN/112,أعمال عل محمد إبراهيم,27/02/2024,23148.4,نهر النيل,8
RN/113,شركة المنجز للإستيراد والتصدير,28/02/2024,59417.5,نهر النيل,5
RN/114,أعمال  علي محمد إبراهيم,28/02/2024,10065.9,نهر النيل,8
RN/115,شركة جرمتون للإستثمار المحدودة,28/02/2024,7542.4,نهر النيل,16
RN/116,شركة العبار للتنمية المحدودة,28/02/2024,59069,نهر النيل,4
RN/117,أعمال علي محمد إبراهيم,28/02/2024,14947.3,نهر النيل,8
RN/118,أعمال جسر الخليج للإستيراد والتصدير,29/02/2024,36252.4,نهر النيل,3
RN/119,شركة المنجز للإستراد والتصدير,29/02/2024,44304,نهر النيل,5
RN/120,أعمال أي كوم التجارية,29/02/2024,105535.4,نهر النيل,7
RN/121,شركة مأمور كومرا للانشطة المتعددة,02/02/2024,52310.4,نهر النيل,10
