رقمالإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز
RS/01,شركة المنجز للإستيراد والتصدير,05/11/2023,20321.9,البحر الأحمر,5
RS/02,شركة أولاد محي الدين,22/11/2023,1218.2,البحر الأحمر,1
RS/03,أعمال علي محمد إبراهيم التجارية,23/11/2023,13398.3,البحر الأحمر,8
RS/04,شركة المنجز للإستيراد والتصدير,26/11/2023,4711.8,البحر الأحمر,5
RS/05,شركة مأموركومرا للأنشطة المتعددة,27/11/2023,6658.4,البحر الأحمر,10
RS/06,شركة علقم للأنشطة المتعددة المحدودة,27/11/2023,29778.2,البحر الأحمر,9
RS/07,شركة عمرو محمد أحمد,27/11/2023,15321.5,البحر الأحمر,43
RS/08,أعمال علي محمد إبراهيم التجارية,27/11/2023,10972.7,البحر الأحمر,8
RS/09,أعمال علي محمد إبراهيم التجارية,28/11/2023,2807.9,البحر الأحمر,8
RS/10,شركة مأموركومرا للأنشطة المتعددة,28/11/2023,5087.8,البحر الأحمر,10
RS/11,شركة ملونيون للإستيراد والتصدير,28/11/2023,15280.7,البحر الأحمر,14
RS/12,شركة المنجز للإستيراد والتصدير,29/11/2023,9284.9,البحر الأحمر,5
RS/13,علي عبد الله الخليفة التجارية,03/12/2023,10269.17,البحر الأحمر,40
RS/14,أعمال جسر الخليج,03/12/2023,3005.08,البحر الأحمر,3
RS/15,أعمال علي محمد إبراهيم,03/12/2023,8460.08,البحر الأحمر,8
RS/16,الشركة الفيصلية المحدودة,03/12/2023,11512.12,البحر الأحمر,6
RS/17,شركة ملونيون للإستيراد والتصدير,04/12/2023,16175.04,البحر الأحمر,14
RS/18,شركة المنجز للإستيراد والتصدير,05/12/2023,1408.04,البحر الأحمر,5
RS/19,شركة علقم للأنشطة المتعددة,05/12/2023,22160.04,البحر الأحمر,9
RS/20,شركة علقم للأنشطة المتعددة,05/12/2023,7680.07,البحر الأحمر,9
RS/21,شركة أكون لايد للأنشطة المتعددة,05/12/2023,12155.03,البحر الأحمر,12
RS/22,شركة مأمور كومرا للأنشطة المتعددة,05/12/2023,6092,البحر الأحمر,10
RS/23,شركة أبونواف للإستيراد والتصدير,10/12/2023,13298,البحر الأحمر,2
RS/24,أعمال علي محمد إبراهيم,12/12/2023,872.1,البحر الأحمر,8
RS/25,أعمال القصر فون للإستيرادوالتصدير,13/12/2023,9021.5,البحر الأحمر,23
RS/26,شركة أكون لايت للانشطة المتعددة,17/12/2023,6424.07,البحر الأحمر,12
RS/27,أعمال عمر الجيلي الشيخ أدم,18/12/2023,17467.05,البحر الأحمر,39
RS/28,شركة أفاتريدنج المحدودة,18/12/2023,15085.08,البحر الأحمر,38
RS/29,أعمال علي محمد إبراهيم,14/12/2023,7072.09,البحر الأحمر,8
RS/30,أعمال علي محمد إبراهيم,19/12/2023,1386.05,البحر الأحمر,8
RS/31,أعمال علي محمد إبراهيم,20/12/2023,14008.03,البحر الأحمر,8
RS/32,الشركة الفيصلية المحدودة,20/12/2023,12653.07,البحر الأحمر,6
RS/33,أعمال حمزة حسب الرسول,21/12/2023,39301.06,البحر الأحمر,37
RS/34,شركة أبونواف للإستيراد والتصدير,24/12/2023,751.9,البحر الأحمر,2
RS/35,أعمال القصر فون للإستيرادوالتصدير,24/12/2023,11905.8,البحر الأحمر,23
RS/36,شركة أبونواف للإستيراد والتصدير,26/12/2023,2054.5,البحر الأحمر,2
RS/37,شركة أولاد محي الدين,02/01/2024,3590.4,البحر الأحمر,1
RS/38,شركة أولاد محي الدين,02/01/2024,12058.4,البحر الأحمر,1
RS/39,أعمال جسر الخليج للإستيراد والتصدير,04/01/2024,27460.5,البحر الأحمر,3
RS/40,شركة أولاد محي الدين,16/01/2024,14975.8,البحر الأحمر,1
RS/41,شركة أبونواف للإستيراد والتصدير,17/01/2024,1684.2,البحر الأحمر,2
RS/42,شركة أولاد محي الدين,18/01/2024,6217.7,البحر الأحمر,1
RS/43,أعمال علي محمد إبراهيم,22/01/2024,12250.5,البحر الأحمر,8
RS/44,شركة أولاد محي الدين,22/01/2024,3101.7,البحر الأحمر,1
RS/45,شركة مأمور كومر للأنشطة المتعددة,22/01/2024,60399,البحر الأحمر,10
RS/46,شركة أولاد محي الدين,28/01/2024,7876.5,البحر الأحمر,1
RS/47,ملونيون للإستيراد والتصدير,29/01/2024,19128.8,البحر الأحمر,14
RS/48,أعمال أي كوم,30/01/2024,11092.9,البحر الأحمر,7
RS/49,شركة المنجز للإستيراد والتصدير,30/01/2024,2877.7,البحر الأحمر,5
RS/50,العبار للتنمية المحدودة,01/02/2024,40196,البحر الأحمر,4
RS/51,شركة أولاد محي الدين ,04/02/2024,4788.4,البحر الأحمر,1
RS/52,شركة أكون لايد للأنشطة المتعددة,04/02/2024,11170.2,البحر الأحمر,12
RS/53,أعمال أي كوم التجارية ,05/02/2024,32971.2,البحر الأحمر,7
RS/54,شركة مأمور كومر للأنشطة المتعددة,06/02/2024,16378.2,البحر الأحمر,10
RS/55,الشركة الفيصلية المحدودة,07/02/2024,6052.5,البحر الأحمر,6
RS/56,الشركة الفيصلية المحدودة,07/02/2024,4367.3,البحر الأحمر,6
RS/57,شركة المنجز للإستيراد والتصدير,11/02/2024,4398,البحر الأحمر,5
RS/58,أعمال علي محمد إبراهيم,15/02/2024,7277.1,البحر الأحمر,8
RS/59,شركة المنجز للإستيراد والتصدير,18/02/2024,8443.3,البحر الأحمر,5
RS/60,أعمال أي كوم التجارية,20/02/2024,11664.5,البحر الأحمر,7
RS/61,شركة المنجز للإستيراد والتصدير,20/02/2024,5316.7,البحر الأحمر,5
RS/62,الشركة الفيصلية المحدودة,20/02/2024,3903.2,البحر الأحمر,6
RS/63,شركة مأمور كومرا للأنشطة المتعددة,21/02/2024,58846.8,البحر الأحمر,10
RS/64,شركة أي كوم التجارية,21/02/2024,4566,البحر الأحمر,7
RS/65,شركة المنجز للإستيراد والتصدير,25/02/2024,3087.8,البحر الأحمر,5
RS/66,شركة المنجز للإستيراد والتصدير,26/02/2024,1157,البحر الأحمر,5
RS/67,شركة مامور كومرا للانشطة المتعددة,26/02/2024,12312.2,البحر الأحمر,10
RS/68,شركة أعمال التعدين المتقدمة,03/03/2024,24743.5,البحر الأحمر,15
RS/69,شركة مأمور كومرا للأنشطة المتعددة,03/03/2024,20776,البحر الأحمر,10
RS/70,شركة جرمنوف للإستثمار المحدودة,04/03/2024,4237.6,البحر الأحمر,16
RS/71,شركة المنجز للإستيراد والتصدير,04/03/2024,1023.8,البحر الأحمر,5
RS/72,شركة أي كوم التجارية  المحدودة,04/03/2024,17803.5,البحر الأحمر,7
RS/73,شركة مأمور كومرا للأنشطة المتعددة,05/03/2024,10281.3,البحر الأحمر,10
RS/74,أعمال الرميزان للإستيراد والتصدير,05/03/2024,1296.9,البحر الأحمر,17
RS/75,شركة ملونيون للإستيراد والتصدير,05/03/2024,20742.3,البحر الأحمر,14
RS/76,شركة المنجز للإستيراد والتصدير,06/03/2024,1903,البحر الأحمر,5
RS/77,شركة النيل والمشرق للإستثمار,06/03/2024,2602,البحر الأحمر,13
RS/78,أعمال أي كوم التجارية,10/03/2024,6497.5,البحر الأحمر,7
RS/79,شركة مأمور كومرا للأنشطة المتعددة,10/03/2024,20949.6,البحر الأحمر,10
RS/80,شركة مأمور كومرا للأنشطة المتعددة,10/03/2024,43871.3,البحر الأحمر,10
RS/81,شركة المجتبي للأنشطة المتعددة,11/03/2024,2576,البحر الأحمر,18
RS/82,شركة أولاد محي الدين,17/03/2024,13701.2,البحر الأحمر,1
RS/83,شركة مأمور كومرا للأنشطة المتعددة,18/03/2024,14422.5,البحر الأحمر,10
RS/84,شركة أكون لايد للأنشطة المتعددة,19/03/2024,1329.4,البحر الأحمر,12
RS/85,شركة ملونيون للإستيراد والتصدير,19/03/2024,40355.6,البحر الأحمر,14
RS/86,أعمال جسر الخليج للإستيراد والتصدير,20/03/2024,14185,البحر الأحمر,3
RS/87,شركة ملونيون للإستيراد والتصدير,24/03/2024,21757.2,البحر الأحمر,14
RS/88,شركة ملونيون للإستيراد والتصدير,25/03/2024,9158.8,البحر الأحمر,14
RS/89,الشركة الفيصلية المحدودة,26/03/2024,4672.9,البحر الأحمر,6
RS/90,شركة مأمور كومرا للأنشطة المتعددة,28/03/2024,9120.1,البحر الأحمر ,10
