,,,غلاء معيشة,علاوة معادن,علاوة مخاطر,علاوه شخصيه,الاجمالي,
-2,1,21176.6520000,11940.3258000,93564.0000000,561384.0000000,79020.3100000,815104.9056100,
-3,1,20169.2796000,10694.3652000,77970.0000000,467820.0000000,110338.2600000,731744.1897600,
1,1,17590.0320000,9523.2558000,70173.0000000,421038.0000000,92938.4700000,650577.0251100,
2,1,15194.7936000,8960.3124000,62376.0000000,374256.0000000,146688.2900000,642500.2997000,
3,1,13781.9772000,7737.7428000,62376.0000000,374256.0000000,145595.1800000,634950.4940000,
4,1,11906.0190000,7265.2446000,62376.0000000,374256.0000000,144626.2800000,628227.8758200,
5,1,10284.2430000,6795.8652000,62376.0000000,374256.0000000,0.0000000,478478.2650900,
7,1,8883.9018000,6332.7234000,31188.0000000,187128.0000000,74137.5600000,329734.2917400,
8,1,7673.8074000,5726.1168000,31188.0000000,187128.0000000,74343.2300000,325489.0442900,
9,1,6629.0094000,5448.5436000,31188.0000000,187128.0000000,0.0000000,247906.0048500,
10,1,5726.1168000,5297.2818000,15594.0000000,93564.0000000,35271.8200000,171437.1465700,
12,1,4710.9474000,4038.8460000,15594.0000000,93564.0000000,34430.9582650,165025.9520950,
15,1,3761.2728000,2994.0480000,15594.0000000,93564.0000000,0.0000000,125708.5359600,
-2,2,22659.0176400,12776.1486060,100113.4800000,600680.8800000,27121.0100000,814731.5273027,
-3,2,21581.1291720,11442.9707640,83427.9000000,500567.4000000,66524.6400000,731428.9848432,
1,2,18821.3342400,10189.8837060,75085.1100000,450510.6600000,53620.9100000,650294.1639677,
2,2,16258.4291520,9587.5342680,66742.3200000,400453.9200000,111729.9500000,642248.8003790,
3,2,14746.7156040,8279.3847960,66742.3200000,400453.9200000,111092.0800000,634702.2659800,
4,2,12739.4403300,7773.8117220,66742.3200000,400453.9200000,110528.8600000,627982.5675274,
5,2,11004.1400100,7271.5757640,66742.3200000,400453.9200000,0.0000000,511971.7436463,
7,2,9505.7749260,6776.0140380,33371.1600000,200226.9600000,56116.1400000,329604.6429618,
8,2,8210.9739180,6126.9449760,33371.1600000,200226.9600000,56635.6300000,325361.6512903,
9,2,7093.0400580,5829.9416520,33371.1600000,200226.9600000,0.0000000,265259.4251895,
10,2,6126.9449760,5668.0915260,16685.5800000,100113.4800000,25671.1800000,171368.0794299,
12,2,5040.7137180,4321.5652200,16685.5800000,100113.4800000,25223.0600000,164959.7033981,
15,2,4024.5618960,3203.6313600,16685.5800000,100113.4800000,0.0000000,134508.1334772,
-2,3,24245.1488748,13670.4790084,107121.4236000,642728.5416000,0.0000000,842743.2535139,
-3,3,23091.8082140,12243.9787175,89267.8530000,535607.1180000,19644.0700000,731091.7189822,
1,3,20138.8276368,10903.1755654,80341.0677000,482046.4062000,11551.1200000,649991.5017454,
2,3,17396.5191926,10258.6616668,71414.2824000,428485.6944000,74324.5300000,641979.6999055,
3,3,15778.9856963,8858.9417317,71414.2824000,428485.6944000,74173.7700000,634436.6689986,
4,3,13631.2011531,8317.9785425,71414.2824000,428485.6944000,74044.6200000,627720.0870543,
5,3,11774.4298107,7780.5860675,71414.2824000,428485.6944000,0.0000000,547809.7657015,
7,3,10171.1791708,7250.3350207,35707.1412000,214242.8472000,36833.2200000,329465.9181691,
8,3,8785.7420923,6555.8311243,35707.1412000,214242.8472000,37688.5000000,325225.3427806,
