الدرجة,العلاوة,ابتدائي,غلاء معيشة,علاوة معادن,علاوة مخاطر,العلاوة الشخصية,,,,
-2,1,27317.88000000,15403.02000000,120697.56000000,724185.36000000,101202.84000000,1050751.97000000, -   ,,
-3,1,26018.37000000,13795.73000000,100581.30000000,603487.80000000,141312.36000000,942926.01000000, -   ,,
1,1,22691.14000000,12285.00000000,90523.17000000,543139.02000000,119028.11000000,838381.84000000, -   ,,
2,1,19601.28000000,11558.80000000,80465.04000000,482790.24000000,187866.55000000,827464.04000000, -   ,,
3,1,17778.75000000,9981.69000000,80465.04000000,482790.24000000,186466.57000000,817734.92000000, -   ,,
4,1,15358.76000000,9372.17000000,80465.04000000,482790.24000000,185225.69000000,809071.75000000, -   ,,
5,1,13266.67000000,8766.67000000,80465.04000000,482790.24000000,0.00000000,617236.96000000,-185041.58,,
7,1,11460.23000000,8169.21000000,40232.52000000,241395.12000000,94949.42000000,424669.20000000, -   ,,
8,1,9899.21000000,7386.69000000,40232.52000000,241395.12000000,95212.82000000,419190.92000000, -   ,,
9,1,8551.42000000,7028.62000000,40232.52000000,241395.12000000,0.00000000,319798.75000000,-89553.14,,
10,1,7386.69000000,6833.49000000,20116.26000000,120697.56000000,45173.31000000,220826.58000000, -   ,,
12,1,6077.12000000,5210.11000000,20116.26000000,120697.56000000,44096.40000000,212563.94000000, -   , -   ,
15,1,4852.04000000,3862.32000000,20116.26000000,120697.56000000,0.00000000,162164.01000000,,,
-2,2,29230.13000000,16481.23000000,129146.39000000,774878.34000000,34734.41000000,1050751.97000000, -   ,1050751.97,
-3,2,27839.66000000,14761.43000000,107621.99000000,645731.95000000,85199.40000000,942926.01000000, -   ,942926.01,
1,2,24279.52000000,13144.95000000,96859.79000000,581158.75000000,68673.34000000,838381.84000000, -   ,838381.84,
2,2,20973.37000000,12367.92000000,86097.59000000,516585.56000000,143094.72000000,827464.04000000, -   ,827464.04,
3,2,19023.26000000,10680.41000000,86097.59000000,516585.56000000,142277.78000000,817734.92000000, -   ,817734.92,
4,2,16433.88000000,10028.22000000,86097.59000000,516585.56000000,141556.46000000,809071.75000000, -   ,809071.75,
5,2,14195.34000000,9380.33000000,86097.59000000,516585.56000000,0.00000000,660443.55000000,-43206.59,703650.14,
7,2,12262.45000000,8741.06000000,43048.80000000,258292.78000000,71869.03000000,424669.20000000, -   ,424669.2,
8,2,10592.16000000,7903.76000000,43048.80000000,258292.78000000,72534.35000000,419190.92000000, -   ,419190.92,
9,2,9150.02000000,7520.62000000,43048.80000000,258292.78000000,0.00000000,342184.66000000,-22385.91,364570.57,
10,2,7903.76000000,7311.84000000,21524.40000000,129146.39000000,32877.58000000,220826.58000000, -   ,220826.58,
12,2,6502.52000000,5574.82000000,21524.40000000,129146.39000000,32303.67000000,212563.94000000, -   ,212563.94,
15,2,5191.68000000,4132.68000000,21524.40000000,129146.39000000,0.00000000,173515.49000000,-11351.48,184866.97,
-2,3,31276.24000000,17634.92000000,138186.64000000,829119.82000000,0.00000000,1087138.80000000,-36386.82,1123525.62,13482307.45
-3,3,29788.43000000,15794.73000000,115155.53000000,690933.18000000,25158.54000000,942926.01000000, -   ,942926.01,
1,3,25979.09000000,14065.10000000,103639.98000000,621839.86000000,14793.75000000,838381.84000000, -   ,838381.84,
2,3,22441.51000000,13233.67000000,92124.42000000,552746.55000000,95188.87000000,827464.04000000, -   ,827464.04,
3,3,20354.89000000,11428.03000000,92124.42000000,552746.55000000,94995.78000000,817734.92000000, -   ,817734.92,
4,3,17584.25000000,10730.19000000,92124.42000000,552746.55000000,94830.39000000,809071.75000000, -   ,809071.75,
5,3,15189.01000000,10036.96000000,92124.42000000,552746.55000000,0.00000000,706674.60000000,-46231.05,752905.65,
7,3,13120.82000000,9352.93000000,46062.21000000,276373.27000000,47173.02000000,424669.20000000, -   ,424669.2,
8,3,11333.61000000,8457.02000000,46062.21000000,276373.27000000,48268.39000000,419190.92000000, -   ,419190.92,
9,3,9790.52000000,8047.07000000,46062.21000000,276373.27000000,0.00000000,366137.58000000,-23952.93,390090.51,
10,3,8457.02000000,7823.67000000,23031.11000000,138186.64000000,19721.15000000,220826.58000000, -   ,220826.58,
12,3,6957.70000000,5965.06000000,23031.11000000,138186.64000000,19685.45000000,212563.94000000, -   ,212563.94,
15,3,5555.10000000,4421.97000000,23031.11000000,138186.64000000,0.00000000,185661.58000000,-12146.08,197807.66,
-2,4,33465.58000000,18869.36000000,147859.70000000,887158.21000000,0.00000000,1163238.51000000,-76099.72,,
-3,4,31873.62000000,16900.36000000,123216.42000000,739298.50000000,0.00000000,982011.19000000,-39085.18,,
1,4,27797.62000000,15049.65000000,110894.78000000,665368.65000000,0.00000000,881239.26000000,-42857.42,,
2,4,24012.42000000,14160.03000000,98573.13000000,591438.80000000,43929.61000000,827464.04000000, -   ,,
3,4,21779.73000000,12228.00000000,98573.13000000,591438.80000000,44404.04000000,817734.92000000, -   ,,
4,4,18815.15000000,11481.31000000,98573.13000000,591438.80000000,44833.50000000,809071.75000000, -   ,,
5,4,16252.25000000,10739.54000000,98573.13000000,591438.80000000,0.00000000,756141.82000000,-49467.22,,
7,4,14039.28000000,10007.64000000,49286.57000000,295719.40000000,20748.29000000,424669.20000000, -   ,,
8,4,12126.96000000,9049.01000000,49286.57000000,295719.40000000,22303.82000000,419190.92000000, -   ,,
9,4,10475.86000000,8610.36000000,49286.57000000,295719.40000000,0.00000000,391767.22000000,-25629.63,,
10,4,9049.01000000,8371.32000000,24643.28000000,147859.70000000,5643.77000000,220826.58000000, -   ,,
