#,شركة,الاتفاقية/العقد,الفترة من,الفترة إلى,العملة,أخري/تسوية,إيجار عقد تعدين للامتياز,بونص توقيع إتفاقية الإمتياز,ممثل حكومة,دعم فني,إيجار ارض لإتفاقيات الإمتياز ,,
207,كراون هيلز للتعدبن,23/2015,2015-08-03,2025-08-04,يورو,,104166.6,,,,,,متاخرات من العام 2015 وحتى العام 2020
206,قيسان للتنقيب والتعدين المحدودة,32/2012,2012-12-26,2022-12-26,يورو,,120829.19,,,,,,متاخرات من العام 2021 وحتى العام 2023
199,بيرث لإنتاج المعادن المحدودة,2022/30,2022-10-05,2043-10-05,يورو,,60000,,,,,,متاخرات من العام 2022 م
197,راندكو للتعدين المحدودة,Id/57,2022-02-01,2042-02-01,يورو,,40000,,,,,, مطالبة للعام 2023
196,هواكان حمادي ريسورس,2007/5,2007-05-03,2028-05-03,يورو,,120000,,,,,, مطالبة للعام 2023
195,أوهاف للتعدين المحدودة,2020/6,2020-12-01,2041-12-01,يورو,,80000,,,,,,متاخرات من العام 2022 وحتى العام 2023
194,دي ام للتعدين المحدودة,2021/1,2021-06-17,2041-06-17,يورو,,0.61,,,,,,
193,فاروس لتعدين الذهب المحدودة,2016/1,2016-02-18,2026-02-18,يورو,,124817.34,,,,,,متاخرات من العام 2022 وحتى العام 2023
192,أورشاب لتعدين الذهب المحدودة,2013/35,2013-01-15,2043-01-15,يورو,,12720.89,,,,,,متبقي مطالبة للعام 2023
191,النواتي للذهب والنحاس المحدودة,2013/2,2012-11-11,2042-11-11,يورو,,320723.16,,,,,,عبارة عن ايجار عقود تعدين للعام 2023م لعدد 12 رخص ومتاخرات العام 2022م .
189,أرياب للتعدين المحدودة,1997/1,2004-03-16,2025-03-16,يورو,,517219.7,,,,,,متاخرات من العام 2022 وحتى العام 2023
189,أرياب للتعدين المحدودة,1997/1,2004-03-16,2025-03-16,جنيه,,30000,,,,,,متاخرات من العام 2022 وحتى العام 2023
200,شركة صحاري البركة للتعدين المحدودة,(2012)/12-19,2012-02-08,2033-02-08,يورو,,135009.74,,,,,,ومتاخرات بالجنية السوداني بمبلغ 30.000جنيها  وهي مطالبة للعام 2012م
203,بان سودان ريسورسز للتعدين المحدودة,2024/4,2022-03-12,2042-03-12,يورو,,80000,,,,,,متاخرات من العام 2022 وحتى العام 2023
188,حجاجية لتعدين الذهب المحدودة,2013/32,2013-05-21,2043-05-21,يورو,,47896.85,,,,,,متاخرات من العام 2022 وحتى العام 2023
187,أمدرمان للتعدين المحدودة,2012/31,2024-01-09,2034-01-09,يورو,,3523.3,,,,,,متبقي مطالبة للعام 2023
185,دلقو للتعدين المحدودة,(2012)/1-11,2012-01-21,2042-01-21,يورو,,220000,,,,,,مطالبة للعام 2023
184,دويشات للتعدين المحدودة,2013/15-27,2013-02-08,2043-02-08,يورو,,342298,,,,,,متاخرات من العام 2021 وحتى العام 2023
190,الاينس للتعدين المحدودة,2015/14,2015-05-12,2035-05-12,يورو,,400000.00,,,,,, مطالبة للعام 2023
186,مانوب للتعدين المحدودة,(2013)/38-106,2013-01-15,2043-01-15,يورو,,520000,,,,,,متبقي مطالبة للعام 2023
