#,شركة,الاتفاقية/العقد,الفترة من,الفترة إلى,الولاية,المساحة الاولية,المساحة الحالية,الموقف,العملة,العملة,أخري/تسوية,بونص توقيع إتفاقية الإمتياز,ممثل حكومة,دعم فني,إيجار ارض لإتفاقيات الإمتياز 
552,PETRONEEDS SERVICES INTERNATIONAL CO.LTD,KS78A,2024-08-28,2028-08-27,كسلا,134.9,135,سارية,يورو,,,,,,
551,KALDOFAN FOR MINING CO.LTD,RS-5F-1,2024-08-28,2028-08-27,البحر الأحمر,100.4,100.4,سارية,يورو,,,,,,
550,ALTALE MINING & INVESTMENT CO.LTD,RS-RN30U,2024-08-28,2028-08-27,البحر الأحمر,258.17,258.17,سارية,يورو,,,,,,
549,JOINT STOCK COMPANY ZARUBEZHGEOLOGIA,NS24-A,2024-06-08,2028-06-07,الشمالية,295.11,295.11,سارية,يورو,,,,,,
548,DAL MINING INVESTMENT CO.LTD,RN-RS-B,2024-01-15,2028-01-14,البحر الأحمر - نهر النيل,303,303,سارية,يورو,,,,,,
547,DAL MINING INVESTMENT CO.LTD,RS-31A,2024-01-15,2028-01-14,البحر الأحمر,281,281,سارية,يورو,,,,,,
546,ORC MULTI PURPOSE CO.LTD,RNS-30S,2023-11-01,2027-10-31,نهر النيل,235,328.4,سارية,يورو,,,,,,
544,ALNASEER INTERNATIONAL CO.LTD,RS-64-D1,2023-03-16,2027-03-15,البحر الأحمر,305,305,سارية,يورو,,,,,,
543,ALNASEER INTERNATIONAL CO.LTD,RS-57H,2022-12-07,2026-12-26,البحر الأحمر,166,166,سارية,يورو,,,,,,
530,PAN AFRICAN RESOURCES MINERALS CO.LTD,RS12A-S,2021-12-14,2025-07-05,البحر الأحمر,226,226,سارية,يورو,,,,,,
404,QMSD MINING CO.LTD,62,2013-04-12,2025-04-10,البحر الأحمر,4380,4380,سارية,يورو,,,,,,
514,ALGENAID MULTI ACTIVITIES CO.LTD,NS-37,2020-10-15,2022-10-14,الشمالية,303,303,غير سارية,يورو,,,,,,
513,ALGENAID MULTI ACTIVITIES CO.LTD,NS-B1,2020-10-15,2022-10-14,الشمالية,300,300,غير سارية,يورو,,,,,,
512,rn,1CA,2020-10-15,2022-10-14,الشمالية,292,292,غير سارية,يورو,,,,,,
472,نارس للأنشطة المتعددة المحدودة,19A,2017-03-09,2020-08-05,البحر الأحمر,303,303,غير سارية,يورو,57450.99,,,6000,47798.23,3652.76
