#,شركة,الاتفاقية/العقد,الفترة من,الفترة إلى,العملة\ جنيه\ دولار,متبقي رسوم عقد المخلفات,متبقي بونص توقيع عقد مخلفات,متبقي سداد الهيئة رسوم عقد المخلفات,متبقي سداد الهيئة بونص توقيع عقد مخلفات
182,شركة اعمال هوب للتعدين,406,2022-04-04,2025-04-03,جنيه,30000000, -   , -   , -   
180,شركة ترست للأعمال المتقدمة المحدودة,404,2021-06-06,2024-06-05,جنيه,30000000, -   , -   , -   
178,شركة بانقا للتعدين,401,2022-01-27,2025-01-26,جنيه,30000000, -   , -   , -   
177,شركة إعمارللنظم المتطورة المحدودة,400,2021-12-07,2024-12-06,جنيه,60000000, -   , -   , -   
176,شركة شتكو للتجارة و التنمية المحدودة,399,2021-08-22,2024-08-21,جنيه,60000000, -   , -   , -   
175,مشروع جبل عامر - الجنيد للانشطة المتعددة (سابقآ),398,2018-02-17,2020-02-16,جنيه,35000000, -   , -   , -   
174,شركة تنقلي المتحدة المحدودة,396,2022-05-12,2025-05-11,جنيه,85000000, -   , -   , -   
173,شركة لام للاستثمار المحدودة,395,2022-05-18,2025-05-17,جنيه,20000000, -   , -   , -   
171,شركة كنسودا للتعدين,393,2022-08-02,2025-07-02,جنيه,40000000, -   , -   , -   
170,شركة المسار العالمية للخدمات والتعدين المحدودة,392,2022-08-02,2025-07-02,جنيه,75000000, -   , -   , -   
169,شركة سبروزا للاعمال المتقدمة المحدودة,391,2021-12-07,2024-12-06,جنيه,30000000, -   , -   , -   
168,الاجلال العالمية المحدودة,390,2022-02-10,2021-11-25,جنيه,30000000, -   , -   , -   
167,تانسي للتعدين المحدودة,389,2021-08-26,2024-08-25,جنيه,60000000, -   , -   , -   
166,شركة سودامين المحدودة,388,2021-06-08,2024-06-07,جنيه,60000000, -   , -   , -   
162,شركة الحارس للتعدين,384,2024-07-21,2027-07-20,جنيه,25000000, -   , -   , -   
156,شركة الأبنوس للاستيراد و التصدير,378,2023-07-30,2025-07-29,جنيه,50000000, -   , -   , -   
155,شركة ابو ضراع للتجارة و الخدمات المحدودة,377,2022-12-06,2025-11-06,جنيه,100000000, -   , -   , -   
154,شركة نما للانشطة المتعددة المحدودة,376,2023-07-30,2025-07-29,جنيه,50000000, -   , -   , -   
153,شركة أمواج البحر الاحمر,375,2022-09-11,2025-08-11,جنيه,40000000, -   , -   , -   
152,شركة اكولايزر للانشطة المتعددة المحدودة,374,2022-10-31,2025-10-30,جنيه,30000000, -   , -   , -   
151,شركة كفاءة للتعدين,373,2022-09-29,2025-09-28,جنيه,60000000, -   , -   , -   
150,شركة أعناب للتعدين,372,2022-08-22,2025-08-21,جنيه,30000000, -   , -   , -   
149,شركة كاسكو للطاقة المتجددة المحدودة,371,2022-07-31,2025-07-30,جنيه,50000000, -   , -   , -   
148,شركة التمر للانشطة المتعددة المحدودة,370,2022-01-03,2025-02-28,جنيه,30000000, -   , -   , -   
147,شركة برايت استون العالمية,369,2022-07-04,2025-06-04,جنيه,60000000, -   , -   , -   
146,شركة فيرست موتورز للخدمات التجارية,368,2022-02-15,2025-02-14,جنيه,60000000, -   , -   , -   
145,شركة لوك اوت للانشطة المتعددة المحدودة ( اعمال النترة للتعدين ),367,2021-11-20,2024-11-20,جنيه,60000000, -   , -   , -   
143,شركة مبروك للتعدين,365,2022-01-26,2025-01-25,جنيه,30000000, -   , -   , -   
142,شركة دلو للتجارة و المقاولات المحدودة,364,2021-11-25,2024-10-24,جنيه,30000000, -   , -   , -   
141,شركة شنكو العالمية المحدودة,363,2021-11-30,2024-10-31,جنيه,60000000, -   , -   , -   
140,شركة ام ايه جي للتعدين,362,2021-11-11,2024-10-11,جنيه,60000000, -   , -   , -   
139,سهل البطانة للتعدين,361,2021-11-22,2024-11-21,جنيه,40000000, -   , -   , -   
138,شركة هيمنة توب المحدودة,360,2021-11-21,2024-11-20,جنيه,55000000, -   , -   , -   
135,مودرن لوجستيك للمشاريع المتطورة المحدودة(مشروع001),357,2021-04-08,2024-03-08,جنيه,30000000, -   , -   , -   
132,شركة النجم الساطع للتعدين المحدودة,354,2021-06-06,2024-05-06,جنيه,60000000, -   , -   , -   
131,شركة ملكن للتعدين المحدودة,353,2021-05-26,2024-05-25,جنيه,60000000, -   , -   , -   
129,شركة قولدن إيرث للتعدين و الإستثمار,351,2021-05-23,2024-05-22,جنيه,40000000, -   , -   , -   
128,شكير للتعدين,350,2021-02-05,2024-01-05,جنيه,30000000, -   , -   , -   
127,شركة APG للتعدين المحدودة,349,2021-04-05,2024-03-05,جنيه,30000000, -   , -   , -   
126,العنود للتعدين,348,2021-04-26,2024-04-25,جنيه,30000000, -   , -   , -   
123,انترنت العالمية للتجارة والترحيل,345,2023-11-24,2026-11-23,جنيه,25000000, -   , -   , -   
121,اعمال المجموعة الدولية للتعدين- نورايا,343,2021-03-03,2024-02-03,جنيه,30000000, -   , -   , -   
