#,شركة,الاتفاقية/العقد,الفترة من,الفترة إلى,العملة\ جنيه\ دولار,متبقي رسوم عقد المخلفات,متبقي بونص توقيع عقد مخلفات,متبقي سداد الهيئة رسوم عقد المخلفات,متبقي سداد الهيئة بونص توقيع عقد مخلفات
564,الصحاري القابضة للتجارة و التعدين و الخدمات العامة المحدودة,564,2024-09-24,2027-09-24,جنيه,60000000,,,
165,بتنوس انترناشونال سيرفس المحدودة,387,2022-11-23,2025-11-12,جنيه,25000000, -   , -   , -   
164,اعمال عمر عثمان للتعدين,386,2024-02-14,2027-02-13,جنيه,30000000, -   , -   , -   
160,شركة واست للتعدين,382,2024-02-14,2027-02-13,جنيه,25000000, -   , -   , -   
163,شركة السيداب للتعدين,385,2024-05-21,2027-05-20,جنيه,45000000, -   , -   , -   
133,شركة عكاشة للتعدين المحدودة,355,2021-06-29,2024-06-28,جنيه,0, -   , -   , -   
137,إسفير للتعدين المحدودة,359,2021-11-16,2024-11-15,جنيه,0, -   , -   , -   
105,شركة دقرسم,327,2019-10-17,2022-10-16,جنيه,0, -   , -   , -   
565,شركة التواصل للتجارة والاستثمار المحدودة,565,2018-01-02,2021-01-02,جنيه,0, -   , -   , -   
122,ابوعمرو للتعدين,344,2020-03-11,2023-02-11,جنيه,0, -   , -   , -   
107,شركة أبورقية للتنمية المحدودة -هيا,329,2018-09-09,2021-08-09,جنيه,0, -   , -   , -   
130,شركة اتش اند ام باور للهندسة والإنشاءات والتجارة المحدودة,352,2024-07-07,2027-06-07,جنيه,0, -   , -   , -   
125,بان قلف للأنشطة المتعددة المحدودة,347,2021-04-26,2024-04-25,جنيه,0, -   , -   , -   
144,شركة بانة لمعالجة مخلفات التعدين التقليدي,366,2022-06-02,2025-05-02,جنيه,0, -   , -   , -   
1070,الابنوس للتعدين,,,,جنيه,32500000,,,
