#,شركة,الاتفاقية/العقد,الفترة من,الفترة إلى,العملة\ جنيه\ دولار,رسوم عقد حجر معدنين / رسوم العقد الثلاثي,متبقي بونص توقيع حجر معدنيين,متبقي سداد الهيئة رسوم حجر معدنيين,متبقي سداد الهيئة  بونص توقيع حجر معدنيين
226,شركة هايتند للأنشطة المتعددة المحدودة,405 / حجر,2021-06-23,2024-06-22,جنيه,0,,,
225,مامور كومرا للانشطة المتعددة,358 / حجر,2021-04-26,2024-04-25,جنيه,0,,,
224,شركة النجم الساطع للتعدين المحدودة,354 / حجر,2021-06-06,2024-05-06,جنيه,0,,,
223,شكير للتعدين,350 / حجر,2021-02-05,2024-01-05,جنيه,30000000,,,
222,شركة السندي,335 / حجر,2021-05-30,2024-05-29,جنيه,30000000,,,
221,اعمال المجموعة الدولية للتعدين,343 / حجر,2021-03-03,2024-02-03,جنيه,45000000,,,
220,وي لينك للانشطة المتعددة (معالجة جيرة),310 / حجر,2023-03-19,2025-03-18,جنيه,45000000,,,
219,عادل ميرغني الرفاعي للتعدين,309 / حجر,2023-07-30,2025-07-29,جنيه,0,,,
218,سبدو للأنشطة المتعددة المحدودة,305 / حجر,2022-04-17,2025-04-16,جنيه,10000000,,,
217,أعمال ود الخير للتعدين,304 / حجر,2022-06-07,2025-06-06,جنيه,0,,,
216,جمعية نور الهدى التجارية المتعددة الاغراض,303 / حجر,2021-11-16,2024-11-15,جنيه,40000000,,,
215,مدن الذهب السبع للتعدين,299 / حجر,2021-06-03,2024-06-02,جنيه,0,,,
214,الأنفال للتعدين المحدودة,297 / حجر,2020-02-11,2023-02-10,جنيه,0,,,
213,الهصور للتعدين - (الخناق),294 / حجر,2022-07-17,2025-07-16,جنيه,0,,,
212,الهصور للتعدين - (كدرمة),291 / حجر,2022-07-17,2025-07-16,جنيه,0,,,
211,كريبر للحلول المتكاملة المحدودة,264 / حجر,2021-06-07,2024-06-06,جنيه,25000000,,,
210,أم عوادة لخدمات الذهب التقليدي,252 / حجر,2020-01-13,2023-01-12,جنيه,0,,,
209,نجير للتنمية المحدودة,246 / حجر,2021-05-26,2024-05-25,جنيه,45000000,,,
208,ساندستون للتنمية والاستثمار المحدودة,237 / حجر,2020-01-11,2023-01-10,جنيه,0,,,
