id,شركة,حجر؟,الأرصدة الختامية بالجنيه للعام 2024,الارصدة الختامية بالدولار 2024,نوع الشركة,رقم الاتفاقية/العقد,النوع,تاريح البداية,تاريخ النهاية,عدد الرخص,الولاية,المحلية,رقم المربع,حالة الاتفاقية/العقد
84,أبو حنيفة للنقل و التجارة المحدودة,0,30000000,0,مخلفات,306,عقد,9/29/2022,9/28/2025,1,الشمالية,وادي حلفا,0,سارية
1592,أبومامور للتجارة و الأنشطة المتعددة,0,0,0,مخلفات,603,عقد,4/29/2025,4/28/2028,1,جنوب كردفان,الليري,,سارية
1523,أرزاق لأعمال التعدين,0,0,0,مخلفات,598,عقد,9/11/2024,9/10/2027,1,الشمالية,وادي حلفا,,سارية
86,أس ام تي للمشاريع المتطورة المحدودة,0,15000000,0,مخلفات,308,عقد,6/3/2021,6/2/2024,1,الشمالية,دلقو,0,غير سارية
1541,أعمال أبو طعم للتعدين,0,0,0,مخلفات,594,عقد,1/8/2025,1/7/2028,1,القضارف,البطانة,,سارية
580,أعمال الحاج محمد أحمد للتعدين,0,0,0,مخلفات,580,عقد,1/31/2020,1/30/2023,1,شمال كردفان,سودري,0,غير سارية
49,أعمال المجموعة الدولية للتعدين-بربر,0,30000000,0,مخلفات,271,عقد,11/5/2020,11/4/2023,1,نهر النيل,بربر,0,غير سارية
577,أعمال المجموعة الدولية للتعدين-تلكوك,0,0,0,مخلفات,577,عقد,10/6/2020,10/5/2022,1,كسلا,تلكوك,0,غير سارية
74,أعمال المجموعة الدولية للتعدين-صواردة,0,0,0,مخلفات,296,عقد,2/3/2020,2/2/2023,1,الشمالية,وادي حلفا,0,غير سارية
80,أعمال الناير للتعدين,0,"-25000000.00",0,مخلفات,302,عقد,10/12/2021,10/11/2024,1,الشمالية,الدبة,0,سارية
1542,أعمال تبن للتعدين,0,0,0,مخلفات,595,عقد,1/20/2025,1/19/2028,1,النيل الازرق,ود الماحى,,سارية
37,أعمال سآوى لمعالجة مخلفات التعدين التقليدي,0,0,0,مخلفات,259,عقد,5/7/2017,5/6/2019,1,نهر النيل,ابوحمد,0,غير سارية
581,أعمال علي فضل السيد للتعدين,0,0,0,مخلفات,581,عقد,3/30/2017,3/29/2019,1,شمال كردفان,جبرة الشيخ,0,غير سارية
571,أعمال نوش للتعدين-غرب كردفان,0,0,0,مخلفات,571,عقد,1/12/2018,1/11/2020,1,غرب كردفان,النهود,0,غير سارية
82,أعمال ود الخير للتعدين,0,0,0,مخلفات,304,عقد,6/7/2022,6/6/2025,1,الشمالية,دلقو,0,سارية
217,أعمال ود الخير للتعدين,1,0,0,مخلفات,304 / حجر معدنيين,عقد,6/7/2022,6/6/2025,1,الشمالية,دلقو,0,سارية
30,أم عوادة لخدمات الذهب التقليدي,0,0,0,مخلفات,252,عقد,1/13/2023,1/12/2026,1,نهر النيل,ابوحمد,0,سارية
210,أم عوادة لخدمات الذهب التقليدي,1,0,0,مخلفات,252 / حجر معدنيين,عقد,1/13/2020,1/12/2023,1,نهر النيل,ابوحمد,0,غير سارية
1560,إبراهيم محمد ساتي للأنشطة المتعددة,0,0,0,مخلفات,597,عقد,2/12/2025,2/11/2028,1,الشمالية,دنقلا,,سارية
26,إس إم إية اقرو انفستمنت المحدودة,0,5000000,0,مخلفات,248,عقد,6/29/2021,6/28/2024,1,نهر النيل,بربر,0,غير سارية
137,إسفير للتعدين المحدودة,0,0,0,مخلفات,359,عقد,11/16/2021,11/15/2024,1,البحر الأحمر,درديب,0,سارية
1578,إسفير للتعدين المحدودة,1,0,0,مخلفات,359/حجر معدنيين,عقد,11/12/2024,11/12/2025,1,البحر الأحمر,درديب,0,سارية
569,إسكاي موتور للتجارة و الإستثمار المحدودة,0,30000000,0,مخلفات,569,عقد,10/6/2021,10/5/2024,1,غرب كردفان,النهود,0,غير سارية
1587,إسكاي موتور للتجارة و الإستثمار المحدودة,1,0,0,مخلفات,569/حجر معدنيين,عقد,3/10/2025,3/9/2026,1,البحر الأحمر,درديب,0,سارية
27,إكسير للتعدين,0,0,0,مخلفات,249,عقد,7/17/2022,7/16/2025,1,نهر النيل,ابوحمد,0,سارية
38,ابورقية للتنمية المحدودة-ابوحمد,0,15000000,0,مخلفات,260,عقد,6/27/2021,6/26/2024,1,نهر النيل,ابوحمد,0,غير سارية
576,ابوسرة للانشاءاءت المحدودة,0,0,0,مخلفات,576,عقد,5/21/2024,5/20/2027,1,شمال دارفور,امبرو,0,سارية
122,ابوعمرو للتعدين,0,0,0,مخلفات,344,عقد,3/11/2020,2/11/2023,1,البحر الأحمر,جبيت,0,ملغية
47,ابولميس للتعدين,0,35000000,0,مخلفات,269,عقد,5/30/2021,5/29/2024,1,نهر النيل,بربر,0,سارية
590,اتلانتا للتعدين,0,10000000,0,مخلفات,590,عقد,8/24/2019,8/23/2020,1,جنوب كردفان,قدير,0,غير سارية
44,اتوبان للانشطة المتعددة المحدودة,0,30000000,0,مخلفات,266,عقد,1/9/2024,3/8/2026,1,نهر النيل,ابوحمد,0,سارية
56,ازوم للأنشطة المتعددة المحدودة,0,35000000,0,مخلفات,278,عقد,5/30/2021,5/29/2024,1,نهر النيل,ابوحمد,0,غير سارية
589,اعمال المجموعة الدولية-التضامن,0,0,0,مخلفات,589,عقد,12/13/2016,12/12/2018,1,جنوب كردفان,التضامن,0,غير سارية
221,اعمال المجموعة الدولية للتعدين-جبيت,1,0,0,مخلفات,343 / حجر معدنيين,عقد,3/3/2021,2/3/2024,1,البحر الأحمر,جبيت,0,غير سارية
121,اعمال المجموعة الدولية للتعدين-جبيت,0,5000000,0,مخلفات,343,عقد,3/3/2021,2/3/2024,1,البحر الأحمر,جبيت,0,غير سارية
118,اعمال المجموعة الدولية للتعدين-شاور,0,30000000,0,مخلفات,340,عقد,5/14/2024,5/13/2027,1,القضارف,البطانة,0,سارية
104,اعمال المجموعة الدولية –يد الوحش,0,35000000,0,مخلفات,326,عقد,5/10/2022,4/10/2025,1,كسلا,نهر عطبرة,0,سارية
164,اعمال عمر عثمان للتعدين,0,0,0,مخلفات,386,عقد,2/14/2024,2/13/2027,1,البحر الأحمر,القنب والأوليب,0,سارية
214,الأنفال للتعدين المحدودة,1,0,0,مخلفات,297 / حجر معدنيين,عقد,2/11/2020,2/10/2023,1,الشمالية,وادي حلفا,0,غير سارية
75,الأنفال للتعدين المحدودة,0,20000000,50000,مخلفات,297,عقد,2/11/2023,2/10/2026,1,الشمالية,وادي حلفا,0,غير سارية
572,الإعتماد للصناعات الحديدية المحدودة-أبو جبيهة,0,5000000,0,مخلفات,572,عقد,9/5/2019,9/4/2022,1,جنوب كردفان,ابوجبيهة,0,غير سارية
76,الإعتماد للصناعات الحديدية المحدودة --القعب,0,30000000,0,مخلفات,298,عقد,11/26/2019,11/25/2022,1,الشمالية,دنقلا,0,غير سارية
560,الإعتماد للصناعات الحديدية المحدودة --سيسا,0,0,0,مخلفات,560,عقد,8/6/2017,8/5/2019,1,الشمالية,دلقو,0,غير سارية
168,الاجلال العالمية المحدودة,0,35000000,0,مخلفات,390,عقد,2/10/2022,11/25/2021,1,غرب كردفان,ود بنده,0,غير سارية
582,التواصل للتجارة والإستثمار المحدودة,0,50000000,0,مخلفات,582,عقد,8/20/2022,8/19/2024,1,جنوب كردفان,كادقلي,0,غير سارية
561,الجبالي للحلول المتكاملة المحدودة,0,0,0,مخلفات,561,عقد,8/4/2024,8/3/2027,1,الشمالية,البرقيق,0,سارية
29,الجكوب للتعدين,0,25000000,0,مخلفات,251,عقد,4/3/2024,4/2/2027,1,نهر النيل,ابوحمد,0,سارية
584,الجنيد للأنشطة المتعددة المحدودة-ج كردفان,0,0,0,مخلفات,584,عقد,7/10/2017,7/9/2019,1,جنوب كردفان,الليري,0,غير سارية
179,الجنيد للأنشطة المتعددة-سنقو,0,0,0,مخلفات,403,عقد,2/12/2019,2/12/2023,1,جنوب دارفور,الردوم,0,غير سارية
1518,الجنيد للأنشطة المتعددة-سنقو,1,0,0,مخلفات,403/حجر معدنيين,عقد,6/28/2022,6/27/2023,1,جنوب دارفور,الردوم,0,غير سارية
559,الجنيد للانشطة المتعددة المحدودة-المثلث,0,0,0,مخلفات,559,عقد,7/10/2017,7/9/2019,1,الشمالية,وادي حلفا,0,غير سارية
20,الحامدين للتعدين,0,-60000000,0,مخلفات,242,عقد,12/31/2022,12/30/2025,1,نهر النيل,بربر,0,سارية
1538,الحامدين للتعدين,0,0,0,مخلفات,242/خام معالج مسبقا,عقد,1/14/2025,1/13/2026,1,نهر النيل,سيدون,0,سارية
567,الراتق للتعدين,0,0,0,مخلفات,567,عقد,4/2/2024,4/1/2027,1,النيل الازرق,ود الماحى,0,سارية
61,الزيداب العالمية المحدودة,0,60000000,0,مخلفات,283,عقد,7/7/2022,7/6/2025,1,نهر النيل,ابوحمد,0,سارية
583,السنط لتعدين المحدودة,0,20000000,0,مخلفات,583,عقد,1/11/2018,1/10/2020,1,جنوب كردفان,تلودي,0,غير سارية
22,الشاطئ للتعدين المحدودة,0,-10000000,0,مخلفات,244,عقد,5/15/2019,5/14/2022,1,نهر النيل,بربر,0,غير سارية
564,الصحاري القابضة للتجارة و التعدين و الخدمات العامة المحدودة,0,0,0,مخلفات,564,عقد,9/24/2024,9/24/2027,1,البحر الأحمر,جبيت,0,سارية
1586,الصحاري القابضة للتجارة و التعدين و الخدمات العامة المحدودة,1,0,0,مخلفات,564/حجر معدنيين,عقد,4/23/2025,4/22/2026,1,البحر الأحمر,جبيت,0,سارية
23,الصولج للتعدين المحدودة,0,20000000,0,مخلفات,245,عقد,12/4/2020,12/3/2023,1,نهر النيل,بربر,0,غير سارية
126,العنود للتعدين,0,5000000,0,مخلفات,348,عقد,4/26/2021,4/25/2024,1,النيل الازرق,ود الماحى,0,غير سارية
63,الفدرالية للأعمال المتقدمة المحدودة,0,60000000,0,مخلفات,285,عقد,4/5/2022,4/4/2025,1,نهر النيل,ابوحمد,0,سارية
78,الفطيم للأعمال المتقدمة المحدودة,0,5000000,0,مخلفات,300,عقد,5/4/2021,5/21/2025,1,الشمالية,وادي حلفا,0,غير سارية
1562,الفطيم للأعمال المتقدمة المحدودة,1,0,0,مخلفات,300/حجر معدنيين,عقد,1/28/2025,1/27/2026,1,الشمالية,حلفا,,سارية
1524,القويسي للتعدين,0,0,0,مخلفات,255/خام معالج مسبقاُ,عقد,12/9/2024,12/8/2025,1,نهر النيل,ابوحمد,,سارية
33,القويسي للتعدين,0,0,0,مخلفات,255,عقد,6/14/2024,6/13/2027,1,نهر النيل,ابوحمد,0,سارية
555,الكامل للتعدين-ام سرح,0,0,0,مخلفات,555,عقد,5/18/2017,5/17/2019,1,نهر النيل,ابوحمد,0,سارية
92,المؤسسة التعاونية ام أيه و شركة أم أيه جنرال سيرفس المحدودة,0,30000000,0,مخلفات,314,عقد,9/2/2021,9/1/2024,1,الشمالية,وادي حلفا,0,سارية
25,المبرأة للتعدين والاستثمار المحدودة,0,30000000,0,مخلفات,247,عقد,12/27/2021,12/26/2022,1,نهر النيل,بربر,0,غير سارية
16,المسار العالمية للخدمات والتعدين المحدودة,0,20000000,0,مخلفات,238,عقد,9/26/2022,9/25/2025,1,نهر النيل,بربر,0,سارية
557,المسبار لخدمات البترول المحدودة,0,0,0,مخلفات,557,عقد,10/16/2018,10/15/2019,1,نهر النيل,بربر,0,غير سارية
89,المنظور البعيد للأنشطة المتعددة المحدودة,0,35000000,0,مخلفات,311,عقد,12/13/2021,12/12/2024,1,الشمالية,وادي حلفا,0,سارية
578,النعيم للتعدين,0,0,0,مخلفات,578,عقد,1/2/2020,1/1/2023,1,شمال كردفان,سودري,0,غير سارية
213,الهصور للتعدين --الخناق,1,0,0,مخلفات,294 / حجر معدنيين,عقد,7/17/2022,7/16/2025,1,الشمالية,وادي حلفا,0,سارية
72,الهصور للتعدين --الخناق,0,5000000,0,مخلفات,294,عقد,7/17/2022,7/16/2025,1,الشمالية,وادي حلفا,0,سارية
1537,الهصور للتعدين --الخناق,0,0,0,مخلفات,294/خام معالج مسبقا,عقد,1/14/2025,1/13/2026,1,الشمالية,وادي حلفا,0,سارية
69,الهصور للتعدين --كدرمة,0,0,0,مخلفات,291,عقد,7/17/2022,7/16/2025,1,الشمالية,دلقو,0,سارية
212,الهصور للتعدين --كدرمة,1,0,0,مخلفات,291 / حجر معدنيين,عقد,7/17/2022,7/16/2025,1,الشمالية,دلقو,0,سارية
96,ام ضرابة للإستثمار و النقل المحدودة,0,60000000,0,مخلفات,321,عقد,8/25/2022,8/24/2025,1,الشمالية,الدبة,0,سارية
123,انترنت العالمية للتجارة والترحيل,0,0,50000,مخلفات,345,عقد,11/24/2023,11/23/2026,1,البحر الأحمر,جبيت,0,سارية
1540,بان تك,0,0,0,مخلفات,593,عقد,1/19/2025,1/18/2028,1,النيل الازرق,قيسان,,سارية
125,بان قلف للأنشطة المتعددة المحدودة,0,0,0,مخلفات,347,عقد,4/26/2024,4/25/2027,1,البحر الأحمر,القنب والأوليب,0,سارية
54,بتروفيلد للتعدين المحدودة,0,35000000,0,مخلفات,276,عقد,6/20/2021,6/19/2024,1,نهر النيل,ابوحمد,0,غير سارية
165,بتنوس انترناشونال سيرفس المحدودة,0,0,0,مخلفات,387,عقد,11/23/2022,11/12/2025,1,البحر الأحمر,القنب والأوليب,0,سارية
79,برخيا للأعمال المتقدمة المحدودة,0,0,0,مخلفات,301,عقد,6/23/2021,6/22/2024,1,الشمالية,الدبة,0,غير سارية
18,بي إن للتعدين المحدودة,0,4000000,50000,مخلفات,240,عقد,1/31/2024,1/30/2026,1,نهر النيل,بربر,0,سارية
1594,بي إن للتعدين المحدودة,1,0,0,مخلفات,240/حجر معدنيين,عقد,4/21/2025,4/20/2026,1,نهر النيل,بربر,,سارية
34,تاناش لمعالجة مخلفات التعدين,0,30000000,0,مخلفات,256,عقد,5/4/2018,5/3/2020,1,نهر النيل,ابوحمد,0,غير سارية
