الهدف الرئيسي,الهدف الفرعي,الادارة المسؤولة,الانشطة
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية, إعادة تقييم موقف البيئة والسلامة وتوثيق وضع البيئة والصحة والسلامة ومدى الإلتزام بالإشتراطات في قطاع التعدين ,البيئة والسلامة,تنفيذ مأموريات تقييمية  للشركات المختلفة في قطاع  التعدين 
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية, إعادة تقييم موقف البيئة والسلامة وتوثيق وضع البيئة والصحة والسلامة ومدى الإلتزام بالإشتراطات في قطاع التعدين ,البيئة والسلامة,تنفيذ مأموريات تقييمية لأسواق التعدين
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية, إعادة تقييم موقف البيئة والسلامة وتوثيق وضع البيئة والصحة والسلامة ومدى الإلتزام بالإشتراطات في قطاع التعدين ,البيئة والسلامة,رصد وتحليل تقارير البيئة والسلامة الشهرية للشركات المنتجة وأسواق التعدين
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية, إعادة تقييم موقف البيئة والسلامة وتوثيق وضع البيئة والصحة والسلامة ومدى الإلتزام بالإشتراطات في قطاع التعدين ,البيئة والسلامة,إسترجاع بيانات الإدارة بجمع ورصد بيانات الشركات المنتجة وأسواق التعدين وتوثيقها
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تطوير الشركات المقبلة على الإنتاج وشركات التعدين الصغير والغير ملتزمة بمطلوبات الإدارة للوصول لنسبة إلتزام بمطلوبات وإشتراطات البيئة والسلامة  70% على الأقل ,البيئة والسلامة,تمليك الشركات متطلبات وإشتراطات ومواصفات البيئة والسلامة
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تطوير الشركات المقبلة على الإنتاج وشركات التعدين الصغير والغير ملتزمة بمطلوبات الإدارة للوصول لنسبة إلتزام بمطلوبات وإشتراطات البيئة والسلامة  70% على الأقل ,البيئة والسلامة,تنفيذ مأموريات لمتابعة إلتزام الشركات بمتطلبات وإلتزامات البيئة والسلامة بمواقع الشركات
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تطوير الشركات المقبلة على الإنتاج وشركات التعدين الصغير والغير ملتزمة بمطلوبات الإدارة للوصول لنسبة إلتزام بمطلوبات وإشتراطات البيئة والسلامة  70% على الأقل ,البيئة والسلامة,تنفيذ ورشة تطوير الشركات ومناقشة المعوقات وإحكام الرقابة لشركات التعدين الصغير والإستكشاف
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تنفيذ برامج إرشادية بالتنسيق مع إدارة الإعلام لتعزيز ثقافة البيئة والسلامة ورفع الوعي في قطاع التعدين,البيئة والسلامة,تصميم محتويات إرشادية إعلامية ولقاءات (دراما – فديوهات قصيرة)  لتعزيز ثقافة البيئة والسلامة
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تنفيذ برامج إرشادية بالتنسيق مع إدارة الإعلام لتعزيز ثقافة البيئة والسلامة ورفع الوعي في قطاع التعدين,البيئة والسلامة,الإحتفال بالمحافل الدولية (اليوم العالمي للسلامة واليوم العالمي للبيئة)
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تنفيذ برامج إرشادية بالتنسيق مع إدارة الإعلام لتعزيز ثقافة البيئة والسلامة ورفع الوعي في قطاع التعدين,البيئة والسلامة,تنفيذ حملات إرشادية وحملات إصحاح بيئي وصحي بالتنسيق مع الجهات ذات الصلة في اسواق التعدين
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تطوير عمليات التقييم والقياس البيئي للإدارة من خلال شراء معدات ووسائل حديثة لقياس الآثر البيئي لل(هواء – الماء – التربة)  في مناطق التعدين  في 3 ولايات(نهر النيل – البحر الأحمر – الشمالية),البيئة والسلامة,شراء أجهزة قياس بيئي محمولة للماء والهواء والتربة
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تطوير عمليات التقييم والقياس البيئي للإدارة من خلال شراء معدات ووسائل حديثة لقياس الآثر البيئي لل(هواء – الماء – التربة)  في مناطق التعدين  في 3 ولايات(نهر النيل – البحر الأحمر – الشمالية),البيئة والسلامة,إجراء قياسات بيئية بواسطة أجهزة الرصد البيئي في الولايات المستهدفة
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تطوير عمليات التقييم والقياس البيئي للإدارة من خلال شراء معدات ووسائل حديثة لقياس الآثر البيئي لل(هواء – الماء – التربة)  في مناطق التعدين  في 3 ولايات(نهر النيل – البحر الأحمر – الشمالية),البيئة والسلامة,الإستفادة من معامل شركات التعدين لقياس التلوث بمناطق التعدين
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تطوير وبناء نظام السلامة الداخلية وتوفير معينات العمل والأدوات اللازمة لتنفيذه,البيئة والسلامة,تنفيذ تقييم للمخاطر لمبنى الرئاسة 
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تطوير وبناء نظام السلامة الداخلية وتوفير معينات العمل والأدوات اللازمة لتنفيذه,البيئة والسلامة,فحص طفايات الحريق وصناديق الإسعافات الأولية بالرئاسة والولايات
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تطوير وبناء نظام السلامة الداخلية وتوفير معينات العمل والأدوات اللازمة لتنفيذه,البيئة والسلامة,إجراء الفحص الطبي (الكرت الصحي) للعاملين بالخدمات
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تطوير وبناء نظام السلامة الداخلية وتوفير معينات العمل والأدوات اللازمة لتنفيذه,البيئة والسلامة,توفير معدات الإطفاء ولوحات السلامة ومعدات الوقاية الشخصية للعاملين بالشركة في المركز والولايات
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تطوير وبناء نظام السلامة الداخلية وتوفير معينات العمل والأدوات اللازمة لتنفيذه,البيئة والسلامة,تنفيذ عدد 5 دورات تدريبية في البيئة والسلامة متخصصة لموظفي الإدارة ودورات اساسية للعاملين بالرئاسة
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تحويل التواصل وإجراءات إستلام التقرير الشهر وتقارير الحوادث للشركات المنتجة عن طريق نظام البوابة الإلكترونية بنسبة تنفيذ 50% ,البيئة والسلامة,انزال بيانات وإجراءات الإدارة في البوابة الرئيسية
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تحويل التواصل وإجراءات إستلام التقرير الشهر وتقارير الحوادث للشركات المنتجة عن طريق نظام البوابة الإلكترونية بنسبة تنفيذ 50% ,البيئة والسلامة,التواصل مع الشركات ومراقبي الإنتاج لربطهم والتعامل بالبوابة الإلكترونية
ضبط وإحكام الإشراف والرقابة على البيئة والسلامة والصحة المهنية,تحويل التواصل وإجراءات إستلام التقرير الشهر وتقارير الحوادث للشركات المنتجة عن طريق نظام البوابة الإلكترونية بنسبة تنفيذ 50% ,البيئة والسلامة,التنسيق مع إدارة تقنية المعلومات لإنشاء نظام تحليلي داخل النظام
تعظيـــم المســاهمة في دعم الاقتصاد القومي,زيادة كفاءه التحصيل والرقابة المالية على الشركات ,الشؤون المالية ,تحصيل الإلتزامات المالية المتأخرة للسنوات السابقة حسب بنود الايرادات 
تعظيـــم المســاهمة في دعم الاقتصاد القومي,زيادة كفاءه التحصيل والرقابة المالية على الشركات ,الشؤون المالية , التركيز على كفاءه التحصيل للإلتزام بالربط وتوفير موارد للشركة للايفاء بالإلتزامات ولتسيير الاعمال 
تعظيـــم المســاهمة في دعم الاقتصاد القومي,زيادة كفاءه التحصيل والرقابة المالية على الشركات ,الشؤون المالية ,الرقابة المستمرة على الاداء المالي لشركات الامتياز ومراجعة نتائج الاداء لمالي لها قبل وأثناء عملية الانتاج
تعظيـــم المســاهمة في دعم الاقتصاد القومي,زيادة كفاءه التحصيل والرقابة المالية على الشركات ,الشؤون المالية ,حصر وتحديد الالتزامات المالية لشركات الامتياز والانتاج والتعدين الصغير ومشروع التعدين التقليدي
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إستقطاع انصبة الدولة من الشركات  والتعدين التقليدي ,الشؤون المالية ,حصر وتحديد الالتزامات المالية لشركات الامتياز والانتاج والتعدين الصغير ومشروع التعدين التقليدي
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إستقطاع انصبة الدولة من الشركات  والتعدين التقليدي ,الشؤون المالية ,التحصيل من التعدين التقليدي وتنسيق الجهود الرامية لتحقيق الربط 
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إستقطاع انصبة الدولة من الشركات  والتعدين التقليدي ,الشؤون المالية ,احتساب انصبة الشركاء وتوزيعها عليهم فى الوقت المحدد
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إستقطاع انصبة الدولة من الشركات  والتعدين التقليدي ,الشؤون المالية ,تحصيل المبلغ المستهدف من شركات الامتياز والانتاج والتعدين الصغير ومشروع التعدين التقليدي
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إستقطاع انصبة الدولة من الشركات  والتعدين التقليدي ,الشؤون المالية ,الرقابة المستمرة علي الأداء المالي لمشروع التعدين التقليدي
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إستقطاع انصبة الدولة من الشركات  والتعدين التقليدي ,الشؤون المالية ,تنفيذ مأموريات التحصيل ومراجعة الاداء وازالة المعقوقات 
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تطبيق المبادي والفروض المحاسبية وفقاً للوائح والقوانين والمناشير المتعارف عليها ,الشؤون المالية ,التأكد من سلامة النظام المحاسبي المحوسب 
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تطبيق المبادي والفروض المحاسبية وفقاً للوائح والقوانين والمناشير المتعارف عليها ,الشؤون المالية ,تنفيذ المطابقات الماليه المطلوبه
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تطبيق المبادي والفروض المحاسبية وفقاً للوائح والقوانين والمناشير المتعارف عليها ,الشؤون المالية ,ضبط المصروفات وفق الموازنة
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تطبيق المبادي والفروض المحاسبية وفقاً للوائح والقوانين والمناشير المتعارف عليها ,الشؤون المالية ,إعداد القوائم المالية والايضاحات المرفقة
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تطبيق المبادي والفروض المحاسبية وفقاً للوائح والقوانين والمناشير المتعارف عليها ,الشؤون المالية ,تمويل الانشطة وفق الموازنة
