date, sold price , buy price 
2026-01-04," 2,726.6609 "," 2,706.3632 "
2026-01-05," 2,925.1196 "," 2,903.3445 "
2026-01-06," 3,107.9570 "," 3,084.8208 "
2026-01-07," 2,951.5264 "," 2,929.5547 "
2026-01-08," 2,800.3297 "," 2,779.4836 "
2026-01-11," 2,712.5911 "," 2,692.3981 "
2026-01-13," 2,756.6727 "," 2,736.1516 "
2026-01-14," 2,987.5949 "," 2,965.3547 "
2026-01-15," 2,608.0917 "," 2,588.6766 "
2026-01-18," 2,905.5215 "," 2,883.8923 "
2026-01-19," 2,583.4981 "," 2,564.2661 "
2026-01-20," 2,727.7622 "," 2,707.4563 "
2026-01-21," 3,077.2327 "," 3,054.3253 "
2026-01-22," 2,594.9599 "," 2,575.6426 "
2026-01-25," 2,922.3832 "," 2,900.6285 "
2026-01-26," 2,893.8396 "," 2,872.2974 "
2026-01-27," 3,073.8896 "," 3,051.0070 "
2026-01-28," 2,748.4847 "," 2,728.0245 "
2026-01-29," 3,342.1474 "," 3,317.2679 "
2026-02-01," 3,128.6297 "," 3,105.3397 "
2026-02-02," 2,937.7926 "," 2,915.9232 "
2026-02-03," 3,034.1251 "," 3,011.5386 "
2026-02-04," 3,176.9293 "," 3,153.2797 "
2026-02-05," 3,216.1195 "," 3,192.1782 "
2026-02-09," 2,979.3946 "," 2,957.2155 "
2026-02-10," 3,315.6759 "," 3,290.9934 "
2026-02-11," 2,970.8807 "," 2,948.7650 "
2026-02-12," 3,292.2818 "," 3,267.7735 "
2026-02-15," 3,064.4904 "," 3,041.6778 "
2026-02-16," 3,045.4535 "," 3,022.7826 "
2026-02-17," 2,659.6590 "," 2,639.8600 "
2026-02-18," 2,934.5187 "," 2,912.6736 "
2026-02-19," 2,971.6771 "," 2,949.5554 "
2026-02-22," 2,951.2352 "," 2,929.2657 "
2026-02-23," 2,844.9495 "," 2,823.7712 "
2026-02-24," 2,909.8842 "," 2,888.2225 "
2026-02-25," 8,380.9265 "," 3,355.7583 "
2026-02-26," 2,819.1965 "," 2,798.2099 "
2026-03-01," 3,002.4588 "," 2,980.1080 "
2026-03-02," 3,091.5639 "," 3,068.5498 "
2026-03-03," 3,329.6910 "," 3,304.9042 "
2026-03-04," 3,271.4463 "," 3,247.0931 "
2026-03-08," 3,196.7661 "," 3,172.9688 "
2026-03-09," 3,112.5853 "," 3,089.4147 "
2026-03-10," 3,293.8402 "," 3,269.3203 "
2026-03-11," 3,391.5839 "," 3,366.3364 "
2026-03-12," 3,237.0917 "," 3,212.9944 "
2026-03-15," 3,191.6930 "," 3,167.9335 "
2026-03-16," 3,223.5834 "," 3,199.5865 "
2026-03-17," 3,334.2640 "," 3,309.4432 "
2026-03-18," 3,291.7909 "," 3,291.7909 "
2026-03-25," 3,337.1317 "," 3,312.2895 "
2026-03-26," 3,314.5268 "," 3,289.8529 "
2026-03-29," 3,194.3335 "," 3,170.5543 "
2026-03-30," 3,345.8995 "," 3,302.9921 "
2026-03-31," 3,461.6202 "," 3,435.8513 "
2026-04-01," 3,207.8071 "," 3,183.9276 "
2026-04-02," 3,381.5286 "," 3,356.3559 "
2026-04-05," 3,370.7669 "," 3,345.6743 "
2026-04-06," 3,370.4906 "," 3,345.4001 "
2026-04-07," 3,441.3164 "," 3,415.6987 "
2026-04-08," 3,362.0110 "," 3,336.9836 "
2026-04-09," 3,408.0436 "," 3,382.6735 "
2026-04-12," 3,366.7858 "," 3,341.7229 "
2026-04-13," 3,453.2327 "," 3,427.5263 "
2026-04-14," 3,392.4460 "," 3,367.1921 "
2026-04-15," 3,266.4886 "," 3,242.1723 "
2026-04-16," 3,618.7843 "," 3,991.8455 "
2026-04-19," 3,401.1504 "," 3,375.8317 "
2026-04-20," 3,307.9304 "," 3,283.3056 "
2026-04-21," 3,480.1343 "," 3,454.2276 "
2026-04-22," 3,433.2285 "," 3,412.6337 "
2026-04-23," 3,998.0603 "," 3,571.2757 "
2026-04-26," 3,657.3084 "," 3,630.0828 "
2026-04-27," 3,378.4621 "," 3,353.3123 "
2026-04-28," 3,528.1196 "," 3,501.8557 "
2026-04-29," 3,357.4577 "," 3,332.4642 "
2026-04-30," 3,485.1169 "," 3,459.1731 "
2026-05-03," 3,536.4556 "," 3,510.1296 "
2026-05-04," 3,322.7507 "," 3,298.0156 "
2026-05-05," 3,598.2634 "," 3,571.4773 "
2026-05-06," 3,596.4409 "," 3,569.6684 "
2026-05-07," 3,667.0932 "," 3,639.7947 "
2026-05-10," 3,414.6211 "," 3,389.2021 "
2026-05-11," 3,497.5518 "," 3,471.5154 "
2026-05-12," 3,451.4061 "," 3,425.7133 "
2026-05-13," 3,289.0390 "," 3,264.5548 "
2026-05-14," 3,315.4489 "," 3,290.7681 "
2026-05-17," 3,526.5727 "," 3,500.3203 "
2026-05-18," 3,631.5567 "," 3,604.5228 "
