عدد قلابات الكرتة ,عدد الإستمارات,الإنتاج بالجرام,إجمالي الإيرادات,الإيرادات,,وارد الحجر,,البيان,date,soug_id
0,1,206,1928000,0,1928000,0,275.43,بلقوة,1/5/2025,58
0,3,521.8,290000,0,290000,0,41.43,مقنزا,1/5/2025,60
0,0,0,398000,0,398000,0,56.86,بكوري,1/5/2025,57
0,0,329.6,1201000,0,1201000,0,171.57,بلقوة,2/5/2025,58
0,3,385,350000,0,350000,0,50,مقنزا,2/5/2025,60
0,1,0,207000,0,207000,0,29.57,بكوري,2/5/2025,57
0,0,0,1846000,0,1846000,0,12.57,بلنق,2/5/2025,59
0,0,0,3218500,0,3218500,0,459.79,بلقوة,3/5/2025,58
0,0,0,693000,0,693000,0,99,مقنزا,3/5/2025,60
0,2,2,729000,0,729000,0,104.14,بكوري,3/5/2025,57
0,0,0,4640500,0,4640500,0,0,مرحل,3/5/2025,0
0,5,2215,3799500,0,3799500,0,542.79,بلقوة,4/5/2025,58
0,0,0,2166500,0,2166500,0,309.5,مقنزا,4/5/2025,60
0,2,168,2996300,0,2996300,0,428.04,بلقوة,5/5/2025,58
0,0,0,581000,0,581000,0,83,مقنزا,5/5/2025,60
0,1,49.6,2473000,0,2473000,0,353.29,بلقوة,6/5/2025,58
0,0,0,1448500,0,1448500,0,206.93,مقنزا,6/5/2025,60
0,5,712.6,253000,0,253000,0,36.14,بكوري,6/5/2025,57
0,0,0,4832000,0,4832000,0,690.29,بلقوة,7/5/2025,58
0,0,0,1017000,0,1017000,0,145.29,مقنزا,7/5/2025,60
0,3,484.5,562000,0,562000,0,80.29,بكوري,7/5/2025,57
0,0,0,1100000,0,0,0,0,غرابيل,7/5/2025,0
0,15,5936.3,2446000,0,2446000,0,349.43,بلقوة,8/5/2025,58
0,5,543.2,591000,0,591000,0,84.43,مقنزا,8/5/2025,60
0,0,0,357500,0,357500,0,51.07,بكوري,8/5/2025,57
0,0,0,2904000,0,0,0,0,ضبطيات,8/5/2025,0
0,2,62,1684500,0,1684500,0,240.64,بلقوة,9/5/2025,58
0,1,1190,791000,0,791000,0,113,مقنزا,9/5/2025,60
0,0,0,454500,0,454500,0,64.93,بكوري,9/5/2025,57
0,0,0,2904000,0,0,0,0,ضبطيات,9/5/2025,0
0,1,122,995500,0,995500,0,142.21,بلقوة,10/5/2025,58
0,2,178.3,1137500,0,1137500,0,162.5,مقنزا,10/5/2025,60
0,2,96,70000,0,70000,0,10,بكوري,10/5/2025,57
0,0,0,9050000,0,0,0,0,غرابيل,10/5/2025,0
0,4,1334,2844500,0,2844500,0,406.36,بلقوة,11/5/2025,58
0,1,817.1,434000,0,434000,0,62,مقنزا,11/5/2025,60
0,2,526,418000,0,418000,0,59.71,بكوري,11/5/2025,57
0,0,0,8800000,0,0,0,0,غرابيل,11/5/2025,0
0,4,0,0,0,0,0,0,بلقوة,12/5/2025,58
0,1,958.3,2401000,0,2401000,0,343,مقنزا,12/5/2025,60
0,2,2334,1606000,0,1606000,0,229.43,بكوري,12/5/2025,57
0,0,0,27104000,0,0,0,0,ضبطيات,12/5/2025,0
0,4,0,4200100,0,4200100,0,600.01,بلقوة,13/5/2025,58
0,1,958.3,1369000,0,1369000,0,195.57,مقنزا,13/5/2025,60
0,2,2334,52500,0,52500,0,7.5,بكوري,13/5/2025,57
0,0,0,413000,0,413000,0,59,بلنق,13/5/2025,59
0,0,0,55006600,0,0,0,0,ضبطيات,13/5/2025,0
0,0,0,1100000,0,0,0,0,غرابيل,13/5/2025,0
0,0,0,120000,0,0,0,0,10% من الإستمارات,13/5/2025,0
0,0,0,3263900,0,3263900,0,466.27,بلقوة,14/5/2025,58
0,0,0,730000,0,730000,0,104.29,مقنزا,14/5/2025,60
0,3,733,41000,0,41000,0,5.86,بكوري,14/5/2025,57
0,4,2489.3,3598000,0,3598000,0,514,بلقوة,15/5/2025,58
0,0,0,532000,0,532000,0,76,مقنزا,15/5/2025,60
0,0,0,1038000,0,1038000,0,148.29,بكوري,15/5/2025,57
0,0,0,5200000,0,0,0,0,غرابيل,15/5/2025,0
