عدد قلابات الكرتة ,عدد الإستمارات,الإنتاج بالجرام,إجمالي الإيرادات,الإيرادات,,وارد الحجر,,البيان,date,
0,4,2937.2,4697,0,4697,0,671,ودبشارة,1/5/2025,11
0,6,2297.9,5369,0,5369,0,767,الخياري,1/5/2025,9
0,0,0,784,0,784,0,112,شاور,1/5/2025,55
0,0,0,1624,0,1624,0,232,سالمين,1/5/2025,5
0,0,0,70,0,70,0,10,الفويل,1/5/2025,14
0,0,0,98,0,98,0,14,البيضاء,1/5/2025,7
0,0,0,0,0,0,0,90642300,مرحل,1/5/2025,0
0,2,725.7,7630000,0,7630000,0,1090,ودبشارة,2/5/2025,11
0,1,2188.2,5124000,0,5124000,0,732,الخياري,2/5/2025,9
0,1,632.4,1057000,0,1057000,0,151,شاور,2/5/2025,55
0,0,0,2037000,0,2037000,0,291,سالمين,2/5/2025,5
0,1,811.8,294,0,294,0,42,الفويل,2/5/2025,14
0,0,0,196,0,196,0,28,البيضاء,2/5/2025,7
0,6,6678.1,8043000,0,8043000,0,1149,ودبشارة,3/5/2025,11
0,4,2615.5,5950000,0,5950000,0,850,الخياري,3/5/2025,9
0,2,221,728000,0,728000,0,104,شاور,3/5/2025,55
0,5,815.8,1407000,0,1407000,0,201,سالمين,3/5/2025,5
0,0,0,847000,0,847000,0,121,الفويل,3/5/2025,14
0,1,155.1,511000,0,511000,0,73,البيضاء,3/5/2025,7
0,4,1136.6,6027000,0,6027000,0,861,ودبشارة,4/5/2025,11
0,6,6667.7,4627000,0,4627000,0,661,الخياري,4/5/2025,9
0,0,0,1778000,0,1778000,0,254,شاور,4/5/2025,55
0,2,130.1,2506000,0,2506000,0,358,سالمين,4/5/2025,5
0,0,0,882000,0,882000,0,126,الفويل,4/5/2025,14
0,0,0,525000,0,525000,0,75,البيضاء,4/5/2025,7
0,1,3395,11683000,0,11683000,0,1669,ودبشارة,5/5/2025,11
0,1,109.7,5369000,0,5369000,0,767,الخياري,5/5/2025,9
0,1,273.2,1358000,0,1358000,0,194,شاور,5/5/2025,55
0,6,557.6,1981000,0,1981000,0,283,سالمين,5/5/2025,5
0,0,0,847000,0,847000,0,121,الفويل,5/5/2025,14
0,0,0,518000,0,518000,0,74,البيضاء,5/5/2025,7
0,3,4129.8,15638000,0,15638000,0,2234,ودبشارة,6/5/2025,11
0,3,3724.2,6860000,0,6860000,0,980,الخياري,6/5/2025,9
0,3,598.7,1442000,0,1442000,0,206,شاور,6/5/2025,55
0,2,122.9,2555000,0,2555000,0,365,سالمين,6/5/2025,5
0,0,0,672000,0,672000,0,96,الفويل,6/5/2025,14
0,1,536.5,350000,0,350000,0,50,البيضاء,6/5/2025,7
0,3,1442.7,9933000,0,9933000,0,1419,ودبشارة,7/5/2025,11
0,2,638.8,7168000,0,7168000,0,1024,الخياري,7/5/2025,9
0,0,0,1190000,0,1190000,0,170,شاور,7/5/2025,55
0,1,48.8,1932000,0,1932000,0,276,سالمين,7/5/2025,5
0,0,0,1253000,0,1253000,0,179,الفويل,7/5/2025,14
0,1,283.6,301000,0,301000,0,43,البيضاء,7/5/2025,7
0,2,1328.9,10535000,0,10535000,0,1505,ودبشارة,8/5/2025,11
0,3,3264.2,7392000,0,7392000,0,1056,الخياري,8/5/2025,9
