عدد قلابات الكرتة ,عدد الإستمارات,الإنتاج بالجرام,إجمالي الإيرادات,الإيرادات,,وارد الحجر,,البيان,date,soug_id
0,3,181,210000,0,210000,0,30,إيلاتيوت,1/5/2025,18
0,0,0,1260000,0,1260000,0,180,إيد الوحش,1/5/2025,56
0,3,0,448000,0,448000,0,64,إيلاتيوت,2/5/2025,18
0,0,0,1127000,0,1127000,0,161,إيد الوحش,2/5/2025,56
0,2,217.1,343000,0,343000,0,49,إيلاتيوت,3/5/2025,18
0,1,147,1281000,0,1281000,0,183,إيد الوحش,3/5/2025,56
0,2,217.1,343000,0,343000,0,49,إيلاتيوت,4/5/2025,18
0,5,147,1281000,0,1281000,0,183,إيد الوحش,4/5/2025,56
0,2,413,378000,0,378000,0,54,إيلاتيوت,5/5/2025,18
0,1,4576.8,1197000,0,1197000,0,171,إيد الوحش,5/5/2025,56
0,2,318.3,343000,0,343000,0,49,إيلاتيوت,6/5/2025,18
0,0,0,1148000,0,1148000,0,164,إيد الوحش,6/5/2025,56
0,3,144.6,294000,0,294000,0,42,إيلاتيوت,7/5/2025,18
0,1,3264,3264,0,3264,0,93,إيد الوحش,7/5/2025,56
0,2,130,210000,0,210000,0,30,إيلاتيوت,8/5/2025,18
0,1,1719.4,609000,0,609000,0,87,إيد الوحش,8/5/2025,56
0,0,0,357000,0,357000,0,51,إيلاتيوت,9/5/2025,18
0,1,331.3,791000,0,791000,0,113,إيد الوحش,9/5/2025,56
0,1,72.5,322000,0,322000,0,46,إيلاتيوت,10/5/2025,18
0,3,1367.3,1435000,0,1435000,0,205,إيد الوحش,10/5/2025,56
0,3,95.6,280000,0,280000,0,40,إيلاتيوت,11/5/2025,18
0,0,0,1694000,0,1694000,0,242,إيد الوحش,11/5/2025,56
0,2,84.4,308000,0,308000,0,44,إيلاتيوت,12/5/2025,18
0,0,0,1505000,0,1505000,0,215,إيد الوحش,12/5/2025,56
0,1,47.4,385000,0,385000,0,55,إيلاتيوت,13/5/2025,18
0,0,0,1204000,0,1204000,0,172,إيد الوحش,13/5/2025,56
0,3,188.8,294000,0,294000,0,42,إيلاتيوت,14/5/2025,18
0,0,0,1155000,0,1155000,0,165,إيد الوحش,14/5/2025,56
0,2,224.7,210000,0,210000,0,30,إيلاتيوت,15/5/2025,18
0,0,0,1302000,0,1302000,0,186,إيد الوحش,15/5/2025,56
