عدد قلابات الكرتة ,عدد الإستمارات,الإنتاج بالجرام,إجمالي الإيرادات,إيرادات حجر البولميل,إيرادات حجر الطواحين,حجر بولميل,حجر طواحين,البيان,date,soug_id
32,3,17560,79500,0,79500,0,5300,نمرة واحد,1/5/2025,25
0,1,276.4,1215,0,1215,0,81,عكاشة,1/5/2025,24
0,2,562.2,1777500,0,1777500,0,118.5,صواردة,1/5/2025,26
0,5,1082050,5100,0,5100,0,340,الخناق,1/5/2025,23
0,3,5309,1785,0,1785,0,119,المثلث,1/5/2025,41
0,3,59610.1,52215,0,52215,0,3481,دلقو 625,1/5/2025,1
0,2,160.7,1590,0,1590,0,106,شدة,1/5/2025,2
0,0,0,600,0,600,0,40,البرقيق,1/5/2025,39
0,1,1257,12390,0,12390,0,826,القعب,1/5/2025,15
0,4,3653.3,0,0,0,0,0,الدبة,1/5/2025,40
0,0,0,0,0,0,0,38305400,حفر كبيرة,1/5/2025,0
20,1,1896.8,69270,0,69270,0,4618,نمرة واحد,2/5/2025,25
0,0,0,300,0,300,0,20,عكاشة,2/5/2025,24
0,1,74.1,2850,0,2850,0,190,صواردة,2/5/2025,26
0,1,2251,9585,0,9585,0,639,الخناق,2/5/2025,23
0,2,3394.1,1500,0,1500,0,100,المثلث,2/5/2025,41
0,1,4167.7,41610,0,41610,0,2774,دلقو 625,2/5/2025,1
0,1,72,1192500,0,1192500,0,79.5,شدة,2/5/2025,2
0,0,0,540,0,540,0,36,البرقيق,2/5/2025,39
0,0,0,8745,0,8745,0,583,القعب,2/5/2025,15
15,4,6535.7,1395,0,1395,0,93,الدبة,2/5/2025,40
0,0,0,33889300,0,0,0,0,حفر كبيرة,2/5/2025,0
20,0,0,75000,0,75000,0,5000,نمرة واحد,3/5/2025,25
0,1,64,1095,0,1095,0,73,عكاشة,3/5/2025,24
0,3,388.9,2707500,0,2707500,0,180.5,صواردة,3/5/2025,26
0,0,0,5527500,0,5527500,0,368.5,الخناق,3/5/2025,23
0,0,0,1530,0,1530,0,102,المثلث,3/5/2025,41
0,1,1034.4,43785000,0,43785000,0,2919,دلقو 625,3/5/2025,1
0,3,200.4,2452500,0,2452500,0,163,شدة,3/5/2025,2
0,0,0,180000,0,180000,0,12,البرقيق,3/5/2025,39
0,3,1977.1,6120000,0,6120000,0,408,القعب,3/5/2025,15
0,9,15141.8,2550000,0,2550000,0,170,الدبة,3/5/2025,40
0,0,0,44955100,0,0,0,0,حفر كبيرة,3/5/2025,0
30,1,2388,75030,0,75030,0,5002,نمرة واحد,4/5/2025,25
0,0,0,465,0,465,0,31,عكاشة,4/5/2025,24
0,0,0,1980,0,1980,0,132,صواردة,4/5/2025,26
0,3,6657050,8805000,0,8805000,0,587,الخناق,4/5/2025,23
0,2,4122.5,1500000,0,1500000,0,100,المثلث,4/5/2025,41
0,0,0,64755000,0,64755000,0,4317,دلقو 625,4/5/2025,1
0,2,144,322500,0,322500,0,201.5,شدة,4/5/2025,2
0,0,0,2850000,0,2850000,0,190,البرقيق,4/5/2025,39
0,0,0,11205000,0,11205000,0,747,القعب,4/5/2025,15
11,7,2073.7,2100000,0,2100000,0,140,الدبة,4/5/2025,40
0,0,0,73316000,0,0,0,0,حفر كبيرة,4/5/2025,0
57,3,7557.3,60270000,0,60270000,0,4018,نمرة واحد,5/5/2025,25
0,2,441.5,1110000,0,1110000,0,74,عكاشة,5/5/2025,24
0,3,477.5,2370000,0,2370000,0,158,صواردة,5/5/2025,26
0,6,10352.4,6562500,0,6562500,0,437,الخناق,5/5/2025,23
0,3,10490.4,1545000,0,1545000,0,103,المثلث,5/5/2025,41
0,4,30254.3,58170000,0,58170000,0,3878,دلقو 625,5/5/2025,1
0,2,198.3,2077500,0,2077500,0,138.5,شدة,5/5/2025,2
0,0,0,360000,0,360000,0,24,البرقيق,5/5/2025,39
0,3,2520.6,7245000,0,7245000,0,483,القعب,5/5/2025,15
22,6,1596.9,2700000,0,2700000,0,180,الدبة,5/5/2025,40
0,0,0,63894700,0,0,0,0,حفر كبيرة,5/5/2025,0
33,1,10233,72720000,0,72720000,0,4848,نمرة واحد,6/5/2025,25
0,2,208.4,720000,0,720000,0,48,عكاشة,6/5/2025,24
0,3,330.9,2415000,0,2415000,0,161,صواردة,6/5/2025,26
0,7,14035.5,11490000,0,11490000,0,766,الخناق,6/5/2025,23
