عدد قلابات الكرتة ,عدد الإستمارات,الإنتاج بالجرام,إجمالي الإيرادات,إيرادات حجر البولميل,إيرادات حجر الطواحين,حجر بولميل,حجر طواحين,البيان,date,soug_id
255,14,27660,321495000,321495000,0,21433,0,أبوحمد,01/05/2025,34
80,7,26588,175485000,175485000,0,11699,0,العبيدية,01/05/2025,17
0,41,47559,185070000,185070000,0,12338,0,دار مالي,01/05/2025,16
11,1,169,11620000,0,11620000,0,1660,أم سرح,01/05/2025,33
,3,408,3927000,0,3927000,0,561,الشريك,01/05/2025,35
,1,83,1484000,0,1484000,0,212,الباوقة,01/05/2025,37
,4,536,2550000,2550000,0,170,0,المكيك,01/05/2025,38
261,4,10573,366105000,366105000,0,24407,0,أبوحمد,02/05/2025,34
80,10,55251,144405000,144405000,0,9627,0,العبيدية,02/05/2025,17
0,7,6833,200850000,200850000,0,13390,0,دار مالي,02/05/2025,16
20,0,0,11907000,0,11907000,0,1701,أم سرح,02/05/2025,33
,0,0,5299000,0,5299000,0,757,الشريك,02/05/2025,35
,3,357,1673000,0,1673000,0,239,الباوقة,02/05/2025,37
,3,159,4125000,4125000,0,275,0,المكيك,02/05/2025,38
450,9,21447,338715000,338715000,0,22581,0,أبوحمد,03/05/2025,34
102,5,7229,195600000,195600000,0,13040,0,العبيدية,03/05/2025,17
0,7,6833,238515000,238515000,0,15901,0,دار مالي,03/05/2025,16
31,4,2425,10584000,0,10584000,0,1215,أم سرح,03/05/2025,33
,3,275,6160000,0,6160000,0,880,الشريك,03/05/2025,35
,5,725,1386000,0,1386000,0,198,الباوقة,03/05/2025,37
,4,364,6310000,6240000,70000,416,10,المكيك,03/05/2025,38
738,12,25686,332625000,332625000,0,22175,0,أبوحمد,04/05/2025,34
124,4,11612,223230000,223230000,0,14882,0,العبيدية,04/05/2025,17
0,34,41738,261615000,261615000,0,17441,0,دار مالي,04/05/2025,16
42,2,1436,9380000,0,9380000,0,1340,أم سرح,04/05/2025,33
0,4,1407,4851000,0,4851000,0,693,الشريك,04/05/2025,35
0,1,67,1799000,0,1799000,0,257,الباوقة,04/05/2025,37
0,3,174,8442000,8400000,42000,560,6,المكيك,04/05/2025,38
897,9,15183,335565000,335565000,0,22371,0,أبوحمد,05/05/2025,34
146,7,29359,211410000,211410000,0,14094,0,العبيدية,05/05/2025,17
43,34,30923,286530000,286530000,0,19102,0,دار مالي,05/05/2025,16
10,5,3759,11851000,0,11851000,0,1693,أم سرح,05/05/2025,33
