عدد قلابات الكرتة ,عدد الإستمارات,الإنتاج بالجرام,إجمالي الإيرادات,الإيرادات,,وارد الحجر,,البيان,date,soug_id
0,0,0,52528000,0,52528000,0,7504,أوجرين,1/5/2025,43
0,0,0,50218000,0,50218000,0,7174,المطار,1/5/2025,48
0,37,6204.8,11200000,0,11200000,0,1600,قبايديب,1/5/2025,31
0,2,2070,10038000,0,10038000,0,1434,وادي العشار,1/5/2025,8
0,2,530.7,17374000,0,17374000,0,2482,الأنصاري,1/5/2025,46
0,17,1839.9,5383000,0,5383000,0,769,الفرقة,1/5/2025,47
0,3,228,98000,0,98000,0,14,أوقييت,1/5/2025,44
0,4,844.4,763000,0,763000,0,109,الياسمين,1/5/2025,29
0,2,2244.9,10140000,0,10140000,0,1448,نوراي,1/5/2025,28
0,2,193.3,3210000,0,3210000,0,458.57,الهرابة,1/5/2025,50
0,1,21.3,2625000,0,2625000,0,375,أوكليس,1/5/2025,45
0,0,0,1372000,0,1372000,0,196,الهدى,1/5/2025,49
0,2,839,387000,0,387000,0,141,أبو محمود,1/5/2025,42
0,5,3321.4,1862000,0,1862000,0,266,شمال هيا,1/5/2025,52
0,0,0,0,0,0,0,100000,غرابيل,1/5/2025,0
0,0,0,54985000,0,54985000,0,7855,أوجرين,2/5/2025,43
0,1,560,47250000,0,47250000,0,6750,المطار,2/5/2025,48
0,16,3406.7,14105000,0,14105000,0,2015,قبايديب,2/5/2025,31
0,0,0,10122000,0,10122000,0,1446,وادي العشار,2/5/2025,8
0,1,5378.7,16451000,0,16451000,0,2350,الأنصاري,2/5/2025,46
0,3,466.1,5047000,0,5047000,0,721,الفرقة,2/5/2025,47
0,2,773.3,0,0,0,0,0,أوقييت,2/5/2025,44
0,2,764.3,707000,0,707000,0,101,الياسمين,2/5/2025,29
0,0,0,12220000,0,12220000,0,1745.71,نوراي,2/5/2025,28
0,0,0,2429000,0,2429000,0,347,الهرابة,2/5/2025,50
0,0,0,2100000,0,2100000,0,300,أوكليس,2/5/2025,45
0,0,0,1435000,0,1435000,0,205,الهدى,2/5/2025,49
0,0,0,896000,0,896000,0,128,أبو محمود,2/5/2025,42
0,0,0,1876000,0,1876000,0,268,شمال هيا,2/5/2025,52
0,0,0,63893000,0,63893000,0,9127.57,أوجرين,3/5/2025,43
0,1,191.6,59507000,0,59507000,0,8501,المطار,3/5/2025,48
0,26,5029.4,9121000,0,9121000,0,1303,قبايديب,3/5/2025,31
0,0,0,10024000,0,10024000,0,1432,وادي العشار,3/5/2025,8
0,0,0,17962000,0,17962000,0,2566,الأنصاري,3/5/2025,46
0,9,472.6,6097000,0,6097000,0,871,الفرقة,3/5/2025,47
0,0,462.7,49000,0,49000,0,7,أوقييت,3/5/2025,44
0,6,2752.2,868000,0,868000,0,124,الياسمين,3/5/2025,29
0,1,1402.7,13715,0,13715000,0,1959,نوراي,3/5/2025,28
0,3,178.5,2030000,0,2030000,0,290,الهرابة,3/5/2025,50
0,1,961.8,2226000,0,2226000,0,318,أوكليس,3/5/2025,45
0,0,0,1540000,0,1540000,0,220,الهدى,3/5/2025,49
0,0,0,805000,0,805000,0,115,أبو محمود,3/5/2025,42
0,5,3801,1890000,0,1890000,0,270,شمال هيا,3/5/2025,52
0,0,0,65275000,0,65275000,0,9325,أوجرين,4/5/2025,43
0,0,0,49238000,0,49238000,0,7034,المطار,4/5/2025,48
0,55,9921.7,10192000,0,10192000,0,1456,قبايديب,4/5/2025,31
0,3,449.1,9982000,0,9982000,0,1426,وادي العشار,4/5/2025,8
0,2,2439.7,18193,0,18193,0,2599,الأنصاري,4/5/2025,46
0,12,1907.3,5215000,0,5215000,0,745,الفرقة,4/5/2025,47
0,1,478.9,0,0,0,0,0,أوقييت,4/5/2025,44
0,3,2175,0,0,0,0,0,هشاييب,4/5/2025,53
0,4,4568.9,805000,0,805000,0,115,الياسمين,4/5/2025,29
0,3,2848.5,14350000,0,14350000,0,2050,نوراي,4/5/2025,28
0,3,521.3,2828000,0,2828000,0,404,الهرابة,4/5/2025,50
0,2,444.9,2065000,0,2065000,0,295,أوكليس,4/5/2025,45
0,0,0,1260000,0,1260000,0,180,الهدى,4/5/2025,49
0,0,0,518000,0,518000,0,74,أبو محمود,4/5/2025,42
0,7,3279.7,2016000,0,2016000,0,288,شمال هيا,4/5/2025,52
0,0,0,50813000,0,50813000,0,7259,أوجرين,5/5/2025,43
0,0,0,53634000,0,53634000,0,7662,المطار,5/5/2025,48
0,34,5452.3,10598000,0,10598000,0,1514,قبايديب,5/5/2025,31
0,1,1940.2,11305000,0,11305000,0,1615,وادي العشار,5/5/2025,8
0,5,3834.2,19159000,0,19159000,0,2737,الأنصاري,5/5/2025,46
0,7,6113.6,7245000,0,7245000,0,1035,الفرقة,5/5/2025,47
0,1,331.6,105000,0,105000,0,15,أوقييت,5/5/2025,44
0,5,1733,819000,0,819000,0,117,الياسمين,5/5/2025,29
0,1,3200.5,12295000,0,12295000,0,1756.43,نوراي,5/5/2025,28
0,1,20.2,2541000,0,2541000,0,363,الهرابة,5/5/2025,50
0,2,208.3,2786000,0,2786000,0,398,أوكليس,5/5/2025,45
0,0,0,"و330,000",0,"و330,000",0,190,الهدى,5/5/2025,49
0,0,0,865000,0,865000,0,123.57,أبو محمود,5/5/2025,42
0,6,15950.8,1904000,0,1904000,0,272,شمال هيا,5/5/2025,52
0,0,0,150000,0,0,0,0,غرابيل,5/5/2025,0
