ID,Name,State_1,POINT_X,POINT_Y
56,الخرطوم,الخرطوم,32.561114,15.552506
51,حلفا,الشمالية,28.700439,21.2419
18,باو,النيل الأزرق,33.800953,11.133073
22,قيسان,النيل الأزرق,34.666003,11.175661
61,الليري,جنوب كردفان,30.837484,10.130087
63,تلودي,جنوب كردفان,30.405758,10.555725
33,المالحة,شمال دارفور,25.792038,17.564078
36,كاس,جنوب دارفور,24.179044,12.474009
52,كتم,شمال دارفور,24.700321,14.514787
112,الرهد,القضارف,34.808656,13.233515
79,النهود,غرب كردفان,28.3054,13.165317
67,البحيرة,نهر النيل,32.606046,19.910568
